player,surface,year,matches,points
Aaron Krickstein,Clay,1992,1,150
Aaron Krickstein,Hard,1989,1,210
Aaron Krickstein,Hard,1990,1,150
Aaron Krickstein,Hard,1991,2,468
Aaron Krickstein,Hard,1994,1,109
Aaron Krickstein,Hard,1995,2,499
Abedallah Shelbayh,Hard,2023,2,296
Adam Pavlasek,Clay,2019,2,257
Adam Pavlasek,Hard,2016,1,107
Adam Walton,Grass,2025,1,147
Adam Walton,Hard,2024,1,206
Adolfo Daniel Vallejo,Clay,2026,1,186
Adrian Andreev,Clay,2024,2,299
Adrian Andreev,Hard,2022,1,237
Adrian Andreev,Hard,2024,2,372
Adrian Andreev,Hard,2025,1,215
Adrian Garcia,Hard,2005,1,228
Adrian Mannarino,Clay,2017,1,182
Adrian Mannarino,Clay,2018,1,208
Adrian Mannarino,Grass,2016,1,198
Adrian Mannarino,Grass,2018,2,294
Adrian Mannarino,Grass,2021,1,242
Adrian Mannarino,Grass,2022,1,345
Adrian Mannarino,Grass,2023,7,1100
Adrian Mannarino,Grass,2024,2,351
Adrian Mannarino,Hard,2012,1,239
Adrian Mannarino,Hard,2015,1,143
Adrian Mannarino,Hard,2017,6,945
Adrian Mannarino,Hard,2018,2,238
Adrian Mannarino,Hard,2019,2,324
Adrian Mannarino,Hard,2021,1,158
Adrian Mannarino,Hard,2022,13,2023
Adrian Mannarino,Hard,2023,9,1485
Adrian Mannarino,Hard,2024,10,1768
Adrian Mannarino,Hard,2025,4,621
Adrian Mannarino,Hard,2026,5,701
Adrian Voinea,Hard,2002,1,108
Adriano Panatta,Clay,1974,1,233
Adriano Panatta,Clay,1979,2,280
Adriano Panatta,Hard,1980,1,277
Adrien Bossel,Hard,2015,1,78
Agustin Calleri,Clay,2003,1,176
Agustin Velotti,Hard,2016,1,107
Aisam Ul Haq Qureshi,Grass,2007,1,202
Akira Santillan,Hard,2018,1,107
Alan Mackin,Clay,2005,1,126
Albano Olivetti,Hard,2016,1,105
Albert Costa,Clay,1996,1,298
Albert Costa,Clay,1998,1,100
Albert Costa,Clay,2000,2,409
Albert Costa,Clay,2002,2,306
Albert Costa,Hard,1997,2,403
Albert Montanes,Clay,2005,1,72
Albert Montanes,Clay,2014,1,108
Albert Montanes,Clay,2016,1,110
Albert Ramos,Clay,2014,1,137
Albert Ramos,Clay,2017,4,574
Albert Ramos,Clay,2019,2,295
Albert Ramos,Clay,2020,1,291
Albert Ramos,Clay,2021,2,470
Albert Ramos,Clay,2022,4,742
Albert Ramos,Clay,2023,2,228
Albert Ramos,Clay,2025,1,170
Albert Ramos,Grass,2023,1,160
Albert Ramos,Hard,2017,1,139
Albert Ramos,Hard,2018,2,304
Albert Ramos,Hard,2019,2,218
Albert Ramos,Hard,2022,2,308
Alberto Berasategui,Clay,1994,2,375
Alberto Berasategui,Hard,1998,1,276
Alberto Mancini,Clay,1989,2,578
Alberto Mancini,Clay,1991,1,108
Alberto Martin,Clay,2004,1,158
Alejandro Davidovich Fokina,Clay,2019,2,387
Alejandro Davidovich Fokina,Clay,2020,1,291
Alejandro Davidovich Fokina,Clay,2021,4,959
Alejandro Davidovich Fokina,Clay,2022,5,967
Alejandro Davidovich Fokina,Clay,2023,3,491
Alejandro Davidovich Fokina,Clay,2024,2,537
Alejandro Davidovich Fokina,Clay,2025,2,286
Alejandro Davidovich Fokina,Grass,2022,3,792
Alejandro Davidovich Fokina,Grass,2025,1,250
Alejandro Davidovich Fokina,Hard,2019,1,133
Alejandro Davidovich Fokina,Hard,2020,2,339
Alejandro Davidovich Fokina,Hard,2021,7,905
Alejandro Davidovich Fokina,Hard,2022,3,451
Alejandro Davidovich Fokina,Hard,2023,9,1401
Alejandro Davidovich Fokina,Hard,2024,5,626
Alejandro Davidovich Fokina,Hard,2025,6,922
Alejandro Falla,Clay,2006,1,152
Alejandro Falla,Clay,2015,1,119
Alejandro Falla,Grass,2004,1,109
Alejandro Falla,Grass,2010,1,328
Alejandro Falla,Grass,2012,1,180
Alejandro Falla,Grass,2014,1,151
Alejandro Falla,Hard,2013,1,126
Alejandro Gonzalez,Clay,2015,1,113
Alejandro Gonzalez,Hard,2014,1,124
Alejandro Lopez Escribano,Hard,2025,1,134
Alejandro Moro Canas,Clay,2024,1,134
Alejandro Moro Canas,Grass,2024,1,236
Alejandro Tabilo,Clay,2021,1,110
Alejandro Tabilo,Clay,2022,1,122
Alejandro Tabilo,Clay,2024,6,856
Alejandro Tabilo,Clay,2025,3,605
Alejandro Tabilo,Clay,2026,1,186
Alejandro Tabilo,Grass,2022,1,322
Alejandro Tabilo,Hard,2024,5,627
Alejandro Tabilo,Hard,2025,4,668
Alejandro Tabilo,Hard,2026,1,108
Aleksandar Kovacevic,Clay,2023,1,185
Aleksandar Kovacevic,Hard,2021,1,107
Aleksandar Kovacevic,Hard,2022,2,401
Aleksandar Kovacevic,Hard,2024,4,518
Aleksandar Kovacevic,Hard,2025,1,132
Aleksandar Kovacevic,Hard,2026,3,501
Aleksandar Vukic,Clay,2019,1,115
Aleksandar Vukic,Clay,2020,3,530
Aleksandar Vukic,Clay,2024,1,95
Aleksandar Vukic,Grass,2025,1,145
Aleksandar Vukic,Hard,2020,3,461
Aleksandar Vukic,Hard,2022,1,184
Aleksandar Vukic,Hard,2024,1,176
Aleksandar Vukic,Hard,2025,3,444
Aleksandr Nedovyesov,Clay,2015,1,153
Aleksandr Nedovyesov,Hard,2017,1,144
Aleksandre Metreveli,Hard,2022,1,176
Alessandro Giannessi,Clay,2018,1,223
Alessandro Giannessi,Hard,2024,1,115
Alex Barrena,Clay,2024,1,95
Alex Barrena,Clay,2026,1,79
Alex Bogdanovic,Grass,2004,1,140
Alex Bogomolov Jr,Hard,2004,1,132
Alex Bolt,Hard,2019,2,381
Alex Bolt,Hard,2021,1,124
Alex Corretja,Clay,1995,1,118
Alex Corretja,Clay,1996,2,299
Alex Corretja,Clay,1997,1,204
Alex Corretja,Clay,1998,3,480
Alex Corretja,Clay,2000,1,233
Alex Corretja,Clay,2001,5,958
Alex Corretja,Clay,2002,1,151
Alex Corretja,Hard,1995,1,304
Alex Corretja,Hard,1996,1,376
Alex Corretja,Hard,1998,3,657
Alex Corretja,Hard,2000,1,110
Alex Corretja,Hard,2001,1,118
