surface,year,matches,points,distinct_players
Clay,1960,1,251,2
Grass,1960,1,288,2
Grass,1969,3,718,4
Grass,1970,1,301,2
Grass,1971,2,505,3
Grass,1972,1,263,2
Clay,1973,1,135,2
Grass,1973,1,220,2
Clay,1974,1,233,2
Grass,1974,2,294,2
Clay,1975,1,170,2
Grass,1975,2,594,4
Hard,1975,1,134,2
Clay,1976,2,457,4
Clay,1977,1,241,2
Grass,1977,1,170,2
Clay,1978,3,371,5
Hard,1978,1,170,2
Clay,1979,2,280,3
Grass,1979,1,261,2
Hard,1979,1,212,2
Clay,1980,2,312,3
Grass,1980,3,854,4
Hard,1980,7,1537,7
Clay,1981,3,759,4
Grass,1981,4,1028,6
Hard,1981,4,874,5
Clay,1982,5,1217,6
Grass,1982,3,638,5
Hard,1982,3,808,4
Clay,1983,3,620,4
Grass,1983,5,1054,5
Hard,1983,4,820,5
Clay,1984,7,1249,6
Grass,1984,4,899,6
Hard,1984,5,1055,4
Clay,1985,8,1531,10
Grass,1985,11,2769,12
Hard,1985,14,2598,8
Clay,1986,4,736,5
Grass,1986,4,869,6
Hard,1986,15,2744,9
Clay,1987,10,1748,10
Grass,1987,10,2285,10
Hard,1987,18,4387,13
Clay,1988,9,2084,10
Grass,1988,5,1189,5
Hard,1988,14,3355,11
Clay,1989,5,1338,7
Grass,1989,6,1404,7
Hard,1989,26,4906,16
Clay,1990,16,3482,18
Grass,1990,11,1986,9
Hard,1990,48,8533,25
Clay,1991,13,2937,18
Grass,1991,10,2102,10
Hard,1991,59,11345,30
Clay,1992,15,3183,16
Grass,1992,11,2419,13
Hard,1992,44,9325,22
Clay,1993,14,2719,15
Grass,1993,10,2363,13
Hard,1993,49,9282,31
Clay,1994,9,1919,10
Grass,1994,10,2049,11
Hard,1994,56,10418,29
Clay,1995,18,3666,20
Grass,1995,12,2771,13
Hard,1995,49,9663,25
Clay,1996,18,3731,21
Grass,1996,13,3103,15
Hard,1996,55,9667,39
Clay,1997,9,2012,12
Grass,1997,12,2809,13
Hard,1997,41,8241,24
Clay,1998,9,1873,11
Grass,1998,9,1959,12
Hard,1998,52,8984,32
Clay,1999,9,2398,13
Grass,1999,14,3087,15
Hard,1999,34,6458,23
Clay,2000,14,2726,15
Grass,2000,10,1959,12
Hard,2000,56,10121,38
Clay,2001,18,3771,21
Grass,2001,11,2747,11
Hard,2001,58,10204,36
Clay,2002,21,3693,26
Grass,2002,7,1505,9
Hard,2002,62,11766,34
Clay,2003,17,2984,22
Grass,2003,13,2911,15
Hard,2003,50,9377,34
Clay,2004,20,4026,22
Grass,2004,14,2532,13
Hard,2004,74,12108,45
Clay,2005,22,4043,21
Grass,2005,14,2679,17
Hard,2005,66,12117,39
Clay,2006,27,5171,25
Grass,2006,18,3706,19
Hard,2006,81,14492,47
Clay,2007,23,3738,16
Grass,2007,12,2633,13
Hard,2007,61,9947,32
Clay,2008,22,3469,19
Grass,2008,13,2645,13
Hard,2008,67,11703,39
Clay,2009,22,3805,20
Grass,2009,7,1885,8
Hard,2009,76,13602,32
Clay,2010,16,2422,16
Grass,2010,9,2776,10
Hard,2010,69,12184,35
Clay,2011,30,5480,22
Grass,2011,9,1991,9
Hard,2011,75,12025,43
Clay,2012,34,5178,34
Grass,2012,28,4706,24
Hard,2012,86,14174,40
Clay,2013,21,3351,20
Grass,2013,11,2613,17
Hard,2013,88,13591,54
Clay,2014,50,7314,57
Grass,2014,22,4409,27
Hard,2014,102,16197,88
Clay,2015,84,12266,73
Grass,2015,29,4994,36
Hard,2015,181,26331,108
Clay,2016,45,6552,50
Grass,2016,13,2754,17
Hard,2016,124,18464,95
Clay,2017,74,11153,60
Grass,2017,19,3537,21
Hard,2017,148,23154,98
Clay,2018,68,10933,66
Grass,2018,33,6412,33
Hard,2018,158,26010,96
Clay,2019,161,24918,131
Grass,2019,61,11611,65
Hard,2019,384,59430,179
Clay,2020,24,5089,38
Hard,2020,144,26018,100
Clay,2021,94,15493,86
Grass,2021,28,5599,31
Hard,2021,249,39724,133
Clay,2022,177,27898,132
Grass,2022,66,12477,54
Hard,2022,403,65346,169
Clay,2023,157,25602,103
Grass,2023,76,14166,70
Hard,2023,387,64934,141
Clay,2024,225,34747,163
Grass,2024,71,13062,68
Hard,2024,472,73447,184
Clay,2025,165,27784,117
Grass,2025,53,10519,57
Hard,2025,361,57002,162
Clay,2026,43,5982,46
Hard,2026,141,22105,99
