fold,surface,recommendation_status,scope_state,orientations,matches,players,available_orientations,abstained_orientations,coverage_rate,abstention_rate,reason_code
2020,<ALL>,available_full,surface_common,188,100,51,213,123,0.6339285714285714,0.36607142857142855,
2020,<ALL>,available_full,global_common,25,14,23,213,123,0.6339285714285714,0.36607142857142855,
2020,<ALL>,abstained_incomparable_scope,mixed_incomparable,24,18,18,213,123,0.6339285714285714,0.36607142857142855,mixed_direction_scopes
2020,<ALL>,abstained_insufficient_evidence,insufficient_evidence,99,53,70,213,123,0.6339285714285714,0.36607142857142855,insufficient_direction_evidence
2020,<ALL>,not_available_invalid_input,invalid_input,0,0,0,213,123,0.6339285714285714,0.36607142857142855,invalid_input
2020,Hard,available_full,surface_common,179,95,51,192,96,0.6666666666666666,0.3333333333333333,
2020,Hard,available_full,global_common,13,8,11,192,96,0.6666666666666666,0.3333333333333333,
2020,Hard,abstained_incomparable_scope,mixed_incomparable,17,14,14,192,96,0.6666666666666666,0.3333333333333333,mixed_direction_scopes
2020,Hard,abstained_insufficient_evidence,insufficient_evidence,79,43,58,192,96,0.6666666666666666,0.3333333333333333,insufficient_direction_evidence
2020,Hard,not_available_invalid_input,invalid_input,0,0,0,192,96,0.6666666666666666,0.3333333333333333,invalid_input
2020,Clay,available_full,surface_common,9,5,8,21,27,0.4375,0.5625,
2020,Clay,available_full,global_common,12,6,12,21,27,0.4375,0.5625,
2020,Clay,abstained_incomparable_scope,mixed_incomparable,7,4,6,21,27,0.4375,0.5625,mixed_direction_scopes
2020,Clay,abstained_insufficient_evidence,insufficient_evidence,20,10,16,21,27,0.4375,0.5625,insufficient_direction_evidence
2020,Clay,not_available_invalid_input,invalid_input,0,0,0,21,27,0.4375,0.5625,invalid_input
2020,Grass,available_full,surface_common,0,0,0,0,0,0.0,0.0,
2020,Grass,available_full,global_common,0,0,0,0,0,0.0,0.0,
2020,Grass,abstained_incomparable_scope,mixed_incomparable,0,0,0,0,0,0.0,0.0,mixed_direction_scopes
2020,Grass,abstained_insufficient_evidence,insufficient_evidence,0,0,0,0,0,0.0,0.0,insufficient_direction_evidence
2020,Grass,not_available_invalid_input,invalid_input,0,0,0,0,0,0.0,0.0,invalid_input
2021,<ALL>,available_full,surface_common,327,176,64,425,317,0.5727762803234502,0.4272237196765499,
2021,<ALL>,available_full,global_common,98,61,44,425,317,0.5727762803234502,0.4272237196765499,
2021,<ALL>,abstained_incomparable_scope,mixed_incomparable,63,44,31,425,317,0.5727762803234502,0.4272237196765499,mixed_direction_scopes
2021,<ALL>,abstained_insufficient_evidence,insufficient_evidence,254,140,129,425,317,0.5727762803234502,0.4272237196765499,insufficient_direction_evidence
2021,<ALL>,not_available_invalid_input,invalid_input,0,0,0,425,317,0.5727762803234502,0.4272237196765499,invalid_input
2021,Hard,available_full,surface_common,285,150,62,304,194,0.6104417670682731,0.3895582329317269,
2021,Hard,available_full,global_common,19,14,17,304,194,0.6104417670682731,0.3895582329317269,
2021,Hard,abstained_incomparable_scope,mixed_incomparable,32,22,25,304,194,0.6104417670682731,0.3895582329317269,mixed_direction_scopes
2021,Hard,abstained_insufficient_evidence,insufficient_evidence,162,88,92,304,194,0.6104417670682731,0.3895582329317269,insufficient_direction_evidence
2021,Hard,not_available_invalid_input,invalid_input,0,0,0,304,194,0.6104417670682731,0.3895582329317269,invalid_input
2021,Clay,available_full,surface_common,38,23,17,86,102,0.4574468085106383,0.5425531914893617,
2021,Clay,available_full,global_common,48,31,31,86,102,0.4574468085106383,0.5425531914893617,
2021,Clay,abstained_incomparable_scope,mixed_incomparable,21,16,15,86,102,0.4574468085106383,0.5425531914893617,mixed_direction_scopes
2021,Clay,abstained_insufficient_evidence,insufficient_evidence,81,46,59,86,102,0.4574468085106383,0.5425531914893617,insufficient_direction_evidence
2021,Clay,not_available_invalid_input,invalid_input,0,0,0,86,102,0.4574468085106383,0.5425531914893617,invalid_input
2021,Grass,available_full,surface_common,4,3,4,35,21,0.625,0.375,
2021,Grass,available_full,global_common,31,16,21,35,21,0.625,0.375,
2021,Grass,abstained_incomparable_scope,mixed_incomparable,10,6,7,35,21,0.625,0.375,mixed_direction_scopes
2021,Grass,abstained_insufficient_evidence,insufficient_evidence,11,6,10,35,21,0.625,0.375,insufficient_direction_evidence
2021,Grass,not_available_invalid_input,invalid_input,0,0,0,35,21,0.625,0.375,invalid_input
2022,<ALL>,available_full,surface_common,657,347,80,821,471,0.6354489164086687,0.36455108359133126,
2022,<ALL>,available_full,global_common,164,92,63,821,471,0.6354489164086687,0.36455108359133126,
2022,<ALL>,abstained_incomparable_scope,mixed_incomparable,83,62,44,821,471,0.6354489164086687,0.36455108359133126,mixed_direction_scopes
2022,<ALL>,abstained_insufficient_evidence,insufficient_evidence,388,206,189,821,471,0.6354489164086687,0.36455108359133126,insufficient_direction_evidence
2022,<ALL>,not_available_invalid_input,invalid_input,0,0,0,821,471,0.6354489164086687,0.36455108359133126,invalid_input
2022,Hard,available_full,surface_common,486,251,73,533,273,0.6612903225806451,0.3387096774193548,
2022,Hard,available_full,global_common,47,28,28,533,273,0.6612903225806451,0.3387096774193548,
2022,Hard,abstained_incomparable_scope,mixed_incomparable,43,30,27,533,273,0.6612903225806451,0.3387096774193548,mixed_direction_scopes
2022,Hard,abstained_insufficient_evidence,insufficient_evidence,230,122,133,533,273,0.6612903225806451,0.3387096774193548,insufficient_direction_evidence
2022,Hard,not_available_invalid_input,invalid_input,0,0,0,533,273,0.6612903225806451,0.3387096774193548,invalid_input
2022,Clay,available_full,surface_common,154,85,39,197,157,0.556497175141243,0.4435028248587571,
2022,Clay,available_full,global_common,43,25,29,197,157,0.556497175141243,0.4435028248587571,
2022,Clay,abstained_incomparable_scope,mixed_incomparable,29,24,20,197,157,0.556497175141243,0.4435028248587571,mixed_direction_scopes
