scorer,fold_or_pooled,bin_index,bin_low,bin_high,n_points,n_matches,mean_score,observed_rate,absolute_gap
population_only,2020,0,0.0,0.1,0,0,,,
population_only,2020,1,0.1,0.2,0,0,,,
population_only,2020,2,0.2,0.3,0,0,,,
population_only,2020,3,0.3,0.4,0,0,,,
population_only,2020,4,0.4,0.5,309,7,0.49703118523341877,0.4919093851132686,0.005121800120150177
population_only,2020,5,0.5,0.6,8302,129,0.5106703342325468,0.4953023367863166,0.015367997446230242
population_only,2020,6,0.6,0.7,0,0,,,
population_only,2020,7,0.7,0.8,0,0,,,
population_only,2020,8,0.8,0.9,0,0,,,
population_only,2020,9,0.9,1.0,0,0,,,
population_only,2021,0,0.0,0.1,0,0,,,
population_only,2021,1,0.1,0.2,0,0,,,
population_only,2021,2,0.2,0.3,0,0,,,
population_only,2021,3,0.3,0.4,0,0,,,
population_only,2021,4,0.4,0.5,1061,31,0.49783983521766006,0.48539114043355325,0.012448694784106817
population_only,2021,5,0.5,0.6,15047,271,0.5105584456477792,0.504884694623513,0.005673751024266149
population_only,2021,6,0.6,0.7,0,0,,,
population_only,2021,7,0.7,0.8,0,0,,,
population_only,2021,8,0.8,0.9,0,0,,,
population_only,2021,9,0.9,1.0,0,0,,,
population_only,2022,0,0.0,0.1,0,0,,,
population_only,2022,1,0.1,0.2,0,0,,,
population_only,2022,2,0.2,0.3,0,0,,,
population_only,2022,3,0.3,0.4,0,0,,,
population_only,2022,4,0.4,0.5,3054,93,0.49711668863855246,0.5117878192534381,0.014671130614885619
population_only,2022,5,0.5,0.6,25450,506,0.5104141756342813,0.5137131630648331,0.003298987430551792
population_only,2022,6,0.6,0.7,0,0,,,
population_only,2022,7,0.7,0.8,0,0,,,
population_only,2022,8,0.8,0.9,0,0,,,
population_only,2022,9,0.9,1.0,0,0,,,
population_only,2023,0,0.0,0.1,0,0,,,
population_only,2023,1,0.1,0.2,0,0,,,
population_only,2023,2,0.2,0.3,0,0,,,
population_only,2023,3,0.3,0.4,0,0,,,
population_only,2023,4,0.4,0.5,2444,73,0.4969757921561495,0.48527004909983634,0.011705743056313167
population_only,2023,5,0.5,0.6,26724,488,0.5105310068438375,0.5087935937733872,0.0017374130704502777
population_only,2023,6,0.6,0.7,0,0,,,
population_only,2023,7,0.7,0.8,0,0,,,
population_only,2023,8,0.8,0.9,0,0,,,
population_only,2023,9,0.9,1.0,0,0,,,
population_only,pooled,0,0.0,0.1,0,0,,,
population_only,pooled,1,0.1,0.2,0,0,,,
population_only,pooled,2,0.2,0.3,0,0,,,
population_only,pooled,3,0.3,0.4,0,0,,,
population_only,pooled,4,0.4,0.5,6868,204,0.49717441824910197,0.49737914967967384,0.0002047314305718695
population_only,pooled,5,0.5,0.6,75523,1394,0.5105124193060114,0.508189558147849,0.0023228611581623815
population_only,pooled,6,0.6,0.7,0,0,,,
population_only,pooled,7,0.7,0.8,0,0,,,
population_only,pooled,8,0.8,0.9,0,0,,,
population_only,pooled,9,0.9,1.0,0,0,,,
server_only,2020,0,0.0,0.1,0,0,,,
server_only,2020,1,0.1,0.2,0,0,,,
server_only,2020,2,0.2,0.3,4,1,0.2807017543859649,1.0,0.7192982456140351
server_only,2020,3,0.3,0.4,136,13,0.378103903191591,0.5367647058823529,0.15866080269076194
server_only,2020,4,0.4,0.5,3368,114,0.46634689350097247,0.47327790973871736,0.006931016237744891
server_only,2020,5,0.5,0.6,4904,128,0.5362080733181821,0.5091761827079935,0.027031890610188625
server_only,2020,6,0.6,0.7,199,12,0.622536540643396,0.4824120603015075,0.1401244803418885
server_only,2020,7,0.7,0.8,0,0,,,
server_only,2020,8,0.8,0.9,0,0,,,
server_only,2020,9,0.9,1.0,0,0,,,
server_only,2021,0,0.0,0.1,0,0,,,
server_only,2021,1,0.1,0.2,0,0,,,
server_only,2021,2,0.2,0.3,0,0,,,
server_only,2021,3,0.3,0.4,189,22,0.3649364194982279,0.4603174603174603,0.09538104081923238
server_only,2021,4,0.4,0.5,6112,243,0.46801272651951487,0.4838023560209424,0.015789629501427538
server_only,2021,5,0.5,0.6,9405,263,0.5355139330871704,0.5168527379053695,0.018661195181800982
server_only,2021,6,0.6,0.7,371,27,0.6141311780407489,0.5040431266846361,0.11008805135611277
server_only,2021,7,0.7,0.8,31,2,0.7058412481104357,0.6451612903225806,0.060679957787855066
server_only,2021,8,0.8,0.9,0,0,,,
server_only,2021,9,0.9,1.0,0,0,,,
server_only,2022,0,0.0,0.1,0,0,,,
server_only,2022,1,0.1,0.2,0,0,,,
server_only,2022,2,0.2,0.3,24,4,0.2689636892292085,0.5416666666666666,0.27270297743745814
server_only,2022,3,0.3,0.4,466,50,0.37501899604839933,0.45064377682403434,0.075624780775635
server_only,2022,4,0.4,0.5,9766,433,0.4672928127884375,0.4923202949006758,0.02502748211223832
server_only,2022,5,0.5,0.6,17703,496,0.5356826327636783,0.5261820030503305,0.009500629713347863
server_only,2022,6,0.6,0.7,545,44,0.6192525584839171,0.5339449541284403,0.0853076043554768
server_only,2022,7,0.7,0.8,0,0,,,
server_only,2022,8,0.8,0.9,0,0,,,
server_only,2022,9,0.9,1.0,0,0,,,
server_only,2023,0,0.0,0.1,0,0,,,
server_only,2023,1,0.1,0.2,0,0,,,
server_only,2023,2,0.2,0.3,0,0,,,
server_only,2023,3,0.3,0.4,361,37,0.3706652512231111,0.48476454293628807,0.11409929171317695
server_only,2023,4,0.4,0.5,9608,416,0.4697532991556956,0.4899042464612823,0.020150947305586697
server_only,2023,5,0.5,0.6,18865,480,0.5333199795639721,0.5157169361250994,0.017603043438872756
server_only,2023,6,0.6,0.7,334,33,0.6169998002347373,0.5149700598802395,0.10202974035449786
server_only,2023,7,0.7,0.8,0,0,,,
server_only,2023,8,0.8,0.9,0,0,,,
server_only,2023,9,0.9,1.0,0,0,,,
server_only,pooled,0,0.0,0.1,0,0,,,
server_only,pooled,1,0.1,0.2,0,0,,,
server_only,pooled,2,0.2,0.3,28,5,0.2706405556801737,0.6071428571428571,0.3365023014626834
server_only,pooled,3,0.3,0.4,1152,122,0.37236468920947796,0.4730902777777778,0.10072558856829983
server_only,pooled,4,0.4,0.5,28854,1206,0.4681542049552352,0.48748873639703333,0.019334531441798142
server_only,pooled,5,0.5,0.6,50877,1367,0.5348260313015102,0.5189378304538397,0.01588820084767051
server_only,pooled,6,0.6,0.7,1449,116,0.617873027117523,0.5148378191856453,0.1030352079318777
server_only,pooled,7,0.7,0.8,31,2,0.7058412481104357,0.6451612903225806,0.060679957787855066
server_only,pooled,8,0.8,0.9,0,0,,,
server_only,pooled,9,0.9,1.0,0,0,,,
opponent_only,2020,0,0.0,0.1,0,0,,,
opponent_only,2020,1,0.1,0.2,0,0,,,
opponent_only,2020,2,0.2,0.3,0,0,,,
opponent_only,2020,3,0.3,0.4,111,11,0.3860311729072818,0.44144144144144143,0.055410268534159646
opponent_only,2020,4,0.4,0.5,3506,116,0.4664789981242485,0.4900171135196805,0.023538115395432047
opponent_only,2020,5,0.5,0.6,4639,125,0.5363224114631863,0.4966587626643673,0.03966364879881895
opponent_only,2020,6,0.6,0.7,355,26,0.6229358239718863,0.543661971830986,0.07927385214090032
opponent_only,2020,7,0.7,0.8,0,0,,,
opponent_only,2020,8,0.8,0.9,0,0,,,
opponent_only,2020,9,0.9,1.0,0,0,,,
opponent_only,2021,0,0.0,0.1,0,0,,,
opponent_only,2021,1,0.1,0.2,0,0,,,
opponent_only,2021,2,0.2,0.3,0,0,,,
opponent_only,2021,3,0.3,0.4,176,19,0.38025834844686285,0.5340909090909091,0.1538325606440462
opponent_only,2021,4,0.4,0.5,7414,246,0.46345185884082574,0.4861073644456434,0.02265550560481766
opponent_only,2021,5,0.5,0.6,7854,253,0.5333114989847402,0.5127323656735422,0.020579133311197984
opponent_only,2021,6,0.6,0.7,664,54,0.6158201553462116,0.5828313253012049,0.032988830045006745
opponent_only,2021,7,0.7,0.8,0,0,,,
opponent_only,2021,8,0.8,0.9,0,0,,,
opponent_only,2021,9,0.9,1.0,0,0,,,
opponent_only,2022,0,0.0,0.1,0,0,,,
opponent_only,2022,1,0.1,0.2,0,0,,,
opponent_only,2022,2,0.2,0.3,0,0,,,
opponent_only,2022,3,0.3,0.4,277,38,0.36632187923967074,0.4657039711191336,0.09938209187946284
opponent_only,2022,4,0.4,0.5,12713,453,0.4672027603885362,0.4977582002674428,0.030555439878906576
opponent_only,2022,5,0.5,0.6,14579,476,0.532173053457359,0.5248645311749777,0.0073085222823813245
opponent_only,2022,6,0.6,0.7,901,81,0.6241701869023197,0.5638179800221975,0.06035220688012222
opponent_only,2022,7,0.7,0.8,34,2,0.7086750852315473,0.5882352941176471,0.12043979111390024
opponent_only,2022,8,0.8,0.9,0,0,,,
opponent_only,2022,9,0.9,1.0,0,0,,,
opponent_only,2023,0,0.0,0.1,0,0,,,
opponent_only,2023,1,0.1,0.2,0,0,,,
opponent_only,2023,2,0.2,0.3,0,0,,,
opponent_only,2023,3,0.3,0.4,396,38,0.37591076703132165,0.5126262626262627,0.136715495594941
opponent_only,2023,4,0.4,0.5,14156,449,0.4684765946715656,0.48834416501836675,0.019867570346801144
opponent_only,2023,5,0.5,0.6,14047,448,0.5311614287663814,0.5233857763223464,0.007775652444034997
opponent_only,2023,6,0.6,0.7,569,50,0.6236521795988599,0.5536028119507909,0.07004936764806902
opponent_only,2023,7,0.7,0.8,0,0,,,
opponent_only,2023,8,0.8,0.9,0,0,,,
opponent_only,2023,9,0.9,1.0,0,0,,,
opponent_only,pooled,0,0.0,0.1,0,0,,,
opponent_only,pooled,1,0.1,0.2,0,0,,,
opponent_only,pooled,2,0.2,0.3,0,0,,,
opponent_only,pooled,3,0.3,0.4,960,106,0.3751112018886962,0.4947916666666667,0.11968046477797051
opponent_only,pooled,4,0.4,0.5,37789,1264,0.4668768905199831,0.4912276059170658,0.024350715397082723
opponent_only,pooled,5,0.5,0.6,41119,1302,0.5325130405904829,0.5188598944526861,0.013653146137796779
opponent_only,pooled,6,0.6,0.7,2489,211,0.6216481435317981,0.5636801928485335,0.057967950683264546
opponent_only,pooled,7,0.7,0.8,34,2,0.7086750852315473,0.5882352941176471,0.12043979111390024
opponent_only,pooled,8,0.8,0.9,0,0,,,
opponent_only,pooled,9,0.9,1.0,0,0,,,
server_opponent_equal,2020,0,0.0,0.1,0,0,,,
server_opponent_equal,2020,1,0.1,0.2,0,0,,,
server_opponent_equal,2020,2,0.2,0.3,0,0,,,
server_opponent_equal,2020,3,0.3,0.4,27,4,0.39492765489754367,0.4074074074074074,0.012479752509863717
server_opponent_equal,2020,4,0.4,0.5,3451,119,0.47665214519592547,0.4789915966386555,0.0023394514427300117
server_opponent_equal,2020,5,0.5,0.6,5092,128,0.5305495048957385,0.5068735271013354,0.023675977794403114
server_opponent_equal,2020,6,0.6,0.7,41,4,0.6075828395414029,0.4634146341463415,0.14416820539506142
server_opponent_equal,2020,7,0.7,0.8,0,0,,,
server_opponent_equal,2020,8,0.8,0.9,0,0,,,
server_opponent_equal,2020,9,0.9,1.0,0,0,,,
server_opponent_equal,2021,0,0.0,0.1,0,0,,,
server_opponent_equal,2021,1,0.1,0.2,0,0,,,
server_opponent_equal,2021,2,0.2,0.3,0,0,,,
server_opponent_equal,2021,3,0.3,0.4,29,4,0.3965020518386642,0.6896551724137931,0.29315312057512893
server_opponent_equal,2021,4,0.4,0.5,6716,249,0.47457488127942427,0.4763251935675998,0.001750312288175515
server_opponent_equal,2021,5,0.5,0.6,9304,270,0.5291973082151785,0.5221410146173688,0.007056293597809682
server_opponent_equal,2021,6,0.6,0.7,59,5,0.6050785214446847,0.5932203389830508,0.011858182461633837
server_opponent_equal,2021,7,0.7,0.8,0,0,,,
server_opponent_equal,2021,8,0.8,0.9,0,0,,,
server_opponent_equal,2021,9,0.9,1.0,0,0,,,
server_opponent_equal,2022,0,0.0,0.1,0,0,,,
server_opponent_equal,2022,1,0.1,0.2,0,0,,,
server_opponent_equal,2022,2,0.2,0.3,0,0,,,
server_opponent_equal,2022,3,0.3,0.4,79,9,0.38988449712217665,0.4177215189873418,0.027837021865165124
server_opponent_equal,2022,4,0.4,0.5,11847,459,0.4774379533125084,0.4927829830336794,0.015345029721171022
server_opponent_equal,2022,5,0.5,0.6,16376,494,0.5290816931985576,0.5279677576941866,0.0011139355043709998
server_opponent_equal,2022,6,0.6,0.7,202,13,0.6163879743331176,0.594059405940594,0.022328568392523618
server_opponent_equal,2022,7,0.7,0.8,0,0,,,
server_opponent_equal,2022,8,0.8,0.9,0,0,,,
server_opponent_equal,2022,9,0.9,1.0,0,0,,,
server_opponent_equal,2023,0,0.0,0.1,0,0,,,
server_opponent_equal,2023,1,0.1,0.2,0,0,,,
server_opponent_equal,2023,2,0.2,0.3,0,0,,,
server_opponent_equal,2023,3,0.3,0.4,63,4,0.3889164515231092,0.4444444444444444,0.0555279929213352
server_opponent_equal,2023,4,0.4,0.5,11990,453,0.47745943727603607,0.4865721434528774,0.009112706176841345
server_opponent_equal,2023,5,0.5,0.6,17020,485,0.5257122640722539,0.5212103407755582,0.004501923296695742
server_opponent_equal,2023,6,0.6,0.7,95,9,0.6175314312085237,0.5263157894736842,0.09121564173483954
server_opponent_equal,2023,7,0.7,0.8,0,0,,,
server_opponent_equal,2023,8,0.8,0.9,0,0,,,
server_opponent_equal,2023,9,0.9,1.0,0,0,,,
server_opponent_equal,pooled,0,0.0,0.1,0,0,,,
server_opponent_equal,pooled,1,0.1,0.2,0,0,,,
server_opponent_equal,pooled,2,0.2,0.3,0,0,,,
server_opponent_equal,pooled,3,0.3,0.4,198,21,0.3912334237583979,0.46464646464646464,0.07341304088806672
server_opponent_equal,pooled,4,0.4,0.5,34004,1280,0.47680030412824115,0.4859428302552641,0.009142526127022932
