scorer,fold_or_pooled,comparable_orientations,comparable_matches,top1_hit_inclusive,top1_hit_strict,strict_winner_orientations,mrr,spearman,spearman_reason_code,mean_regret,median_regret,p90_regret,regret_at_most_005,regret_at_most_010
population_only,2020,232,122,0.34913793103448276,0.31981981981981983,222,0.614942528735632,0.029397601779776763,,0.1444435937300277,0.08142968142968143,0.38035714285714295,0.4224137931034483,0.5474137931034483
population_only,2021,470,255,0.39787234042553193,0.365296803652968,438,0.6482269503546099,0.07434664238046998,,0.1523268566786148,0.07608695652173919,0.43701298701298713,0.4531914893617021,0.5404255319148936
population_only,2022,872,464,0.3646788990825688,0.3418803418803419,819,0.6322629969418959,0.017055123936973924,,0.1661238062020056,0.09999999999999998,0.454090909090909,0.4151376146788991,0.5080275229357798
population_only,2023,892,463,0.3576233183856502,0.3409090909090909,836,0.624813153961136,-0.0004417847358257558,,0.15620993402622593,0.08477011494252876,0.4284415584415584,0.4125560538116592,0.523542600896861
population_only,pooled,2466,1304,0.36699107866991076,0.3438444924406048,2315,0.6309813463098135,0.02280384108174029,,0.15786851441356767,0.08596059113300494,0.43194444444444446,0.4221411192214112,0.5235198702351987
server_only,2020,232,122,0.375,0.35135135135135137,222,0.6379310344827587,0.08558111882687038,,0.15323937348873276,0.09945054945054943,0.4330669330669331,0.43103448275862066,0.5086206896551724
server_only,2021,470,255,0.3893617021276596,0.365296803652968,438,0.6450354609929078,0.05441047353661914,,0.16212256225818755,0.07830459770114942,0.46619047619047665,0.4574468085106383,0.5170212765957447
server_only,2022,872,464,0.36353211009174313,0.33821733821733824,819,0.6301605504587156,0.015891968472419294,,0.16560518688868187,0.09523809523809523,0.466470588235294,0.4197247706422018,0.5126146788990825
server_only,2023,892,463,0.3576233183856502,0.34210526315789475,836,0.6251868460388641,0.004434484429627172,,0.15691077064470063,0.08333333333333337,0.42704545454545445,0.4103139013452915,0.5291479820627802
server_only,pooled,2466,1304,0.36739659367396593,0.34600431965442763,2315,0.6319275479859421,0.02559895174645738,,0.1606331181235757,0.0898989898989899,0.44491129785247435,0.4245742092457421,0.519059205190592
opponent_only,2020,232,122,0.34913793103448276,0.31981981981981983,222,0.6156609195402298,-0.00931866635901992,,0.15508978241453966,0.09806166056166055,0.4278484848484849,0.4353448275862069,0.5129310344827587
opponent_only,2021,470,255,0.39148936170212767,0.3675799086757991,438,0.6485815602836879,0.0724194547978916,,0.15730642836492734,0.07142857142857151,0.43798076923076934,0.4531914893617021,0.5319148936170213
opponent_only,2022,872,464,0.35091743119266056,0.33455433455433453,819,0.6221330275229358,-0.02118929129655906,,0.1695356854713734,0.1,0.4658333333333331,0.3967889908256881,0.5
opponent_only,2023,892,463,0.32847533632286996,0.30980861244019137,836,0.6113602391629297,-0.03704088383492485,,0.17005788694339768,0.10832509881422928,0.4545454545454546,0.3867713004484305,0.4943946188340807
opponent_only,pooled,2466,1304,0.35036496350364965,0.3304535637149028,2315,0.6226682887266828,-0.00796016283800604,,0.1660347135994474,0.09999999999999998,0.45521390374331555,0.4075425790754258,0.505271695052717
server_opponent_equal,2020,232,122,0.3793103448275862,0.35135135135135137,222,0.6386494252873564,0.05021834061135371,,0.15005865667281862,0.09206349206349207,0.4229411764705883,0.44396551724137934,0.521551724137931
server_opponent_equal,2021,470,255,0.42127659574468085,0.3995433789954338,438,0.6567375886524822,0.03609466847310527,,0.16685721737285228,0.07142857142857148,0.5,0.4702127659574468,0.5255319148936171
server_opponent_equal,2022,872,464,0.38073394495412843,0.3528693528693529,819,0.6412461773700306,0.03133197283721963,,0.16375719177382037,0.08333333333333337,0.5,0.42660550458715596,0.5298165137614679
server_opponent_equal,2023,892,463,0.3542600896860987,0.3349282296650718,836,0.6257473841554558,-0.011401301411015922,,0.1603272380814928,0.09428104575163399,0.44428571428571423,0.4125560538116592,0.5190582959641256
server_opponent_equal,pooled,2466,1304,0.37875101378751014,0.3550755939524838,2315,0.6383482022168153,0.018534081375922443,,0.161818600206325,0.08634669151910532,0.4666666666666667,0.43146796431467965,0.524330900243309
