dimension,direction,surface,derived_period,analytical_points,matches,servers,server_wins,server_win_rate,proportion_of_directional_population,ace_points,unreturned_points,fault_points,continuation_or_other_points,parser_warning_points,residual_points,fully_consumed_points
pooled,wide,ALL,ALL,480712,5993,870,310040,0.6449599760355472,0.4713366428373228,34933,7124,178921,259734,261029,261029,219683
pooled,body,ALL,ALL,99906,5937,868,59673,0.5972914539667288,0.09795752683374988,147,742,27267,71750,71995,71995,27911
pooled,T,ALL,ALL,439273,5993,870,283081,0.644430684335254,0.4307058303289273,42278,7935,175373,213687,214436,214436,224837
surface,wide,Hard,ALL,300131,3849,643,194861,0.6492531594537052,0.46868592541464504,24387,4717,112990,158037,158895,158895,141236
surface,wide,Clay,ALL,115476,1439,499,71471,0.6189251446187952,0.484663812641652,5056,1401,42292,66727,66999,66999,48477
surface,wide,Grass,ALL,65105,705,316,43708,0.6713462867675294,0.46087467436855817,5490,1006,23639,34970,35135,35135,29970
surface,body,Hard,ALL,60440,3811,641,36151,0.5981303772336202,0.09438337703223308,91,431,16754,43164,43339,43339,17101
surface,body,Clay,ALL,26096,1428,495,15208,0.5827713059472717,0.10952740703433224,18,143,7142,18793,18826,18826,7270
surface,body,Grass,ALL,13370,698,314,8314,0.6218399401645475,0.09464548646505833,38,168,3371,9793,9830,9830,3540
surface,T,Hard,ALL,279796,3849,643,181248,0.6477862442636778,0.43693069755312186,29125,5298,112474,132899,133413,133413,146383
surface,T,Clay,ALL,96688,1439,499,59612,0.6165397981135198,0.4058087803240158,6380,1387,39191,49730,49884,49884,46804
surface,T,Grass,ALL,62789,705,316,42221,0.6724266989440826,0.4444798391663835,6773,1250,23708,31058,31139,31139,31650
derived_period,wide,ALL,to_2009,171645,1956,357,109875,0.6401293367124006,0.4716545623912882,11829,1264,66192,92360,92407,92407,79238
derived_period,wide,ALL,2010s,164555,2232,412,106515,0.6472911792409832,0.4639455743953807,12405,2177,60302,89671,90192,90192,74363
derived_period,wide,ALL,2020s,144512,1805,332,93650,0.6480430690876883,0.4796537486225621,10699,3683,52427,77703,78430,78430,66082
derived_period,body,ALL,to_2009,35539,1945,357,21363,0.6011142688314246,0.0976558099147892,60,198,9741,25540,25558,25558,9981
derived_period,body,ALL,2010s,35969,2212,408,21447,0.5962634490811533,0.10141082534974598,65,232,10006,25666,25799,25799,10170
derived_period,body,ALL,2020s,28398,1780,331,16863,0.5938094231988168,0.0942565818297686,22,312,7520,20544,20638,20638,7760
derived_period,T,ALL,to_2009,156737,1956,357,100328,0.640104123467975,0.4306896276939226,14764,1537,66523,73913,73954,73954,82783
derived_period,T,ALL,2010s,154162,2232,412,99699,0.6467157924780426,0.4346436002548733,14931,2642,60552,76037,76410,76410,77752
derived_period,T,ALL,2020s,128374,1805,332,83054,0.6469690124168446,0.4260896695476693,12583,3756,48298,63737,64072,64072,64302
surface_derived_period,wide,Hard,to_2009,105888,1251,237,68331,0.6453139165911151,0.4710278378306243,8270,705,41355,55558,55586,55586,50302
surface_derived_period,wide,Hard,2010s,101228,1415,323,65714,0.6491682143280515,0.459870163499498,8461,1526,37844,53397,53791,53791,47437
surface_derived_period,wide,Hard,2020s,93015,1183,269,60816,0.6538300274149331,0.47592124517759743,7656,2486,33791,49082,49518,49518,43497
surface_derived_period,wide,Clay,to_2009,36872,404,179,22344,0.6059882837925797,0.48849379313999547,1380,166,13750,21576,21588,21588,15284
surface_derived_period,wide,Clay,2010s,42368,583,235,26544,0.6265105740181269,0.4755426852537769,2016,433,15426,24493,24560,24560,17808
surface_derived_period,wide,Clay,2020s,36236,452,203,22583,0.6232200022077492,0.4917690167605347,1660,802,13116,20658,20851,20851,15385
surface_derived_period,wide,Grass,to_2009,28885,301,150,19200,0.6647048641163233,0.45389547125931046,2179,393,11087,15226,15233,15233,13652
surface_derived_period,wide,Grass,2010s,20959,234,122,14257,0.6802328355360465,0.4609514174492511,1928,218,7032,11781,11841,11841,9118
surface_derived_period,wide,Grass,2020s,15261,170,107,10251,0.6717122075879693,0.47457785241160555,1383,395,5520,7963,8061,8061,7200
surface_derived_period,body,Hard,to_2009,20439,1244,237,12332,0.6033563285875043,0.09092000960845543,35,90,5722,14592,14604,14604,5835
surface_derived_period,body,Hard,2010s,22344,1400,321,13289,0.5947457930540637,0.10150688478714173,42,147,6362,15793,15895,15895,6449
surface_derived_period,body,Hard,2020s,17657,1167,268,10530,0.5963640482528175,0.09034393835511302,14,194,4670,12779,12840,12840,4817
surface_derived_period,body,Clay,to_2009,8677,403,179,5017,0.5781952287657024,0.11495608166293504,6,22,2413,6236,6240,6240,2437
surface_derived_period,body,Clay,2010s,9723,579,231,5724,0.5887071891391545,0.10913192807596471,8,57,2717,6941,6952,6952,2771
surface_derived_period,body,Clay,2020s,7696,446,201,4467,0.5804313929313929,0.10444459523647961,4,64,2012,5616,5634,5634,2062
surface_derived_period,body,Grass,to_2009,6423,298,149,4014,0.6249416160672583,0.10093026179326817,19,86,1606,4712,4714,4714,1709
surface_derived_period,body,Grass,2010s,3902,233,121,2434,0.6237826755509995,0.08581671028612901,15,28,927,2932,2952,2952,950
surface_derived_period,body,Grass,2020s,3045,167,107,1866,0.6128078817733991,0.09469166899897379,4,54,838,2149,2164,2164,881
surface_derived_period,T,Hard,to_2009,98475,1251,237,63332,0.6431276973851231,0.4380521525609203,10204,869,42178,45224,45258,45258,53217
surface_derived_period,T,Hard,2010s,96551,1415,323,62657,0.6489523671427536,0.43862295171336024,9905,1869,38497,46280,46541,46541,50010
surface_derived_period,T,Hard,2020s,84770,1183,269,55259,0.6518697652471394,0.4337348164672895,9016,2560,31799,41395,41614,41614,43156
surface_derived_period,T,Clay,to_2009,29932,404,179,18168,0.606975811840171,0.39655012519706945,1890,211,12924,14907,14911,14911,15021
surface_derived_period,T,Clay,2010s,37003,583,235,22941,0.6199767586411913,0.41532538667025837,2537,459,14852,19155,19227,19227,17776
surface_derived_period,T,Clay,2020s,29753,452,203,18503,0.6218868685510704,0.40378638800298566,1953,717,11415,15668,15746,15746,14007
surface_derived_period,T,Grass,to_2009,28330,301,150,18828,0.6645958348040946,0.44517426694742135,2670,457,11421,13782,13785,13785,14545
surface_derived_period,T,Grass,2010s,20608,234,122,14101,0.6842488354037267,0.45323187226461986,2489,314,7203,10602,10642,10642,9966
surface_derived_period,T,Grass,2020s,13851,170,107,9292,0.6708540899574038,0.43073047858942065,1614,479,5084,6674,6712,6712,7139
