scope,surface,direction,cut_kind,point_cut,match_cut,directional_points,directional_matches,directional_server_wins,first_date,last_date,possible_servers,observed_servers,zero_evidence_servers,eligible_servers,eligible_server_rate,eligible_matches,min_points,p25_points,median_points,p75_points,p90_points,max_points,min_matches,p25_matches,median_matches,p75_matches,p90_matches,max_matches
global,ALL,wide,point_only,25,0,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,756,0.8689655172413793,5988,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,point_only,50,0,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,566,0.6505747126436782,5964,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,point_only,100,0,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,401,0.46091954022988507,5931,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,match_only,0,3,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,403,0.4632183908045977,5946,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,match_only,0,5,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,310,0.3563218390804598,5897,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,match_only,0,10,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,199,0.22873563218390805,5773,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,25,3,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,403,0.4632183908045977,5946,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,25,5,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,310,0.3563218390804598,5897,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,25,10,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,199,0.22873563218390805,5773,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,50,3,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,403,0.4632183908045977,5946,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,50,5,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,310,0.3563218390804598,5897,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,50,10,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,199,0.22873563218390805,5773,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,100,3,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,380,0.4367816091954023,5929,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,100,5,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,310,0.3563218390804598,5897,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,wide,joint,100,10,480712,5993,310040,1960-05-29,2023-12-31,870,870,0,199,0.22873563218390805,5773,7.0,35.0,83.0,328.75,1259.8000000000002,30303.0,1.0,1.0,2.0,9.0,32.0,722.0
global,ALL,body,point_only,25,0,99906,5937,59673,1960-05-29,2023-12-31,870,868,2,413,0.4747126436781609,5830,0.0,10.0,22.0,80.0,270.20000000000005,6124.0,0.0,1.0,2.0,8.75,31.0,673.0
global,ALL,body,point_only,50,0,99906,5937,59673,1960-05-29,2023-12-31,870,868,2,282,0.32413793103448274,5745,0.0,10.0,22.0,80.0,270.20000000000005,6124.0,0.0,1.0,2.0,8.75,31.0,673.0
global,ALL,body,point_only,100,0,99906,5937,59673,1960-05-29,2023-12-31,870,868,2,192,0.2206896551724138,5607,0.0,10.0,22.0,80.0,270.20000000000005,6124.0,0.0,1.0,2.0,8.75,31.0,673.0
