dimension,direction,surface,derived_period,immediate_outcome,points,matches,servers,server_wins,server_win_rate
pooled,wide,ALL,ALL,ace,34933,5679,727,34933,1.0
pooled,wide,ALL,ALL,unreturned,7124,2080,384,7124,1.0
pooled,wide,ALL,ALL,fault,178921,5987,867,91501,0.511404474600522
pooled,wide,ALL,ALL,continuation_or_other,259734,5993,870,176482,0.6794720752770141
pooled,body,ALL,ALL,ace,147,139,80,147,1.0
pooled,body,ALL,ALL,unreturned,742,524,197,742,1.0
pooled,body,ALL,ALL,fault,27267,5309,815,13785,0.5055561667950269
pooled,body,ALL,ALL,continuation_or_other,71750,5880,861,44999,0.6271637630662021
pooled,T,ALL,ALL,ace,42278,5785,739,42278,1.0
pooled,T,ALL,ALL,unreturned,7935,2192,400,7935,1.0
pooled,T,ALL,ALL,fault,175373,5987,867,89462,0.5101241354142314
pooled,T,ALL,ALL,continuation_or_other,213687,5993,869,143406,0.6711030619551026
surface,wide,Hard,ALL,ace,24387,3717,576,24387,1.0
surface,wide,Hard,ALL,unreturned,4717,1331,303,4717,1.0
surface,wide,Hard,ALL,fault,112990,3847,640,57685,0.5105319054783609
surface,wide,Hard,ALL,continuation_or_other,158037,3849,643,108072,0.6838398602858824
surface,wide,Clay,ALL,ace,5056,1296,381,5056,1.0
surface,wide,Clay,ALL,unreturned,1401,469,212,1401,1.0
surface,wide,Clay,ALL,fault,42292,1439,498,21344,0.5046817364986286
surface,wide,Clay,ALL,continuation_or_other,66727,1439,499,43670,0.6544577157672307
surface,wide,Grass,ALL,ace,5490,666,273,5490,1.0
surface,wide,Grass,ALL,unreturned,1006,280,157,1006,1.0
surface,wide,Grass,ALL,fault,23639,701,316,12472,0.52760269046914
surface,wide,Grass,ALL,continuation_or_other,34970,705,316,24740,0.7074635401772948
surface,body,Hard,ALL,ace,91,84,60,91,1.0
surface,body,Hard,ALL,unreturned,431,316,144,431,1.0
surface,body,Hard,ALL,fault,16754,3385,605,8447,0.5041781067207831
surface,body,Hard,ALL,continuation_or_other,43164,3774,633,27182,0.6297377444166435
surface,body,Clay,ALL,ace,18,18,15,18,1.0
surface,body,Clay,ALL,unreturned,143,103,75,143,1.0
surface,body,Clay,ALL,fault,7142,1297,453,3565,0.49915989918790254
surface,body,Clay,ALL,continuation_or_other,18793,1409,492,11482,0.6109721704890119
surface,body,Grass,ALL,ace,38,37,28,38,1.0
surface,body,Grass,ALL,unreturned,168,105,76,168,1.0
surface,body,Grass,ALL,fault,3371,627,290,1773,0.5259566894096708
surface,body,Grass,ALL,continuation_or_other,9793,697,311,6335,0.6468906361686919
surface,T,Hard,ALL,ace,29125,3782,581,29125,1.0
surface,T,Hard,ALL,unreturned,5298,1430,326,5298,1.0
surface,T,Hard,ALL,fault,112474,3847,639,57298,0.5094332912495332
surface,T,Hard,ALL,continuation_or_other,132899,3849,643,89527,0.6736469047923611
surface,T,Clay,ALL,ace,6380,1333,399,6380,1.0
surface,T,Clay,ALL,unreturned,1387,479,207,1387,1.0
