scope,metric,threshold,stratum_type,stratum,eligible_snapshots,total_snapshots,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_global,historical_matches,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,historical_matches,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,historical_matches,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,historical_matches,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,historical_matches,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,historical_matches,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,historical_matches,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_global,historical_matches,1,overall,Overall,14046,15048,0.9334130781499203,6641,7524,0.88264221158958,605
server_global,historical_matches,1,surface,Hard,9107,9646,0.944121915820029,4349,4823,0.9017209205888451,513
server_global,historical_matches,1,surface,Clay,3397,3744,0.9073183760683761,1570,1872,0.8386752136752137,407
server_global,historical_matches,1,surface,Grass,1542,1658,0.9300361881785284,722,829,0.8709288299155609,290
server_global,historical_matches,1,derived_period,to_2009,3555,3912,0.9087423312883436,1617,1956,0.8266871165644172,193
server_global,historical_matches,1,derived_period,2010s,4112,4464,0.921146953405018,1939,2232,0.8687275985663082,264
server_global,historical_matches,1,derived_period,2020s,6379,6672,0.9560851318944844,3085,3336,0.9247601918465228,338
server_global,historical_matches,3,overall,Overall,12966,15048,0.8616427432216905,5767,7524,0.7664805954279639,402
server_global,historical_matches,3,surface,Hard,8495,9646,0.8806759278457391,3840,4823,0.7961849471283433,368
server_global,historical_matches,3,surface,Clay,3057,3744,0.8165064102564102,1313,1872,0.7013888888888888,302
server_global,historical_matches,3,surface,Grass,1414,1658,0.8528347406513872,614,829,0.7406513872135102,238
server_global,historical_matches,3,derived_period,to_2009,3211,3912,0.8208077709611452,1318,1956,0.6738241308793456,126
server_global,historical_matches,3,derived_period,2010s,3721,4464,0.8335573476702509,1630,2232,0.7302867383512545,182
server_global,historical_matches,3,derived_period,2020s,6034,6672,0.9043764988009593,2819,3336,0.8450239808153477,243
server_global,historical_matches,5,overall,Overall,12206,15048,0.81113769271664,5182,7524,0.6887293992557151,328
server_global,historical_matches,5,surface,Hard,8054,9646,0.8349574953348539,3483,4823,0.7221646278250052,313
server_global,historical_matches,5,surface,Clay,2822,3744,0.7537393162393162,1149,1872,0.6137820512820513,253
server_global,historical_matches,5,surface,Grass,1330,1658,0.8021712907117008,550,829,0.6634499396863691,207
server_global,historical_matches,5,derived_period,to_2009,2974,3912,0.7602249488752556,1132,1956,0.5787321063394683,102
server_global,historical_matches,5,derived_period,2010s,3446,4464,0.7719534050179212,1428,2232,0.6397849462365591,148
