scope,direction,metric,threshold,stratum_type,stratum,eligible_rows,total_rows,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_global,wide,direction_points,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,wide,direction_points,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,wide,direction_points,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,wide,direction_points,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,wide,direction_points,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,wide,direction_points,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,wide,direction_points,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_global,wide,direction_points,10,overall,Overall,13711,15048,0.9111509835194046,6374,7524,0.8471557682083998,544
server_global,wide,direction_points,10,surface,Hard,8921,9646,0.9248393116317645,4203,4823,0.8714493054115695,470
server_global,wide,direction_points,10,surface,Clay,3284,3744,0.8771367521367521,1482,1872,0.7916666666666666,373
server_global,wide,direction_points,10,surface,Grass,1506,1658,0.9083232810615199,689,829,0.8311218335343787,275
server_global,wide,direction_points,10,derived_period,to_2009,3482,3912,0.8900817995910021,1551,1956,0.7929447852760736,176
server_global,wide,direction_points,10,derived_period,2010s,3960,4464,0.8870967741935484,1822,2232,0.8163082437275986,234
server_global,wide,direction_points,10,derived_period,2020s,6269,6672,0.9395983213429256,3001,3336,0.8995803357314148,307
server_global,wide,direction_points,25,overall,Overall,13047,15048,0.8670255183413078,5836,7524,0.7756512493354598,424
server_global,wide,direction_points,25,surface,Hard,8532,9646,0.8845117147003939,3880,4823,0.8044785403275969,376
server_global,wide,direction_points,25,surface,Clay,3073,3744,0.8207799145299145,1321,1872,0.7056623931623932,311
server_global,wide,direction_points,25,surface,Grass,1442,1658,0.8697225572979493,635,829,0.7659831121833535,247
server_global,wide,direction_points,25,derived_period,to_2009,3323,3912,0.8494376278118609,1408,1956,0.7198364008179959,144
server_global,wide,direction_points,25,derived_period,2010s,3713,4464,0.8317652329749103,1625,2232,0.7280465949820788,181
server_global,wide,direction_points,25,derived_period,2020s,6011,6672,0.9009292565947242,2803,3336,0.8402278177458034,252
server_global,wide,direction_points,50,overall,Overall,12198,15048,0.8106060606060606,5181,7524,0.6885964912280702,328
server_global,wide,direction_points,50,surface,Hard,8049,9646,0.8344391457599005,3489,4823,0.7234086668048932,308
server_global,wide,direction_points,50,surface,Clay,2802,3744,0.7483974358974359,1131,1872,0.6041666666666666,252
server_global,wide,direction_points,50,surface,Grass,1347,1658,0.8124246079613993,561,829,0.6767189384800965,212
server_global,wide,direction_points,50,derived_period,to_2009,3100,3912,0.7924335378323109,1226,1956,0.6267893660531697,111
server_global,wide,direction_points,50,derived_period,2010s,3375,4464,0.7560483870967742,1380,2232,0.6182795698924731,144
server_global,wide,direction_points,50,derived_period,2020s,5723,6672,0.857763788968825,2575,3336,0.7718824940047961,206
server_global,wide,direction_points,100,overall,Overall,10987,15048,0.730130249867092,4242,7524,0.5637958532695375,247
server_global,wide,direction_points,100,surface,Hard,7266,9646,0.7532656023222061,2861,4823,0.5931992535766121,235
server_global,wide,direction_points,100,surface,Clay,2494,3744,0.6661324786324786,914,1872,0.48824786324786323,202
server_global,wide,direction_points,100,surface,Grass,1227,1658,0.7400482509047045,467,829,0.5633293124246079,166
server_global,wide,direction_points,100,derived_period,to_2009,2760,3912,0.7055214723926381,959,1956,0.49028629856850714,78
server_global,wide,direction_points,100,derived_period,2010s,2968,4464,0.6648745519713262,1086,2232,0.48655913978494625,95
server_global,wide,direction_points,100,derived_period,2020s,5259,6672,0.7882194244604317,2197,3336,0.6585731414868106,165
server_global,wide,direction_points,250,overall,Overall,8597,15048,0.5713051568314726,2609,7524,0.34675704412546515,145
server_global,wide,direction_points,250,surface,Hard,5717,9646,0.5926809040016587,1784,4823,0.3698942566867095,140
server_global,wide,direction_points,250,surface,Clay,1898,3744,0.5069444444444444,541,1872,0.28899572649572647,132
server_global,wide,direction_points,250,surface,Grass,982,1658,0.5922798552472859,284,829,0.3425814234016888,110
server_global,wide,direction_points,250,derived_period,to_2009,2186,3912,0.5587934560327198,568,1956,0.2903885480572597,45
server_global,wide,direction_points,250,derived_period,2010s,2298,4464,0.5147849462365591,672,2232,0.3010752688172043,54
server_global,wide,direction_points,250,derived_period,2020s,4113,6672,0.6164568345323741,1369,3336,0.4103717026378897,97
server_global,wide,direction_matches,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,wide,direction_matches,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,wide,direction_matches,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,wide,direction_matches,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,wide,direction_matches,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,wide,direction_matches,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,wide,direction_matches,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
