role,scope,direction,threshold_points,stratum_type,stratum,observed_rows,minimum_points,median_points,points_q1,points_q3,median_raw_rate,raw_rate_q1,raw_rate_q3,zero_rate_rows,one_rate_rows,zero_rate_share,one_rate_share,median_wilson_width,wilson_width_p90
server,global,wide,0,overall,Overall,14042,1.0,398.0,121.0,1128.0,0.5226824457593688,0.4892086330935252,0.5494598223859937,19,24,0.0013530836063238856,0.0017091582395670133,0.09750079847199844,0.3049724365303897
server,global,wide,0,surface,Hard,9106,1.0,426.0,133.0,1188.0,0.5225126333798122,0.4899250819416263,0.5484976926761705,10,17,0.0010981770261366132,0.0018669009444322424,0.0942155393550691,0.285733018235642
server,global,wide,0,surface,Clay,3396,1.0,317.0,90.0,916.25,0.5230572328695196,0.4849561970415051,0.5511146838156484,6,6,0.0017667844522968198,0.0017667844522968198,0.1091753251841662,0.35271157268829234
server,global,wide,0,surface,Grass,1540,1.0,439.0,137.0,1218.5,0.5225436323776442,0.4928468801313629,0.551589861048335,3,1,0.001948051948051948,0.0006493506493506494,0.09299904766352404,0.2937059452381568
server,global,wide,0,derived_period,to_2009,3555,1.0,409.0,117.0,1204.5,0.5230832646331409,0.49583524841084703,0.5509669067326617,3,3,0.0008438818565400844,0.0008438818565400844,0.09610896892562626,0.2990674352051057
server,global,wide,0,derived_period,2010s,4111,1.0,328.0,82.0,1109.0,0.5216216216216216,0.48015908926373707,0.5621772289164717,11,13,0.002675747993189005,0.0031622476283142786,0.10743045116696287,0.35321492834570495
server,global,wide,0,derived_period,2020s,6376,1.0,429.0,154.0,1107.0,0.5230268178397315,0.48874486830573366,0.5454545454545454,5,8,0.0007841907151819323,0.0012547051442910915,0.09377505097702132,0.26832050711815447
server,global,wide,10,overall,Overall,13711,10.0,416.0,135.0,1161.5,0.5228494623655914,0.4899181590326407,0.5490287971781924,0,0,0.0,0.0,0.09537368094503801,0.2773789749315029
server,global,wide,10,surface,Hard,8921,10.0,443.0,145.0,1209.0,0.5227043390514632,0.49051833122629585,0.5482751139075721,0,0,0.0,0.0,0.09250696382806955,0.26228274080438907
server,global,wide,10,surface,Clay,3284,10.0,340.0,105.0,951.5,0.5238095238095238,0.48672566371681414,0.5507246376811594,0,0,0.0,0.0,0.10545079563981041,0.314369594016217
server,global,wide,10,surface,Grass,1506,10.0,456.0,149.0,1243.5,0.5225436323776442,0.49341443055998824,0.5508326159874143,0,0,0.0,0.0,0.09128335261740678,0.2689231613038755
