group_type,serve_number,surface,derived_period,validation_fold,attempts,matches,servers,returners,positive_attempts,negative_attempts,unknown_attempts,censored_attempts,documented_initial_return_approach_prevalence
total,0,ALL,ALL,ALL,1426863,5993,870,870,12434,0,885892,528537,0.008714221337297275
serve_number,1,ALL,ALL,ALL,1035760,5993,870,870,1823,0,544958,488979,0.0017600602456167452
serve_number,2,ALL,ALL,ALL,391103,5993,870,870,10611,0,340934,39558,0.027130960386394377
surface,0,Hard,ALL,ALL,896425,3849,643,643,8906,0,548561,338958,0.009935019661432913
surface,0,Clay,ALL,ALL,332878,1439,499,499,1891,0,215858,115129,0.005680759918048054
surface,0,Grass,ALL,ALL,197560,705,316,316,1637,0,121473,74450,0.008286090301680503
derived_period,0,ALL,to_2009,ALL,522483,1956,357,357,9111,0,315430,197942,0.017437887931281974
derived_period,0,ALL,2010s,ALL,490667,2232,412,412,2039,0,310267,178361,0.004155567829097942
derived_period,0,ALL,2020s,ALL,413713,1805,332,332,1284,0,260195,152234,0.0031036008053892433
validation_fold,0,ALL,ALL,pre_validation,1013150,4188,709,709,11150,0,625697,376303,0.011005280560627745
validation_fold,0,ALL,ALL,2020,42510,168,113,113,142,0,27312,15056,0.003340390496353799
validation_fold,0,ALL,ALL,2021,83356,371,166,166,255,0,53304,29797,0.0030591679063294783
validation_fold,0,ALL,ALL,2022,144535,646,220,220,441,0,90471,53623,0.0030511640779050057
validation_fold,0,ALL,ALL,2023,143312,620,178,178,446,0,89108,53758,0.0031120911019314502
