group_type,serve_number,surface,derived_period,validation_fold,state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion
total,0,ALL,ALL,ALL,documented_initial_return_approach,documented_approach_after_initial_return,12434,2948,516,473,1426863,0.008714221337297275
total,0,ALL,ALL,ALL,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,1426863,0.0
total,0,ALL,ALL,ALL,unknown_initial_return,missing_or_ambiguous_service_prefix,1404,568,208,221,1426863,0.0009839767377807119
total,0,ALL,ALL,ALL,unknown_initial_return,unknown_or_invalid_initial_return_type,15204,1831,420,441,1426863,0.010655542963830445
total,0,ALL,ALL,ALL,unknown_initial_return,ambiguous_initial_return_boundary,869284,5993,870,870,1426863,0.6092273750177838
total,0,ALL,ALL,ALL,ineligible_censored,censored_ace,80249,5936,800,842,1426863,0.05624155928074384
total,0,ALL,ALL,ALL,ineligible_censored,censored_unreturned_serve,17593,2634,457,503,1426863,0.012329845261948764
total,0,ALL,ALL,ALL,ineligible_censored,censored_service_fault,382740,5991,870,869,1426863,0.2682387867650924
total,0,ALL,ALL,ALL,ineligible_censored,censored_double_fault,34382,5848,830,806,1426863,0.024096216665510282
total,0,ALL,ALL,ALL,ineligible_censored,censored_special_event,13573,1299,400,403,1426863,0.009512475970012538
total,0,ALL,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,1426863,0.0
serve_number,1,ALL,ALL,ALL,documented_initial_return_approach,documented_approach_after_initial_return,1823,946,290,236,1035760,0.0017600602456167452
serve_number,1,ALL,ALL,ALL,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,1035760,0.0
serve_number,1,ALL,ALL,ALL,unknown_initial_return,missing_or_ambiguous_service_prefix,1259,508,190,206,1035760,0.0012155325558044334
serve_number,1,ALL,ALL,ALL,unknown_initial_return,unknown_or_invalid_initial_return_type,13673,1760,399,428,1035760,0.013200934579439253
serve_number,1,ALL,ALL,ALL,unknown_initial_return,ambiguous_initial_return_boundary,530026,5993,870,870,1035760,0.5117266548235112
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_ace,77442,5924,795,840,1035760,0.07476828608944157
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_unreturned_serve,15810,2606,455,498,1035760,0.015264153858036611
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_service_fault,382154,5990,869,869,1035760,0.3689599907314436
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_double_fault,0,0,0,0,1035760,0.0
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_special_event,13573,1299,400,403,1035760,0.013104387116706574
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,1035760,0.0
serve_number,2,ALL,ALL,ALL,documented_initial_return_approach,documented_approach_after_initial_return,10611,2753,497,448,391103,0.027130960386394377
serve_number,2,ALL,ALL,ALL,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,391103,0.0
serve_number,2,ALL,ALL,ALL,unknown_initial_return,missing_or_ambiguous_service_prefix,145,109,79,81,391103,0.00037074632513685654
serve_number,2,ALL,ALL,ALL,unknown_initial_return,unknown_or_invalid_initial_return_type,1531,497,224,250,391103,0.003914569819203637
serve_number,2,ALL,ALL,ALL,unknown_initial_return,ambiguous_initial_return_boundary,339258,5993,870,870,391103,0.867439012229515
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_ace,2807,1929,370,422,391103,0.007177137480407975
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_unreturned_serve,1783,777,223,250,391103,0.0045589013635794155
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_service_fault,586,406,170,187,391103,0.0014983265277944684
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_double_fault,34382,5848,830,806,391103,0.08791034586796828
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_special_event,0,0,0,0,391103,0.0
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,391103,0.0
surface,0,Hard,ALL,ALL,documented_initial_return_approach,documented_approach_after_initial_return,8906,2030,403,381,896425,0.009935019661432913
surface,0,Hard,ALL,ALL,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,896425,0.0
surface,0,Hard,ALL,ALL,unknown_initial_return,missing_or_ambiguous_service_prefix,876,374,146,159,896425,0.0009772150486655326
surface,0,Hard,ALL,ALL,unknown_initial_return,unknown_or_invalid_initial_return_type,8445,1182,302,321,896425,0.009420754664361212
surface,0,Hard,ALL,ALL,unknown_initial_return,ambiguous_initial_return_boundary,539240,3849,643,643,896425,0.6015450260758011
surface,0,Hard,ALL,ALL,ineligible_censored,censored_ace,55504,3837,614,636,896425,0.06191705943051566
surface,0,Hard,ALL,ALL,ineligible_censored,censored_unreturned_serve,11627,1689,368,394,896425,0.01297041024067825
surface,0,Hard,ALL,ALL,ineligible_censored,censored_service_fault,242924,3849,642,643,896425,0.2709919959840477
surface,0,Hard,ALL,ALL,ineligible_censored,censored_double_fault,22088,3762,616,598,896425,0.024640098167721784
surface,0,Hard,ALL,ALL,ineligible_censored,censored_special_event,6815,788,287,274,896425,0.007602420726775804
surface,0,Hard,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,896425,0.0
surface,0,Clay,ALL,ALL,documented_initial_return_approach,documented_approach_after_initial_return,1891,490,223,192,332878,0.005680759918048054
surface,0,Clay,ALL,ALL,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,332878,0.0
surface,0,Clay,ALL,ALL,unknown_initial_return,missing_or_ambiguous_service_prefix,380,119,84,88,332878,0.001141559370099556
surface,0,Clay,ALL,ALL,unknown_initial_return,unknown_or_invalid_initial_return_type,2742,383,222,221,332878,0.008237252086349954
surface,0,Clay,ALL,ALL,unknown_initial_return,ambiguous_initial_return_boundary,212736,1439,499,499,332878,0.6390809846249977
surface,0,Clay,ALL,ALL,ineligible_censored,censored_ace,11919,1415,440,474,332878,0.03580591087425423
surface,0,Clay,ALL,ALL,ineligible_censored,censored_unreturned_serve,3204,618,257,271,332878,0.009625147952102573
surface,0,Clay,ALL,ALL,ineligible_censored,censored_service_fault,88836,1439,499,499,332878,0.26687254790043197
surface,0,Clay,ALL,ALL,ineligible_censored,censored_double_fault,7301,1403,465,451,332878,0.0219329604239391
surface,0,Clay,ALL,ALL,ineligible_censored,censored_special_event,3869,315,194,201,332878,0.011622876849776795
surface,0,Clay,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,332878,0.0
