group_type,serve_number,surface,derived_period,validation_fold,attempts,matches,servers,returners,observed_depth_attempts,unknown_depth_attempts,not_documented_attempts,unknown_initial_attempts,censored_attempts,observed_depth_numerator,observed_depth_denominator,observed_depth_coverage
total,0,ALL,ALL,ALL,1426863,5993,870,870,601246,0,229225,67855,528537,601246,1426863,0.4213761237063404
serve_number,1,ALL,ALL,ALL,1035760,5993,870,870,346754,0,153882,46145,488979,346754,1035760,0.3347821889240751
serve_number,2,ALL,ALL,ALL,391103,5993,870,870,254492,0,75343,21710,39558,254492,391103,0.6507032674257165
surface,0,Clay,ALL,ALL,332878,1439,499,499,155437,0,46937,15375,115129,155437,332878,0.4669488521320123
surface,0,Grass,ALL,ALL,197560,705,316,316,73483,0,38327,11300,74450,73483,197560,0.3719528244583924
surface,0,Hard,ALL,ALL,896425,3849,643,643,372326,0,143961,41180,338958,372326,896425,0.41534539978246926
derived_period,0,ALL,2010s,ALL,490667,2232,412,412,215293,0,70300,26713,178361,215293,490667,0.4387761964835622
derived_period,0,ALL,2020s,ALL,413713,1805,332,332,162717,0,80934,17828,152234,162717,413713,0.3933088880455775
derived_period,0,ALL,to_2009,ALL,522483,1956,357,357,223236,0,77991,23314,197942,223236,522483,0.42725983429125924
validation_fold,0,ALL,ALL,pre_validation,1013150,4188,709,709,438529,0,148291,50027,376303,438529,1013150,0.4328371909391502
validation_fold,0,ALL,ALL,validation_2020,42510,168,113,113,18577,0,5882,2995,15056,18577,42510,0.43700305810397555
validation_fold,0,ALL,ALL,validation_2021,83356,371,166,166,32384,0,16721,4454,29797,32384,83356,0.38850232736695617
validation_fold,0,ALL,ALL,validation_2022,144535,646,220,220,52321,0,32270,6321,53623,52321,144535,0.3619953644445982
validation_fold,0,ALL,ALL,validation_2023,143312,620,178,178,59435,0,26061,4058,53758,59435,143312,0.4147245171374344
