group_type,serve_number,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
total,0,return_depth_observed,documented_depth_7,159482,5370,859,859,1426863,0.11177106701904808
total,0,return_depth_observed,documented_depth_8,293400,5371,858,858,1426863,0.2056259080234052
total,0,return_depth_observed,documented_depth_9,148364,5348,851,841,1426863,0.10397914866388715
total,0,return_depth_not_documented,no_documented_depth_after_lateral_direction,229225,5936,867,868,1426863,0.16064962088161233
total,0,unknown_initial_return,ambiguous_post_service_boundary,64575,5578,786,794,1426863,0.04525662239472185
total,0,unknown_initial_return,missing_service_prefix,1404,568,208,221,1426863,0.0009839767377807119
total,0,unknown_initial_return,truncated_return_event,26,24,21,25,1426863,1.8221791440383554e-05
total,0,unknown_initial_return,unknown_return_shot_type,1691,396,241,256,1426863,0.0011851172817572535
total,0,unknown_initial_return,unsupported_initial_modifier,159,86,58,67,1426863,0.00011143326303926866
total,0,ineligible_censored,censored_ace,80249,5936,800,842,1426863,0.05624155928074384
total,0,ineligible_censored,censored_double_fault,34382,5848,830,806,1426863,0.024096216665510282
total,0,ineligible_censored,censored_service_fault,382740,5991,870,869,1426863,0.2682387867650924
total,0,ineligible_censored,censored_unreturned_serve,17593,2634,457,503,1426863,0.012329845261948764
total,0,ineligible_censored,special_event_before_return,13573,1299,400,403,1426863,0.009512475970012538
serve_number,1,return_depth_observed,documented_depth_7,103375,5369,859,852,1035760,0.09980593959990731
serve_number,1,return_depth_observed,documented_depth_8,159636,5367,856,855,1035760,0.15412450760794005
serve_number,1,return_depth_observed,documented_depth_9,83743,5250,833,811,1035760,0.08085174171622769
serve_number,2,return_depth_observed,documented_depth_7,56107,5355,839,839,391103,0.14345837285830076
serve_number,2,return_depth_observed,documented_depth_8,133764,5366,854,855,391103,0.3420173202455619
serve_number,2,return_depth_observed,documented_depth_9,64621,5273,823,811,391103,0.16522757432185384
serve_number,1,return_depth_not_documented,no_documented_depth_after_lateral_direction,153882,5896,864,864,1035760,0.14856916660230168
serve_number,2,return_depth_not_documented,no_documented_depth_after_lateral_direction,75343,5876,836,843,391103,0.1926423474123185
serve_number,1,unknown_initial_return,ambiguous_post_service_boundary,43515,5128,730,738,1035760,0.04201262840812543
serve_number,1,unknown_initial_return,missing_service_prefix,1259,508,190,206,1035760,0.0012155325558044334
serve_number,1,unknown_initial_return,truncated_return_event,25,23,20,24,1035760,2.4136865683169846e-05
serve_number,1,unknown_initial_return,unknown_return_shot_type,1217,354,219,235,1035760,0.0011749826214567081
serve_number,1,unknown_initial_return,unsupported_initial_modifier,129,69,42,52,1035760,0.0001245462269251564
serve_number,2,unknown_initial_return,ambiguous_post_service_boundary,21060,4211,656,627,391103,0.05384770763711861
serve_number,2,unknown_initial_return,missing_service_prefix,145,109,79,81,391103,0.00037074632513685654
serve_number,2,unknown_initial_return,truncated_return_event,1,1,1,1,391103,2.55687120784039e-06
serve_number,2,unknown_initial_return,unknown_return_shot_type,474,134,119,126,391103,0.0012119569525163448
serve_number,2,unknown_initial_return,unsupported_initial_modifier,30,25,25,25,391103,7.670613623521169e-05
serve_number,1,ineligible_censored,censored_ace,77442,5924,795,840,1035760,0.07476828608944157
serve_number,1,ineligible_censored,censored_service_fault,382154,5990,869,869,1035760,0.3689599907314436
serve_number,1,ineligible_censored,censored_unreturned_serve,15810,2606,455,498,1035760,0.015264153858036611
serve_number,1,ineligible_censored,special_event_before_return,13573,1299,400,403,1035760,0.013104387116706574
serve_number,2,ineligible_censored,censored_ace,2807,1929,370,422,391103,0.007177137480407975
serve_number,2,ineligible_censored,censored_double_fault,34382,5848,830,806,391103,0.08791034586796828
serve_number,2,ineligible_censored,censored_service_fault,586,406,170,187,391103,0.0014983265277944684
serve_number,2,ineligible_censored,censored_unreturned_serve,1783,777,223,250,391103,0.0045589013635794155
