dimension,serve_number,code,label,attempts,matches,servers,returners,share_of_dimension
lateral_direction,1,1,right_side_of_right_handed_opponent_or_left_of_left_handed,91311,5905,859,860,0.182389999920102
lateral_direction,1,2,centre,271800,5935,869,869,0.542909419218754
lateral_direction,1,3,left_side_of_right_handed_opponent_or_right_of_left_handed,137525,5918,866,867,0.274700580861145
lateral_direction,2,1,right_side_of_right_handed_opponent_or_left_of_left_handed,60366,5884,842,846,0.183018782118332
lateral_direction,2,2,centre,157290,5919,869,868,0.476874801036882
lateral_direction,2,3,left_side_of_right_handed_opponent_or_right_of_left_handed,112179,5913,864,863,0.340106416844786
shot_type,1,b,backhand,188633,5987,861,863,0.362551485413027
shot_type,1,f,forehand,201464,5987,868,866,0.387212589829192
shot_type,1,h,forehand_half_volley,2,2,2,2,3.84398790681405e-06
shot_type,1,i,backhand_half_volley,1,1,1,1,1.92199395340702e-06
shot_type,1,l,forehand_lob,877,615,240,251,0.00168558869713796
shot_type,1,m,backhand_lob,2569,1401,363,373,0.00493760246630264
shot_type,1,o,overhead,4,4,4,4,7.68797581362809e-06
shot_type,1,r,forehand_slice,33538,4749,678,703,0.0644598332093647
shot_type,1,s,backhand_slice,92998,5828,824,820,0.178741593678946
shot_type,1,t,special_shot,12,10,9,8,2.30639274408843e-05
shot_type,1,u,forehand_drop_shot,27,27,23,23,5.18938367419896e-05
shot_type,1,v,forehand_volley,15,15,13,14,2.88299093011053e-05
shot_type,1,y,backhand_drop_shot,150,127,75,76,0.000288299093011053
shot_type,1,z,backhand_volley,3,3,3,3,5.76598186022107e-06
shot_type,2,b,backhand,183383,5975,852,857,0.550732776743348
shot_type,2,f,forehand,118544,5975,858,858,0.356009369932128
shot_type,2,h,forehand_half_volley,2,2,2,2,6.00636674875368e-06
shot_type,2,l,forehand_lob,87,81,60,70,0.000261276953570785
shot_type,2,m,backhand_lob,173,150,79,111,0.000519550723767193
shot_type,2,o,overhead,1,1,1,1,3.00318337437684e-06
shot_type,2,r,forehand_slice,3875,2003,411,443,0.0116373355757103
shot_type,2,s,backhand_slice,26548,3510,564,540,0.0797285122229563
shot_type,2,t,special_shot,4,4,4,4,1.20127334975074e-05
shot_type,2,u,forehand_drop_shot,71,52,46,34,0.000213226019580756
shot_type,2,v,forehand_volley,6,6,5,6,1.8019100246261e-05
shot_type,2,y,backhand_drop_shot,286,241,127,94,0.000858910445071776
return_depth,1,7,service_boxes,103375,5369,859,852,0.298122011570162
return_depth,1,8,behind_service_line_closer_to_service_line,159636,5367,856,855,0.460372483085992
return_depth,1,9,closer_to_baseline,83743,5250,833,811,0.241505505343846
return_depth,2,7,service_boxes,56107,5355,839,839,0.220466655140437
return_depth,2,8,behind_service_line_closer_to_service_line,133764,5366,854,855,0.525611807050909
return_depth,2,9,closer_to_baseline,64621,5273,823,811,0.253921537808654
