dimension,serve_number,surface,derived_period,validation_fold,attempts,return_opportunities,return_events,eligible_directions,opportunity_numerator,opportunity_denominator,opportunity_rate,event_numerator,event_denominator,event_rate,direction_numerator,direction_denominator,direction_rate,end_to_end_numerator,end_to_end_denominator,end_to_end_rate
total,0,ALL,ALL,ALL,1426863,853273,853273,830471,853273,1426863,0.598006255681169,853273,853273,1,830471,853273,0.973277016851582,830471,1426863,0.582025744587953
serve_number,1,ALL,ALL,ALL,1035760,520293,520293,500636,520293,1035760,0.50232969027574,520293,520293,1,500636,520293,0.962219364857878,500636,1035760,0.483351355526377
serve_number,2,ALL,ALL,ALL,391103,332980,332980,329835,332980,391103,0.851386974786693,332980,332980,1,329835,332980,0.990554988287585,329835,391103,0.843345614838035
surface,0,Clay,ALL,ALL,332878,206861,206861,202374,206861,332878,0.621431875942537,206861,206861,1,202374,206861,0.978309106114734,202374,332878,0.607952463064546
surface,0,Grass,ALL,ALL,197560,115520,115520,111810,115520,197560,0.584733751771614,115520,115520,1,111810,115520,0.967884349030471,111810,197560,0.565954646689613
surface,0,Hard,ALL,ALL,896425,530892,530892,516287,530892,896425,0.592232479013861,530892,530892,1,516287,530892,0.972489696586123,516287,896425,0.575939983824637
derived_period,0,ALL,2010s,ALL,490667,295495,295495,285593,295495,490667,0.602231248484206,295495,295495,1,285593,295495,0.966490126736493,285593,490667,0.582050555672177
derived_period,0,ALL,2020s,ALL,413713,250371,250371,243651,250371,413713,0.60518040283965,250371,250371,1,243651,250371,0.973159830811076,243651,413713,0.588937258437613
derived_period,0,ALL,to_2009,ALL,522483,307407,307407,301227,307407,522483,0.588357898725892,307407,307407,1,301227,307407,0.979896358898789,301227,522483,0.576529762690844
validation_fold,0,ALL,ALL,pre_validation,1013150,602902,602902,586820,602902,1013150,0.595076740857721,602902,602902,1,586820,602902,0.973325681454034,586820,1013150,0.579203474312787
validation_fold,0,ALL,ALL,validation_2020,42510,25489,25489,24459,25489,42510,0.599600094095507,25489,25489,1,24459,25489,0.95959041155008,24459,42510,0.575370501058574
validation_fold,0,ALL,ALL,validation_2021,83356,51040,51040,49105,51040,83356,0.612313450741398,51040,51040,1,49105,51040,0.96208855799373,49105,83356,0.589099764863957
validation_fold,0,ALL,ALL,validation_2022,144535,86912,86912,84591,86912,144535,0.601321479226485,86912,86912,1,84591,86912,0.973294826951399,84591,144535,0.585263085065901
validation_fold,0,ALL,ALL,validation_2023,143312,86930,86930,85496,86930,143312,0.606578653567043,86930,86930,1,85496,86930,0.983503968710457,85496,143312,0.596572513118232
