serve_number,classification_state,reason_code,attempts,matches,servers,returners,return_opportunities,return_events,eligible_directions,share_of_attempts
1,ace,censored_ace,77442,5924,795,840,0,0,0,0.0542743066433147
1,return_direction_observed,observed_lateral_direction_1,91311,5905,859,860,91311,91311,91311,0.0639942307004947
1,return_direction_observed,observed_lateral_direction_2,271800,5935,869,869,271800,271800,271800,0.19048780436524
1,return_direction_observed,observed_lateral_direction_3,137525,5918,866,867,137525,137525,137525,0.0963827641476442
1,return_direction_unknown,localized_return_without_direction,19657,3902,648,671,19657,19657,0,0.0137763751670623
1,service_fault,censored_service_fault,382154,5990,869,869,0,0,0,0.267828095619551
1,special_or_incomplete,challenge_or_penalty_before_return,13551,1280,399,398,0,0,0,0.00949705753110144
1,special_or_incomplete,special_event_before_return,22,20,8,18,0,0,0,1.54184389110938e-05
1,unknown_initial_return,ambiguous_post_service_boundary,23858,3519,555,552,0,0,0,0.0167205961609489
1,unknown_initial_return,missing_service_prefix,1259,508,190,206,0,0,0,0.000882355208593957
1,unknown_initial_return,truncated_return_event,25,23,20,24,0,0,0,1.75209533080611e-05
1,unknown_initial_return,unknown_return_shot_type,1217,354,219,235,0,0,0,0.000852920007036415
1,unknown_initial_return,unsupported_initial_modifier,129,69,42,52,0,0,0,9.04081190695953e-05
1,unreturned_serve,censored_unreturned_serve,15810,2606,455,498,0,0,0,0.0110802508720178
2,ace,censored_ace,2807,1929,370,422,0,0,0,0.0019672526374291
2,return_direction_observed,observed_lateral_direction_1,60366,5884,842,846,60366,60366,60366,0.0423067946957767
2,return_direction_observed,observed_lateral_direction_2,157290,5919,869,868,157290,157290,157290,0.110234829832997
2,return_direction_observed,observed_lateral_direction_3,112179,5913,864,863,112179,112179,112179,0.0786193208457995
2,return_direction_unknown,localized_return_without_direction,3145,1536,391,389,3145,3145,0,0.00220413592615409
2,service_fault,censored_double_fault,34382,5848,830,806,0,0,0,0.0240962166655103
2,service_fault,censored_service_fault,586,406,170,187,0,0,0,0.000410691145540952
2,unknown_initial_return,ambiguous_post_service_boundary,17915,3670,591,558,0,0,0,0.0125555151405566
2,unknown_initial_return,missing_service_prefix,145,109,79,81,0,0,0,0.000101621529186754
2,unknown_initial_return,truncated_return_event,1,1,1,1,0,0,0,7.00838132322444e-07
2,unknown_initial_return,unknown_return_shot_type,474,134,119,126,0,0,0,0.000332197274720839
2,unknown_initial_return,unsupported_initial_modifier,30,25,25,25,0,0,0,2.10251439696733e-05
2,unreturned_serve,censored_unreturned_serve,1783,777,223,250,0,0,0,0.00124959438993092
