stratum,serve_number,surface,derived_period,lateral_direction_code,lateral_direction_label,attempts,matches,returners,servers,returner_point_wins,returner_point_win_rate,wilson_95_lower,wilson_95_upper,server_point_wins,server_point_win_rate
derived_period,0,ALL,2010s,1,right_side_of_right_handed_opponent_or_left_of_left_handed,50876,2203,412,411,19451,0.382321723405928,0.378108087079627,0.386553129294424,31425,0.617678276594072
derived_period,0,ALL,2010s,2,centre,149169,2208,412,412,55573,0.372550596973902,0.37010038171038,0.375007376322798,93596,0.627449403026098
derived_period,0,ALL,2010s,3,left_side_of_right_handed_opponent_or_right_of_left_handed,85548,2203,411,410,34446,0.402651143217843,0.399369175991874,0.405941852783385,51102,0.597348856782157
derived_period,0,ALL,2020s,1,right_side_of_right_handed_opponent_or_left_of_left_handed,41126,1777,330,331,15596,0.379224821280941,0.374547035116719,0.383925167847011,25530,0.620775178719059
derived_period,0,ALL,2020s,2,centre,135636,1778,331,331,52014,0.383482261346545,0.380897942818085,0.38607317967769,83622,0.616517738653455
derived_period,0,ALL,2020s,3,left_side_of_right_handed_opponent_or_right_of_left_handed,66889,1777,331,331,26627,0.398077411831542,0.394373786108666,0.401792743782373,40262,0.601922588168458
derived_period,0,ALL,to_2009,1,right_side_of_right_handed_opponent_or_left_of_left_handed,59675,1952,357,357,22343,0.374411395056556,0.37053656494129,0.378302393161765,37332,0.625588604943444
derived_period,0,ALL,to_2009,2,centre,144285,1952,357,357,52526,0.364043386353398,0.361564315972513,0.366529695987539,91759,0.635956613646602
derived_period,0,ALL,to_2009,3,left_side_of_right_handed_opponent_or_right_of_left_handed,97267,1952,357,357,39046,0.401431112299135,0.398354515856863,0.404515494184968,58221,0.598568887700865
serve_number,1,ALL,ALL,1,right_side_of_right_handed_opponent_or_left_of_left_handed,91311,5905,860,859,30138,0.330058810000986,0.327016009945671,0.333115908325298,61173,0.669941189999014
serve_number,1,ALL,ALL,2,centre,271800,5935,869,869,92649,0.340871964679912,0.339092240437744,0.342656186899677,179151,0.659128035320088
serve_number,1,ALL,ALL,3,left_side_of_right_handed_opponent_or_right_of_left_handed,137525,5918,867,866,48159,0.350183602981276,0.347666658857806,0.352708916454967,89366,0.649816397018724
serve_number,2,ALL,ALL,1,right_side_of_right_handed_opponent_or_left_of_left_handed,60366,5884,846,842,27252,0.451446178312295,0.44747963068318,0.455418905103127,33114,0.548553821687705
serve_number,2,ALL,ALL,2,centre,157290,5919,868,869,67464,0.42891474346748,0.426470638064638,0.431362320984465,89826,0.57108525653252
serve_number,2,ALL,ALL,3,left_side_of_right_handed_opponent_or_right_of_left_handed,112179,5913,863,864,51960,0.463188297274891,0.460271629014452,0.466107486609646,60219,0.536811702725109
surface,0,Clay,ALL,1,right_side_of_right_handed_opponent_or_left_of_left_handed,36111,1421,495,496,14515,0.401955082938717,0.396908874250525,0.407022149285215,21596,0.598044917061283
surface,0,Clay,ALL,2,centre,102820,1422,497,497,39689,0.386004668352461,0.383033286842245,0.388984567505395,63131,0.613995331647539
surface,0,Clay,ALL,3,left_side_of_right_handed_opponent_or_right_of_left_handed,63443,1416,496,496,26416,0.41637375281749,0.412543046168509,0.420214585952754,37027,0.58362624718251
surface,0,Grass,ALL,1,right_side_of_right_handed_opponent_or_left_of_left_handed,22515,702,316,316,7975,0.354208305574062,0.347986426216612,0.360479925748912,14540,0.645791694425938
surface,0,Grass,ALL,2,centre,56321,702,316,316,19743,0.35054420198505,0.346613945808386,0.354494844487843,36578,0.64945579801495
surface,0,Grass,ALL,3,left_side_of_right_handed_opponent_or_right_of_left_handed,32974,702,316,316,12358,0.374780129799236,0.369570232988068,0.380019199349044,20616,0.625219870200764
surface,0,Hard,ALL,1,right_side_of_right_handed_opponent_or_left_of_left_handed,93051,3809,640,641,34900,0.375063137419265,0.371957657088356,0.378178932953665,58151,0.624936862580735
surface,0,Hard,ALL,2,centre,269949,3814,641,641,100681,0.372963041167035,0.371140601158407,0.374789096675641,169268,0.627036958832965
surface,0,Hard,ALL,3,left_side_of_right_handed_opponent_or_right_of_left_handed,153287,3814,641,641,61345,0.400197016054851,0.397746890439672,0.402652143783,91942,0.599802983945149
total,0,ALL,ALL,1,right_side_of_right_handed_opponent_or_left_of_left_handed,151677,5932,868,869,57390,0.378369825352558,0.375932245302166,0.380813566198247,94287,0.621630174647442
total,0,ALL,ALL,2,centre,429090,5938,869,869,160113,0.373145493952318,0.371699542886626,0.374593716345697,268977,0.626854506047682
total,0,ALL,ALL,3,left_side_of_right_handed_opponent_or_right_of_left_handed,249704,5932,868,868,100119,0.40095072565918,0.399030003651626,0.40287449517783,149585,0.59904927434082
