aggregation_level,group_type,group_value,serve_number,surface,period,validation_fold,attempts,complete_profiles,unknown_profiles,not_documented_profiles,unknown_initial_returns,censored_attempts,complete_profile_coverage,abstention_share
coverage,total,ALL,0,ALL,ALL,ALL,1426863,601246,1376,198928,96776,528537,0.4213761237063404,0.5786238762936596
coverage,serve_number,1,1,ALL,ALL,ALL,1035760,346754,969,133193,65865,488979,0.3347821889240751,0.6652178110759249
coverage,serve_number,2,2,ALL,ALL,ALL,391103,254492,407,65735,30911,39558,0.6507032674257165,0.3492967325742835
coverage,surface,Hard,0,Hard,ALL,ALL,896425,372326,322,127446,57373,338958,0.41534539978246926,0.5846546002175308
coverage,surface,Clay,0,Clay,ALL,ALL,332878,155437,1013,39111,22188,115129,0.4669488521320123,0.5330511478679877
coverage,surface,Grass,0,Grass,ALL,ALL,197560,73483,41,32371,17215,74450,0.3719528244583924,0.6280471755416076
coverage,period,to_2009,0,ALL,to_2009,ALL,522483,223236,86,79774,21445,197942,0.42725983429125924,0.5727401657087408
coverage,period,2010s,0,ALL,2010s,ALL,490667,215293,387,68560,28066,178361,0.4387761964835622,0.5612238035164379
coverage,period,2020s,0,ALL,2020s,ALL,413713,162717,903,50594,47265,152234,0.3933088880455775,0.6066911119544225
coverage,validation_fold,pre_validation,0,ALL,ALL,pre_validation,1013150,438529,473,148334,49511,376303,0.4328371909391502,0.5671628090608498
coverage,validation_fold,2020,0,ALL,ALL,2020,42510,18577,87,5890,2900,15056,0.43700305810397555,0.5629969418960244
coverage,validation_fold,2021,0,ALL,ALL,2021,83356,32384,269,11450,9456,29797,0.38850232736695617,0.6114976726330438
coverage,validation_fold,2022,0,ALL,ALL,2022,144535,52321,413,16375,21803,53623,0.3619953644445982,0.6380046355554018
coverage,validation_fold,2023,0,ALL,ALL,2023,143312,59435,134,16879,13106,53758,0.4147245171374344,0.5852754828625656
