profile_id,return_shot_type_code,return_shot_type_description,return_shot_type_family,return_lateral_direction_code,return_lateral_direction_description,return_depth_code,return_depth_description,complete_profile_attempts,share_of_complete_profiles,share_of_all_attempts
f|1|7,f,"derecha, excluidos slices y golpes especiales",groundstroke,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,13189,0.021936112672683063,0.00924335412720072
f|1|8,f,"derecha, excluidos slices y golpes especiales",groundstroke,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,25028,0.04162688816224973,0.017540576775766138
f|1|9,f,"derecha, excluidos slices y golpes especiales",groundstroke,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,11858,0.01972237653140312,0.008310538573079547
f|2|7,f,"derecha, excluidos slices y golpes especiales",groundstroke,2,centre,7,service_boxes,27468,0.045685127219141586,0.019250621818632904
f|2|8,f,"derecha, excluidos slices y golpes especiales",groundstroke,2,centre,8,behind_service_line_closer_to_service_line,57862,0.09623681488109692,0.04055189601244128
f|2|9,f,"derecha, excluidos slices y golpes especiales",groundstroke,2,centre,9,closer_to_baseline,32960,0.05481949152260472,0.02309962484134777
f|3|7,f,"derecha, excluidos slices y golpes especiales",groundstroke,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,13090,0.021771454612587858,0.009173971152100797
f|3|8,f,"derecha, excluidos slices y golpes especiales",groundstroke,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,26860,0.044673893880375085,0.018824512234180857
f|3|9,f,"derecha, excluidos slices y golpes especiales",groundstroke,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,13420,0.0223203148129052,0.009405247735767204
b|1|7,b,"revés, excluidos slices y golpes especiales",groundstroke,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,9871,0.016417572840401434,0.006917973204154848
b|1|8,b,"revés, excluidos slices y golpes especiales",groundstroke,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,19575,0.03255738915518773,0.013718906440211849
b|1|9,b,"revés, excluidos slices y golpes especiales",groundstroke,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,10234,0.01702131906075051,0.007172377446187896
b|2|7,b,"revés, excluidos slices y golpes especiales",groundstroke,2,centre,7,service_boxes,31607,0.05256916470130363,0.0221513908483155
b|2|8,b,"revés, excluidos slices y golpes especiales",groundstroke,2,centre,8,behind_service_line_closer_to_service_line,67281,0.11190261556833642,0.04715309038078638
b|2|9,b,"revés, excluidos slices y golpes especiales",groundstroke,2,centre,9,closer_to_baseline,37515,0.06239542549971226,0.0262919425340765
b|3|7,b,"revés, excluidos slices y golpes especiales",groundstroke,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,28520,0.04743482700924414,0.019987903533836116
b|3|8,b,"revés, excluidos slices y golpes especiales",groundstroke,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,48381,0.08046789500470689,0.033907249679892185
b|3|9,b,"revés, excluidos slices y golpes especiales",groundstroke,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,18835,0.031326611736294294,0.01320028622229324
r|1|7,r,slice de derecha,slice,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,1388,0.002308539266789301,0.0009727633276635528
r|1|8,r,slice de derecha,slice,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,1896,0.0031534513327323593,0.0013287890988833546
r|1|9,r,slice de derecha,slice,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,965,0.0016050002827461638,0.0006763087976911588
r|2|7,r,slice de derecha,slice,2,centre,7,service_boxes,4714,0.007840384800896804,0.0033037509557680028
r|2|8,r,slice de derecha,slice,2,centre,8,behind_service_line_closer_to_service_line,6663,0.011081986408225586,0.004669684475664447
r|2|9,r,slice de derecha,slice,2,centre,9,closer_to_baseline,4051,0.006737674762077419,0.0028390952740382225
r|3|7,r,slice de derecha,slice,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,1471,0.0024465859232327535,0.0010309328926463158
r|3|8,r,slice de derecha,slice,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,2196,0.0036524151512026693,0.0015390405385800878
r|3|9,r,slice de derecha,slice,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,1249,0.002077352697564724,0.0008753468272707331
s|1|7,s,slice de revés,slice,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,3322,0.005525192683194566,0.0023281842755751604
s|1|8,s,slice de revés,slice,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,3755,0.006245363794520046,0.002631647186870779
s|1|9,s,slice de revés,slice,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,1801,0.0029954461235500943,0.0012622094763127224
s|2|7,s,slice de revés,slice,2,centre,7,service_boxes,13879,0.023083729455164775,0.009726932438503207
s|2|8,s,slice de revés,slice,2,centre,8,behind_service_line_closer_to_service_line,17932,0.029824730642698662,0.012567429388806074
s|2|9,s,slice de revés,slice,2,centre,9,closer_to_baseline,9171,0.015253323930637377,0.006427386511529138
s|3|7,s,slice de revés,slice,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,9840,0.016366013245826167,0.006896247222052853
s|3|8,s,slice de revés,slice,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,15383,0.02558520139842926,0.010780992989516163
s|3|9,s,slice de revés,slice,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,5808,0.009659939525585201,0.004070467872528757
v|1|7,v,volea de derecha,volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
v|1|8,v,volea de derecha,volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,1,1.6632127282343666e-06,7.008381323224444e-07
v|1|9,v,volea de derecha,volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
v|2|7,v,volea de derecha,volley,2,centre,7,service_boxes,3,4.9896381847031e-06,2.102514396967333e-06
v|2|8,v,volea de derecha,volley,2,centre,8,behind_service_line_closer_to_service_line,5,8.316063641171834e-06,3.504190661612222e-06
v|2|9,v,volea de derecha,volley,2,centre,9,closer_to_baseline,4,6.6528509129374665e-06,2.8033525292897778e-06
v|3|7,v,volea de derecha,volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
v|3|8,v,volea de derecha,volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,1,1.6632127282343666e-06,7.008381323224444e-07
v|3|9,v,volea de derecha,volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
z|1|7,z,volea de revés,volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
z|1|8,z,volea de revés,volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
z|1|9,z,volea de revés,volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
z|2|7,z,volea de revés,volley,2,centre,7,service_boxes,1,1.6632127282343666e-06,7.008381323224444e-07
z|2|8,z,volea de revés,volley,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
z|2|9,z,volea de revés,volley,2,centre,9,closer_to_baseline,0,0.0,0.0
z|3|7,z,volea de revés,volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
z|3|8,z,volea de revés,volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
z|3|9,z,volea de revés,volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,1,1.6632127282343666e-06,7.008381323224444e-07
o|1|7,o,remate estándar,overhead,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
o|1|8,o,remate estándar,overhead,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,1,1.6632127282343666e-06,7.008381323224444e-07
o|1|9,o,remate estándar,overhead,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
o|2|7,o,remate estándar,overhead,2,centre,7,service_boxes,1,1.6632127282343666e-06,7.008381323224444e-07
o|2|8,o,remate estándar,overhead,2,centre,8,behind_service_line_closer_to_service_line,1,1.6632127282343666e-06,7.008381323224444e-07
o|2|9,o,remate estándar,overhead,2,centre,9,closer_to_baseline,0,0.0,0.0
o|3|7,o,remate estándar,overhead,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
o|3|8,o,remate estándar,overhead,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
o|3|9,o,remate estándar,overhead,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,1,1.6632127282343666e-06,7.008381323224444e-07
p|1|7,p,remate de revés,overhead,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
p|1|8,p,remate de revés,overhead,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
p|1|9,p,remate de revés,overhead,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
p|2|7,p,remate de revés,overhead,2,centre,7,service_boxes,0,0.0,0.0
p|2|8,p,remate de revés,overhead,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
p|2|9,p,remate de revés,overhead,2,centre,9,closer_to_baseline,0,0.0,0.0
p|3|7,p,remate de revés,overhead,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
p|3|8,p,remate de revés,overhead,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
p|3|9,p,remate de revés,overhead,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
u|1|7,u,dejada de derecha,drop_shot,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,35,5.821244548820283e-05,2.4529334631285553e-05
u|1|8,u,dejada de derecha,drop_shot,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
u|1|9,u,dejada de derecha,drop_shot,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
u|2|7,u,dejada de derecha,drop_shot,2,centre,7,service_boxes,17,2.8274616379984234e-05,1.1914248249481555e-05
u|2|8,u,dejada de derecha,drop_shot,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
u|2|9,u,dejada de derecha,drop_shot,2,centre,9,closer_to_baseline,1,1.6632127282343666e-06,7.008381323224444e-07
u|3|7,u,dejada de derecha,drop_shot,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,13,2.1621765467046765e-05,9.110895720191777e-06
