aggregation_level,group_type,group_value,serve_number,surface,period,validation_fold,state,attempts,state_attempts,state_share
state,total,ALL,0,ALL,ALL,ALL,documented_initial_return_profile,1426863,601246,0.4213761237063404
state,total,ALL,0,ALL,ALL,ALL,initial_return_profile_unknown,1426863,1376,0.0009643532700756835
state,total,ALL,0,ALL,ALL,ALL,initial_return_profile_not_documented,1426863,198928,0.13941632798663922
state,total,ALL,0,ALL,ALL,ALL,unknown_initial_return,1426863,96776,0.06782431109363687
state,total,ALL,0,ALL,ALL,ALL,ineligible_censored,1426863,528537,0.3704188839433078
state,serve_number,1,1,ALL,ALL,ALL,documented_initial_return_profile,1035760,346754,0.3347821889240751
state,serve_number,1,1,ALL,ALL,ALL,initial_return_profile_unknown,1035760,969,0.0009355449138796632
state,serve_number,1,1,ALL,ALL,ALL,initial_return_profile_not_documented,1035760,133193,0.12859446203753766
state,serve_number,1,1,ALL,ALL,ALL,unknown_initial_return,1035760,65865,0.06359098632887927
state,serve_number,1,1,ALL,ALL,ALL,ineligible_censored,1035760,488979,0.47209681779562834
state,serve_number,2,2,ALL,ALL,ALL,documented_initial_return_profile,391103,254492,0.6507032674257165
state,serve_number,2,2,ALL,ALL,ALL,initial_return_profile_unknown,391103,407,0.0010406465815910387
state,serve_number,2,2,ALL,ALL,ALL,initial_return_profile_not_documented,391103,65735,0.16807592884738803
state,serve_number,2,2,ALL,ALL,ALL,unknown_initial_return,391103,30911,0.0790354459055543
state,serve_number,2,2,ALL,ALL,ALL,ineligible_censored,391103,39558,0.10114471123975015
state,surface,Hard,0,Hard,ALL,ALL,documented_initial_return_profile,896425,372326,0.41534539978246926
state,surface,Hard,0,Hard,ALL,ALL,initial_return_profile_unknown,896425,322,0.000359204618345093
state,surface,Hard,0,Hard,ALL,ALL,initial_return_profile_not_documented,896425,127446,0.14217140307331902
state,surface,Hard,0,Hard,ALL,ALL,unknown_initial_return,896425,57373,0.0640020079761274
state,surface,Hard,0,Hard,ALL,ALL,ineligible_censored,896425,338958,0.3781219845497392
state,surface,Clay,0,Clay,ALL,ALL,documented_initial_return_profile,332878,155437,0.4669488521320123
state,surface,Clay,0,Clay,ALL,ALL,initial_return_profile_unknown,332878,1013,0.003043156952396974
state,surface,Clay,0,Clay,ALL,ALL,initial_return_profile_not_documented,332878,39111,0.11749349611569404
state,surface,Clay,0,Clay,ALL,ALL,unknown_initial_return,332878,22188,0.06665505079939196
state,surface,Clay,0,Clay,ALL,ALL,ineligible_censored,332878,115129,0.34585944400050467
state,surface,Grass,0,Grass,ALL,ALL,documented_initial_return_profile,197560,73483,0.3719528244583924
state,surface,Grass,0,Grass,ALL,ALL,initial_return_profile_unknown,197560,41,0.00020753188904636566
state,surface,Grass,0,Grass,ALL,ALL,initial_return_profile_not_documented,197560,32371,0.16385401903219274
state,surface,Grass,0,Grass,ALL,ALL,unknown_initial_return,197560,17215,0.08713808463251671
state,surface,Grass,0,Grass,ALL,ALL,ineligible_censored,197560,74450,0.3768475399878518
state,period,to_2009,0,ALL,to_2009,ALL,documented_initial_return_profile,522483,223236,0.42725983429125924
state,period,to_2009,0,ALL,to_2009,ALL,initial_return_profile_unknown,522483,86,0.000164598656798403
state,period,to_2009,0,ALL,to_2009,ALL,initial_return_profile_not_documented,522483,79774,0.15268247962134654
state,period,to_2009,0,ALL,to_2009,ALL,unknown_initial_return,522483,21445,0.041044397616764566
state,period,to_2009,0,ALL,to_2009,ALL,ineligible_censored,522483,197942,0.37884868981383124
state,period,2010s,0,ALL,2010s,ALL,documented_initial_return_profile,490667,215293,0.4387761964835622
state,period,2010s,0,ALL,2010s,ALL,initial_return_profile_unknown,490667,387,0.0007887222902701833
state,period,2010s,0,ALL,2010s,ALL,initial_return_profile_not_documented,490667,68560,0.13972816594553944
state,period,2010s,0,ALL,2010s,ALL,unknown_initial_return,490667,28066,0.057199689402384915
state,period,2010s,0,ALL,2010s,ALL,ineligible_censored,490667,178361,0.3635072258782433
state,period,2020s,0,ALL,2020s,ALL,documented_initial_return_profile,413713,162717,0.3933088880455775
state,period,2020s,0,ALL,2020s,ALL,initial_return_profile_unknown,413713,903,0.0021826725290237433
state,period,2020s,0,ALL,2020s,ALL,initial_return_profile_not_documented,413713,50594,0.12229250712450418
state,period,2020s,0,ALL,2020s,ALL,unknown_initial_return,413713,47265,0.11424586609557834
state,period,2020s,0,ALL,2020s,ALL,ineligible_censored,413713,152234,0.36797006620531625
state,validation_fold,pre_validation,0,ALL,ALL,pre_validation,documented_initial_return_profile,1013150,438529,0.4328371909391502
state,validation_fold,pre_validation,0,ALL,ALL,pre_validation,initial_return_profile_unknown,1013150,473,0.00046686078073335637
state,validation_fold,pre_validation,0,ALL,ALL,pre_validation,initial_return_profile_not_documented,1013150,148334,0.14640872526279425
state,validation_fold,pre_validation,0,ALL,ALL,pre_validation,unknown_initial_return,1013150,49511,0.048868380792577604
state,validation_fold,pre_validation,0,ALL,ALL,pre_validation,ineligible_censored,1013150,376303,0.3714188422247446
state,validation_fold,2020,0,ALL,ALL,2020,documented_initial_return_profile,42510,18577,0.43700305810397555
state,validation_fold,2020,0,ALL,ALL,2020,initial_return_profile_unknown,42510,87,0.002046577275935074
state,validation_fold,2020,0,ALL,ALL,2020,initial_return_profile_not_documented,42510,5890,0.138555633968478
state,validation_fold,2020,0,ALL,ALL,2020,unknown_initial_return,42510,2900,0.06821924253116914
state,validation_fold,2020,0,ALL,ALL,2020,ineligible_censored,42510,15056,0.35417548812044225
state,validation_fold,2021,0,ALL,ALL,2021,documented_initial_return_profile,83356,32384,0.38850232736695617
state,validation_fold,2021,0,ALL,ALL,2021,initial_return_profile_unknown,83356,269,0.0032271222227554107
state,validation_fold,2021,0,ALL,ALL,2021,initial_return_profile_not_documented,83356,11450,0.13736263736263737
state,validation_fold,2021,0,ALL,ALL,2021,unknown_initial_return,83356,9456,0.1134411440088296
state,validation_fold,2021,0,ALL,ALL,2021,ineligible_censored,83356,29797,0.35746676903882146
state,validation_fold,2022,0,ALL,ALL,2022,documented_initial_return_profile,144535,52321,0.3619953644445982
state,validation_fold,2022,0,ALL,ALL,2022,initial_return_profile_unknown,144535,413,0.002857439374545958
state,validation_fold,2022,0,ALL,ALL,2022,initial_return_profile_not_documented,144535,16375,0.11329435776801466
state,validation_fold,2022,0,ALL,ALL,2022,unknown_initial_return,144535,21803,0.15084927526204725
state,validation_fold,2022,0,ALL,ALL,2022,ineligible_censored,144535,53623,0.3710035631507939
state,validation_fold,2023,0,ALL,ALL,2023,documented_initial_return_profile,143312,59435,0.4147245171374344
state,validation_fold,2023,0,ALL,ALL,2023,initial_return_profile_unknown,143312,134,0.0009350228871273864
state,validation_fold,2023,0,ALL,ALL,2023,initial_return_profile_not_documented,143312,16879,0.1177779948643519
state,validation_fold,2023,0,ALL,ALL,2023,unknown_initial_return,143312,13106,0.0914508205872502
state,validation_fold,2023,0,ALL,ALL,2023,ineligible_censored,143312,53758,0.3751116445238361
