aggregation_level,group_type,group_value,serve_number,surface,period,validation_fold,profile_id,return_shot_type_code,return_lateral_direction_code,return_depth_code,trials,returner_wins,server_wins,returner_win_rate,wilson_95_lower,wilson_95_upper
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|1|7,f,1,7,13189,6199,6990,0.4700128895291531,0.4615050125680149,0.4785382296350408
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|1|8,f,1,8,25028,13581,11447,0.5426322518778968,0.5364542552845734,0.5487971635337582
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|1|9,f,1,9,11858,7083,4775,0.597318266149435,0.5884608564692676,0.606112642764591
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|2|7,f,2,7,27468,11163,16305,0.4064001747487986,0.40060522928014763,0.4122212968299541
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|2|8,f,2,8,57862,26664,31198,0.4608205730876914,0.45676183140602955,0.4648845166691721
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|2|9,f,2,9,32960,17835,15125,0.5411104368932039,0.5357263381999976,0.5464849539330933
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|3|7,f,3,7,13090,6264,6826,0.47853323147440796,0.4699832680648166,0.4870957906844853
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|3|8,f,3,8,26860,14191,12669,0.5283320923306031,0.522358570654963,0.5342975111765597
profile_outcome,total,ALL,0,ALL,ALL,ALL,f|3|9,f,3,9,13420,7851,5569,0.5850223546944858,0.5766629375217233,0.5933331107033931
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|1|7,b,1,7,9871,4544,5327,0.46033836490730423,0.45052312839245207,0.47018445934298586
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|1|8,b,1,8,19575,10559,9016,0.5394125159642401,0.5324229181891593,0.5463866479052044
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|1|9,b,1,9,10234,5958,4276,0.5821770568692594,0.5725925610162413,0.5916998835156894
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|2|7,b,2,7,31607,13252,18355,0.4192742114088651,0.41384444108202467,0.42472360188995195
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|2|8,b,2,8,67281,30686,36595,0.45608715684963064,0.45232628328073976,0.4598530446052239
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|2|9,b,2,9,37515,19527,17988,0.5205117952818873,0.5154546193492295,0.5255647709133711
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|3|7,b,3,7,28520,13797,14723,0.483765778401122,0.4779685378068938,0.48956739169485836
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|3|8,b,3,8,48381,24467,23914,0.5057150534300655,0.5012597293853363,0.5101694699946109
profile_outcome,total,ALL,0,ALL,ALL,ALL,b|3|9,b,3,9,18835,10416,8419,0.5530130076984338,0.5459025530372811,0.5601018424222374
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|1|7,r,1,7,1388,491,897,0.3537463976945245,0.32902790673232196,0.3792722035805268
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|1|8,r,1,8,1896,737,1159,0.38871308016877637,0.36701765324732616,0.4108585489795944
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|1|9,r,1,9,965,409,556,0.42383419689119173,0.39301803353337394,0.4552543554507502
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|2|7,r,2,7,4714,1440,3274,0.3054730589732711,0.2924871054587886,0.3187757960168282
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|2|8,r,2,8,6663,2457,4206,0.36875281404772625,0.35724694252505435,0.3804099358028454
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|2|9,r,2,9,4051,1754,2297,0.4329795112317946,0.41779201734311006,0.4482939923037564
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|3|7,r,3,7,1471,506,965,0.34398368456832085,0.32014279408855534,0.368637313593647
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|3|8,r,3,8,2196,873,1323,0.3975409836065574,0.3772684697395603,0.4181713342537515
profile_outcome,total,ALL,0,ALL,ALL,ALL,r|3|9,r,3,9,1249,526,723,0.4211369095276221,0.39403758042636655,0.4487198581840726
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|1|7,s,1,7,3322,1063,2259,0.31998795906080674,0.3043411148403558,0.3360506432129316
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|1|8,s,1,8,3755,1491,2264,0.3970705725699068,0.3815335584070367,0.4128179702571912
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|1|9,s,1,9,1801,763,1038,0.42365352581898946,0.4010185439419548,0.4466135022657558
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|2|7,s,2,7,13879,4372,9507,0.3150082858995605,0.3073322753189872,0.3227866729358463
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|2|8,s,2,8,17932,6823,11109,0.3804929734552755,0.37341320294368563,0.38762393546767226
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|2|9,s,2,9,9171,4025,5146,0.4388834369207284,0.4287546948835467,0.4490633573376969
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|3|7,s,3,7,9840,4087,5753,0.41534552845528455,0.40564386126945295,0.425113266730901
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|3|8,s,3,8,15383,6857,8526,0.44575180393941366,0.43791167661885316,0.45361901832807977
profile_outcome,total,ALL,0,ALL,ALL,ALL,s|3|9,s,3,9,5808,2687,3121,0.462637741046832,0.44984367314249196,0.47548119969255176
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|1|7,v,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|1|8,v,1,8,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|1|9,v,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|2|7,v,2,7,3,1,2,0.3333333333333333,0.06149194472039621,0.7923403991979522
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|2|8,v,2,8,5,2,3,0.4,0.11762077423264783,0.769275718723987
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|2|9,v,2,9,4,0,4,0.0,0.0,0.4898908364545973
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|3|7,v,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|3|8,v,3,8,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|3|9,v,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|1|7,z,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|1|8,z,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|1|9,z,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|2|7,z,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|2|8,z,2,8,0,0,0,,,
