group_type,serve_number,surface,derived_period,validation_fold,attempts,matches,servers,returners,observed_type_attempts,unknown_type_attempts,unknown_initial_attempts,censored_attempts,observed_type_numerator,observed_type_denominator,observed_type_coverage
total,0,ALL,ALL,ALL,1426863,5993,870,870,881717,1691,14918,528537,881717,1426863,0.617940895516949
serve_number,1,ALL,ALL,ALL,1035760,5993,870,870,531849,1217,13715,488979,531849,1035760,0.513486715069128
serve_number,2,ALL,ALL,ALL,391103,5993,870,870,349868,474,1203,39558,349868,391103,0.894567415744702
surface,0,Clay,ALL,ALL,332878,1439,499,499,214627,1138,1984,115129,214627,332878,0.644761744543046
surface,0,Grass,ALL,ALL,197560,705,316,316,118945,91,4074,74450,118945,197560,0.602070257137072
surface,0,Hard,ALL,ALL,896425,3849,643,643,548145,462,8860,338958,548145,896425,0.611478930194941
derived_period,0,ALL,2010s,ALL,490667,2232,412,412,307502,466,4338,178361,307502,490667,0.626702019903519
derived_period,0,ALL,2020s,ALL,413713,1805,332,332,255487,996,4996,152234,255487,413713,0.617546463369534
derived_period,0,ALL,to_2009,ALL,522483,1956,357,357,318728,229,5584,197942,318728,522483,0.610025589349318
validation_fold,0,ALL,ALL,pre_validation,1013150,4188,709,709,626230,695,9922,376303,626230,1013150,0.618101959236046
validation_fold,0,ALL,ALL,validation_2020,42510,168,113,113,26863,93,498,15056,26863,42510,0.63192190072924
validation_fold,0,ALL,ALL,validation_2021,83356,371,166,166,52275,321,963,29797,52275,83356,0.627129420797543
validation_fold,0,ALL,ALL,validation_2022,144535,646,220,220,88095,431,2386,53623,88095,144535,0.609506347943405
validation_fold,0,ALL,ALL,validation_2023,143312,620,178,178,88254,151,1149,53758,88254,143312,0.61581723791448
