group_type,serve_number,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
total,0,return_shot_type_observed,documented_return_shot_type_b,384349,5993,866,868,1426863,0.269366435319999
total,0,return_shot_type_observed,documented_return_shot_type_f,329542,5993,870,869,1426863,0.230955599801803
total,0,return_shot_type_observed,documented_return_shot_type_h,14,12,11,6,1426863,9.81173385251422e-06
total,0,return_shot_type_observed,documented_return_shot_type_i,38,18,17,3,1426863,2.66318490282529e-05
total,0,return_shot_type_observed,documented_return_shot_type_l,993,692,255,266,1426863,0.000695932265396187
total,0,return_shot_type_observed,documented_return_shot_type_m,2827,1499,372,394,1426863,0.00198126940007555
total,0,return_shot_type_observed,documented_return_shot_type_o,5,5,5,5,1426863,3.50419066161222e-06
total,0,return_shot_type_observed,documented_return_shot_type_r,38305,4997,697,728,1426863,0.0268456046586112
total,0,return_shot_type_observed,documented_return_shot_type_s,124944,5876,827,825,1426863,0.0875655196048955
total,0,return_shot_type_observed,documented_return_shot_type_t,18,16,14,12,1426863,1.2615086381804e-05
total,0,return_shot_type_observed,documented_return_shot_type_u,113,89,67,57,1426863,7.91947089524362e-05
total,0,return_shot_type_observed,documented_return_shot_type_v,22,22,18,19,1426863,1.54184389110938e-05
total,0,return_shot_type_observed,documented_return_shot_type_y,544,407,174,141,1426863,0.00038125594398341
total,0,return_shot_type_observed,documented_return_shot_type_z,3,3,3,3,1426863,2.10251439696733e-06
total,0,return_shot_type_unknown,documented_unknown_return_shot_type_q,1691,396,241,256,1426863,0.00118511728175725
total,0,unknown_initial_return,ambiguous_post_service_boundary,13354,1579,338,365,1426863,0.00935899241903392
total,0,unknown_initial_return,missing_service_prefix,1404,568,208,221,1426863,0.000983976737780712
total,0,unknown_initial_return,truncated_return_event,1,1,1,1,1426863,7.00838132322444e-07
total,0,unknown_initial_return,unsupported_initial_modifier,159,86,58,67,1426863,0.000111433263039269
total,0,ineligible_censored,censored_ace,80249,5936,800,842,1426863,0.0562415592807438
total,0,ineligible_censored,censored_double_fault,34382,5848,830,806,1426863,0.0240962166655103
total,0,ineligible_censored,censored_service_fault,382740,5991,870,869,1426863,0.268238786765092
total,0,ineligible_censored,censored_unreturned_serve,17593,2634,457,503,1426863,0.0123298452619488
total,0,ineligible_censored,special_event_before_return,13573,1299,400,403,1426863,0.00951247597001254
serve_number,1,return_shot_type_observed,documented_return_shot_type_b,193824,5990,861,863,1035760,0.187132154166989
serve_number,1,return_shot_type_observed,documented_return_shot_type_f,205938,5992,868,866,1035760,0.198827913802425
serve_number,1,return_shot_type_observed,documented_return_shot_type_h,2,2,2,2,1035760,1.93094925465359e-06
serve_number,1,return_shot_type_observed,documented_return_shot_type_i,2,2,2,2,1035760,1.93094925465359e-06
serve_number,1,return_shot_type_observed,documented_return_shot_type_l,904,637,247,254,1035760,0.000872789063103422
serve_number,1,return_shot_type_observed,documented_return_shot_type_m,2650,1443,365,382,1035760,0.002558507762416
serve_number,1,return_shot_type_observed,documented_return_shot_type_o,4,4,4,4,1035760,3.86189850930718e-06
serve_number,1,return_shot_type_observed,documented_return_shot_type_r,33916,4780,679,705,1035760,0.0327450374604155
serve_number,1,return_shot_type_observed,documented_return_shot_type_s,94388,5855,824,821,1035760,0.0911292191241214
serve_number,1,return_shot_type_observed,documented_return_shot_type_t,13,11,10,9,1035760,1.25511701552483e-05
serve_number,1,return_shot_type_observed,documented_return_shot_type_u,28,28,23,24,1035760,2.70332895651502e-05
serve_number,1,return_shot_type_observed,documented_return_shot_type_v,16,16,13,15,1035760,1.54475940372287e-05
serve_number,1,return_shot_type_observed,documented_return_shot_type_y,161,134,78,79,1035760,0.000155441414999614
serve_number,1,return_shot_type_observed,documented_return_shot_type_z,3,3,3,3,1035760,2.89642388198038e-06
serve_number,2,return_shot_type_observed,documented_return_shot_type_b,190525,5992,852,859,391103,0.48714788687379
serve_number,2,return_shot_type_observed,documented_return_shot_type_f,123604,5991,860,858,391103,0.316039508773904
serve_number,2,return_shot_type_observed,documented_return_shot_type_h,12,10,9,4,391103,3.06824544940847e-05
serve_number,2,return_shot_type_observed,documented_return_shot_type_i,36,16,15,1,391103,9.2047363482254e-05
serve_number,2,return_shot_type_observed,documented_return_shot_type_l,89,83,62,70,391103,0.000227561537497795
serve_number,2,return_shot_type_observed,documented_return_shot_type_m,177,154,81,113,391103,0.000452566203787749
serve_number,2,return_shot_type_observed,documented_return_shot_type_o,1,1,1,1,391103,2.55687120784039e-06
serve_number,2,return_shot_type_observed,documented_return_shot_type_r,4389,2109,419,452,391103,0.0112221077312115
serve_number,2,return_shot_type_observed,documented_return_shot_type_s,30556,3555,571,545,391103,0.0781277566267709
serve_number,2,return_shot_type_observed,documented_return_shot_type_t,5,5,5,5,391103,1.27843560392019e-05
serve_number,2,return_shot_type_observed,documented_return_shot_type_u,85,63,54,42,391103,0.000217334052666433
serve_number,2,return_shot_type_observed,documented_return_shot_type_v,6,6,5,6,391103,1.53412272470423e-05
serve_number,2,return_shot_type_observed,documented_return_shot_type_y,383,300,142,99,391103,0.000979281672602869
serve_number,1,return_shot_type_unknown,documented_unknown_return_shot_type_q,1217,354,219,235,1035760,0.00117498262145671
serve_number,2,return_shot_type_unknown,documented_unknown_return_shot_type_q,474,134,119,126,391103,0.00121195695251634
serve_number,1,unknown_initial_return,ambiguous_post_service_boundary,12327,1540,332,358,1035760,0.0119014057310574
serve_number,1,unknown_initial_return,missing_service_prefix,1259,508,190,206,1035760,0.00121553255580443
serve_number,1,unknown_initial_return,unsupported_initial_modifier,129,69,42,52,1035760,0.000124546226925156
serve_number,2,unknown_initial_return,ambiguous_post_service_boundary,1027,354,124,177,391103,0.00262590673045208
serve_number,2,unknown_initial_return,missing_service_prefix,145,109,79,81,391103,0.000370746325136857
serve_number,2,unknown_initial_return,truncated_return_event,1,1,1,1,391103,2.55687120784039e-06
serve_number,2,unknown_initial_return,unsupported_initial_modifier,30,25,25,25,391103,7.67061362352117e-05
serve_number,1,ineligible_censored,censored_ace,77442,5924,795,840,1035760,0.0747682860894416
serve_number,1,ineligible_censored,censored_service_fault,382154,5990,869,869,1035760,0.368959990731444
serve_number,1,ineligible_censored,censored_unreturned_serve,15810,2606,455,498,1035760,0.0152641538580366
