aggregation_level,serve_number,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,observed_type_denominator,share_among_observed_types,end_to_end_denominator,end_to_end_coverage
code,0,f,"derecha, excluidos slices y golpes especiales",groundstroke,329542,5993,870,869,881717,0.373750307638392,1426863,0.230955599801803
code,1,f,"derecha, excluidos slices y golpes especiales",groundstroke,205938,5992,868,866,531849,0.387211407749192,1035760,0.198827913802425
code,2,f,"derecha, excluidos slices y golpes especiales",groundstroke,123604,5991,860,858,349868,0.353287525581076,391103,0.316039508773904
code,0,b,"revés, excluidos slices y golpes especiales",groundstroke,384349,5993,866,868,881717,0.435909707990205,1426863,0.269366435319999
code,1,b,"revés, excluidos slices y golpes especiales",groundstroke,193824,5990,861,863,531849,0.364434266116887,1035760,0.187132154166989
code,2,b,"revés, excluidos slices y golpes especiales",groundstroke,190525,5992,852,859,349868,0.544562520722101,391103,0.48714788687379
code,0,r,slice de derecha,slice,38305,4997,697,728,881717,0.0434436446161297,1426863,0.0268456046586112
code,1,r,slice de derecha,slice,33916,4780,679,705,531849,0.0637699798251007,1035760,0.0327450374604155
code,2,r,slice de derecha,slice,4389,2109,419,452,349868,0.0125447311557502,391103,0.0112221077312115
code,0,s,slice de revés,slice,124944,5876,827,825,881717,0.141705331756108,1426863,0.0875655196048955
code,1,s,slice de revés,slice,94388,5855,824,821,531849,0.177471425160149,1035760,0.0911292191241214
code,2,s,slice de revés,slice,30556,3555,571,545,349868,0.0873357952141951,391103,0.0781277566267709
code,0,v,volea de derecha,volley,22,22,18,19,881717,2.49513165789023e-05,1426863,1.54184389110938e-05
code,1,v,volea de derecha,volley,16,16,13,15,531849,3.00837267720725e-05,1035760,1.54475940372287e-05
code,2,v,volea de derecha,volley,6,6,5,6,349868,1.71493248882436e-05,391103,1.53412272470423e-05
code,0,z,volea de revés,volley,3,3,3,3,881717,3.4024522607594e-06,1426863,2.10251439696733e-06
code,1,z,volea de revés,volley,3,3,3,3,531849,5.6406987697636e-06,1035760,2.89642388198038e-06
code,2,z,volea de revés,volley,0,0,0,0,349868,0,391103,0
code,0,o,remate estándar,overhead,5,5,5,5,881717,5.67075376793234e-06,1426863,3.50419066161222e-06
code,1,o,remate estándar,overhead,4,4,4,4,531849,7.52093169301813e-06,1035760,3.86189850930718e-06
code,2,o,remate estándar,overhead,1,1,1,1,349868,2.85822081470726e-06,391103,2.55687120784039e-06
code,0,p,remate de revés,overhead,0,0,0,0,881717,0,1426863,0
code,1,p,remate de revés,overhead,0,0,0,0,531849,0,1035760,0
code,2,p,remate de revés,overhead,0,0,0,0,349868,0,391103,0
code,0,u,dejada de derecha,drop_shot,113,89,67,57,881717,0.000128159035155271,1426863,7.91947089524362e-05
code,1,u,dejada de derecha,drop_shot,28,28,23,24,531849,5.26465218511269e-05,1035760,2.70332895651502e-05
code,2,u,dejada de derecha,drop_shot,85,63,54,42,349868,0.000242948769250117,391103,0.000217334052666433
code,0,y,dejada de revés,drop_shot,544,407,174,141,881717,0.000616978009951039,1426863,0.00038125594398341
code,1,y,dejada de revés,drop_shot,161,134,78,79,531849,0.00030271750064398,1035760,0.000155441414999614
code,2,y,dejada de revés,drop_shot,383,300,142,99,349868,0.00109469857203288,391103,0.000979281672602869
code,0,l,globo de derecha,lob,993,692,255,266,881717,0.00112621169831136,1426863,0.000695932265396187
code,1,l,globo de derecha,lob,904,637,247,254,531849,0.0016997305626221,1035760,0.000872789063103422
code,2,l,globo de derecha,lob,89,83,62,70,349868,0.000254381652508946,391103,0.000227561537497795
code,0,m,globo de revés,lob,2827,1499,372,394,881717,0.00320624418038895,1426863,0.00198126940007555
code,1,m,globo de revés,lob,2650,1443,365,382,531849,0.00498261724662451,1035760,0.002558507762416
code,2,m,globo de revés,lob,177,154,81,113,349868,0.000505905084203185,391103,0.000452566203787749
code,0,h,media volea de derecha,half_volley,14,12,11,6,881717,1.58781105502106e-05,1426863,9.81173385251422e-06
code,1,h,media volea de derecha,half_volley,2,2,2,2,531849,3.76046584650907e-06,1035760,1.93094925465359e-06
code,2,h,media volea de derecha,half_volley,12,10,9,4,349868,3.42986497764871e-05,391103,3.06824544940847e-05
code,0,i,media volea de revés,half_volley,38,18,17,3,881717,4.30977286362858e-05,1426863,2.66318490282529e-05
code,1,i,media volea de revés,half_volley,2,2,2,2,531849,3.76046584650907e-06,1035760,1.93094925465359e-06
code,2,i,media volea de revés,half_volley,36,16,15,1,349868,0.000102895949329461,391103,9.2047363482254e-05
code,0,j,volea liftada de derecha,swinging_volley,0,0,0,0,881717,0,1426863,0
code,1,j,volea liftada de derecha,swinging_volley,0,0,0,0,531849,0,1035760,0
code,2,j,volea liftada de derecha,swinging_volley,0,0,0,0,349868,0,391103,0
code,0,k,volea liftada de revés,swinging_volley,0,0,0,0,881717,0,1426863,0
code,1,k,volea liftada de revés,swinging_volley,0,0,0,0,531849,0,1035760,0
code,2,k,volea liftada de revés,swinging_volley,0,0,0,0,349868,0,391103,0
code,0,t,"golpe especial, incluido trick shot o tweener",special,18,16,14,12,881717,2.04147135645564e-05,1426863,1.2615086381804e-05
