aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,total,0,ALL,ALL,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,329542,5993,870,869,127122,202420,0.385753561002846,0.384092947903026,0.387416837604588
code,total,0,ALL,ALL,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,384349,5993,866,868,154936,229413,0.403112795922456,0.401563011544036,0.404664517001556
code,total,0,ALL,ALL,ALL,r,slice de derecha,slice,38305,4997,697,728,11106,27199,0.289936039681504,0.285413472733411,0.294500735392699
code,total,0,ALL,ALL,ALL,s,slice de revés,slice,124944,5876,827,825,37639,87305,0.30124695863747,0.298709121632204,0.303797016768206
code,total,0,ALL,ALL,ALL,v,volea de derecha,volley,22,22,18,19,6,16,0.272727272727273,0.131507602879895,0.481517340124024
code,total,0,ALL,ALL,ALL,z,volea de revés,volley,3,3,3,3,1,2,0.333333333333333,0.0614919447203962,0.792340399197952
code,total,0,ALL,ALL,ALL,o,remate estándar,overhead,5,5,5,5,2,3,0.4,0.117620774232648,0.769275718723987
code,total,0,ALL,ALL,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,total,0,ALL,ALL,ALL,u,dejada de derecha,drop_shot,113,89,67,57,47,66,0.415929203539823,0.329280448966939,0.508106038742381
code,total,0,ALL,ALL,ALL,y,dejada de revés,drop_shot,544,407,174,141,237,307,0.435661764705882,0.394589711082288,0.477636096452095
code,total,0,ALL,ALL,ALL,l,globo de derecha,lob,993,692,255,266,186,807,0.187311178247734,0.164265936128535,0.212766394835438
code,total,0,ALL,ALL,ALL,m,globo de revés,lob,2827,1499,372,394,483,2344,0.170852493809692,0.157427050883853,0.185171244686088
code,total,0,ALL,ALL,ALL,h,media volea de derecha,half_volley,14,12,11,6,5,9,0.357142857142857,0.163447317535541,0.612355768960926
code,total,0,ALL,ALL,ALL,i,media volea de revés,half_volley,38,18,17,3,20,18,0.526315789473684,0.372589713844967,0.675209766774739
code,total,0,ALL,ALL,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,total,0,ALL,ALL,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,total,0,ALL,ALL,ALL,t,"golpe especial, incluido trick shot o tweener",special,18,16,14,12,5,13,0.277777777777778,0.12499753379554,0.508726565602975
code,serve_number,1,ALL,ALL,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,205938,5992,868,866,71549,134389,0.347429808971632,0.345376180207612,0.349489129557207
code,serve_number,2,ALL,ALL,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,123604,5991,860,858,55573,68031,0.449605190770525,0.446833577487977,0.4523799363719
code,serve_number,1,ALL,ALL,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,193824,5990,861,863,69396,124428,0.358036156513125,0.355904652136952,0.360173288029906
code,serve_number,2,ALL,ALL,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,190525,5992,852,859,85540,104985,0.448969951449941,0.446737592968197,0.451204367676104
code,serve_number,1,ALL,ALL,ALL,r,slice de derecha,slice,33916,4780,679,705,9593,24323,0.28284585446397,0.278077440368751,0.287663454444024
code,serve_number,2,ALL,ALL,ALL,r,slice de derecha,slice,4389,2109,419,452,1513,2876,0.344725449988608,0.330805811816914,0.358916657619552
code,serve_number,1,ALL,ALL,ALL,s,slice de revés,slice,94388,5855,824,821,24989,69399,0.264747637411535,0.261942605293402,0.267571817630805
code,serve_number,2,ALL,ALL,ALL,s,slice de revés,slice,30556,3555,571,545,12650,17906,0.413993978269407,0.408482471283781,0.419527107657182
code,serve_number,1,ALL,ALL,ALL,v,volea de derecha,volley,16,16,13,15,4,12,0.25,0.10182067491213,0.494983165355088
code,serve_number,2,ALL,ALL,ALL,v,volea de derecha,volley,6,6,5,6,2,4,0.333333333333333,0.0967714111057804,0.700006684861608
code,serve_number,1,ALL,ALL,ALL,z,volea de revés,volley,3,3,3,3,1,2,0.333333333333333,0.0614919447203962,0.792340399197952
code,serve_number,2,ALL,ALL,ALL,z,volea de revés,volley,0,0,0,0,0,0,,,
code,serve_number,1,ALL,ALL,ALL,o,remate estándar,overhead,4,4,4,4,1,3,0.25,0.0455872608097005,0.699358157417598
code,serve_number,2,ALL,ALL,ALL,o,remate estándar,overhead,1,1,1,1,1,0,1,0.206549314377237,1
code,serve_number,1,ALL,ALL,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,serve_number,2,ALL,ALL,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,serve_number,1,ALL,ALL,ALL,u,dejada de derecha,drop_shot,28,28,23,24,11,17,0.392857142857143,0.235656865415796,0.575909557034028
code,serve_number,2,ALL,ALL,ALL,u,dejada de derecha,drop_shot,85,63,54,42,36,49,0.423529411764706,0.32403542312879,0.529636497925124
code,serve_number,1,ALL,ALL,ALL,y,dejada de revés,drop_shot,161,134,78,79,61,100,0.37888198757764,0.307595829093233,0.455813204780811
code,serve_number,2,ALL,ALL,ALL,y,dejada de revés,drop_shot,383,300,142,99,176,207,0.459530026109661,0.41026826699715,0.50959554466744
