group_type,serve_number,surface,derived_period,validation_fold,second_serve_context,attempts,matches,servers,returners,eligible_terminal_attempts,winner_attempts,forced_error_attempts,unforced_error_attempts,not_documented_attempts,unknown_initial_attempts,censored_attempts,terminal_coverage,no_terminal_share,abstention_share
total,0,ALL,ALL,ALL,ALL,1426863,5993,870,870,74178,17955,16550,39673,650380,173768,528537,0.05198677097941428,0.4558111044998714,0.4922021245207143
serve_number,1,ALL,ALL,ALL,ALL,1035760,5993,870,870,24965,8030,14962,1973,381083,140733,488979,0.02410307407121341,0.3679259674055766,0.60797095852321
serve_number,2,ALL,ALL,ALL,ALL,391103,5993,870,870,49213,9925,1588,37700,269297,33035,39558,0.1258313027514491,0.6885577456577935,0.1856109515907574
surface,0,Hard,ALL,ALL,ALL,896425,3849,643,643,46708,10877,10941,24890,402524,108235,338958,0.052104749421312435,0.4490325459463982,0.4988627046322894
surface,0,Clay,ALL,ALL,ALL,332878,1439,499,499,14797,3267,2575,8955,167367,35585,115129,0.04445172105095561,0.5027878081459274,0.45276047080311704
surface,0,Grass,ALL,ALL,ALL,197560,705,316,316,12673,3811,3034,5828,80489,29948,74450,0.06414760072889249,0.40741546871836404,0.5284369305527434
derived_period,0,ALL,to_2009,ALL,ALL,522483,1956,357,357,29930,9581,5946,14403,226105,68506,197942,0.05728416044158374,0.4327509220395688,0.5099649175188475
derived_period,0,ALL,2010s,ALL,ALL,490667,2232,412,412,25194,4736,7330,13128,226169,60943,178361,0.05134643250921705,0.4609419422948762,0.4877116251959068
derived_period,0,ALL,2020s,ALL,ALL,413713,1805,332,332,19054,3638,3274,12142,198106,44319,152234,0.04605608235660953,0.478848863825889,0.4750950538175015
validation_fold,0,ALL,ALL,pre_validation,ALL,1013150,4188,709,709,55124,14317,13276,27531,452274,129449,376303,0.054408527858658635,0.44640379015940385,0.4991876819819375
validation_fold,0,ALL,ALL,validation_2020,ALL,42510,168,113,113,2068,367,448,1253,20346,5040,15056,0.04864737708774406,0.47861679604798874,0.47273582686426724
validation_fold,0,ALL,ALL,validation_2021,ALL,83356,371,166,166,4554,763,1365,2426,39760,9245,29797,0.05463313978597822,0.4769902586496473,0.4683766015643745
validation_fold,0,ALL,ALL,validation_2022,ALL,144535,646,220,220,6351,1244,982,4125,69465,15096,53623,0.04394091396547549,0.480610232815581,0.47544885321894353
validation_fold,0,ALL,ALL,validation_2023,ALL,143312,620,178,178,6081,1264,479,4338,68535,14938,53758,0.042431896840459976,0.4782223400692196,0.4793457630903204
second_serve_context,2,ALL,ALL,ALL,documented_first_service_fault,382143,5990,869,869,48121,9601,1530,36990,263733,31461,38828,0.12592406507511586,0.6901421719094685,0.1839337630154157
second_serve_context,2,ALL,ALL,ALL,second_serve_without_documented_first_fault,8960,1609,362,399,1092,324,58,710,5564,1574,730,0.121875,0.6209821428571428,0.2571428571428571
