group_type,serve_number,surface,derived_period,validation_fold,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
total,0,ALL,ALL,ALL,documented_return_winner,immediate_return_winner,17955,4921,705,673,1426863,0.01258354866584949
total,0,ALL,ALL,ALL,documented_return_forced_error,immediate_return_forced_error,16550,3338,608,645,1426863,0.011598871089936454
total,0,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,421,372,189,179,1426863,0.0002950528537077491
total,0,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,15158,4906,707,720,1426863,0.010623304409743612
total,0,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,10,10,9,9,1426863,7.008381323224444e-06
total,0,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,14541,4829,703,703,1426863,0.010190887282100665
total,0,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,8063,3899,624,609,1426863,0.005650857860915869
total,0,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,1480,1213,334,339,1426863,0.0010372404358372177
total,0,ALL,ALL,ALL,return_terminal_not_documented,challenge_after_local_return,61,59,41,45,1426863,4.275112607166911e-05
total,0,ALL,ALL,ALL,return_terminal_not_documented,local_return_without_terminal,36,34,26,31,1426863,2.5230172763608e-05
total,0,ALL,ALL,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,650283,5977,870,870,1426863,0.4557431232010361
total,0,ALL,ALL,ALL,unknown_initial_return,ambiguous_initial_boundary,13763,1863,389,399,1426863,0.009645635215153802
total,0,ALL,ALL,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,1426863,0.0
total,0,ALL,ALL,ALL,unknown_initial_return,missing_service_prefix,1404,568,208,221,1426863,0.0009839767377807119
total,0,ALL,ALL,ALL,unknown_initial_return,terminal_with_trailing_content,86,12,15,14,1426863,6.027207937973022e-05
total,0,ALL,ALL,ALL,unknown_initial_return,truncated_return_event,1,1,1,1,1426863,7.008381323224444e-07
total,0,ALL,ALL,ALL,unknown_initial_return,unsupported_error_terminal_form,133928,5581,865,864,1426863,0.09386184938568033
total,0,ALL,ALL,ALL,unknown_initial_return,unsupported_initial_modifier,159,86,58,67,1426863,0.00011143326303926866
total,0,ALL,ALL,ALL,unknown_initial_return,unsupported_local_component_order,24427,4429,651,635,1426863,0.01711937305824035
total,0,ALL,ALL,ALL,ineligible_censored,censored_ace,80249,5936,800,842,1426863,0.05624155928074384
total,0,ALL,ALL,ALL,ineligible_censored,censored_double_fault,34382,5848,830,806,1426863,0.024096216665510282
total,0,ALL,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,1426863,0.0
total,0,ALL,ALL,ALL,ineligible_censored,censored_service_fault,382740,5991,870,869,1426863,0.2682387867650924
total,0,ALL,ALL,ALL,ineligible_censored,censored_special_event,13573,1299,400,403,1426863,0.009512475970012538
total,0,ALL,ALL,ALL,ineligible_censored,censored_unreturned_serve,17593,2634,457,503,1426863,0.012329845261948764
serve_number,1,ALL,ALL,ALL,documented_return_winner,immediate_return_winner,8030,3524,585,563,1035760,0.007752761257434154
serve_number,2,ALL,ALL,ALL,documented_return_winner,immediate_return_winner,9925,4019,618,580,391103,0.02537694673781587
serve_number,1,ALL,ALL,ALL,documented_return_forced_error,immediate_return_forced_error,14962,3295,600,638,1035760,0.01444543137406349
serve_number,2,ALL,ALL,ALL,documented_return_forced_error,immediate_return_forced_error,1588,810,246,286,391103,0.004060311478050539
serve_number,1,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,44,35,34,36,1035760,4.248088360237893e-05
serve_number,1,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,822,495,239,235,1035760,0.0007936201436626245
serve_number,1,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,3,3,3,3,1035760,2.8964238819803814e-06
serve_number,1,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,713,435,229,225,1035760,0.000688383409284004
serve_number,1,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,345,255,157,143,1035760,0.0003330887464277439
serve_number,1,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,46,41,35,35,1035760,4.441183285703252e-05
serve_number,2,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,377,342,171,161,391103,0.000963940445355827
serve_number,2,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,14336,4836,685,707,391103,0.03665530563559983
serve_number,2,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,7,7,7,7,391103,1.789809845488273e-05
serve_number,2,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,13828,4751,686,691,391103,0.035356415062016915
serve_number,2,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,7718,3818,605,595,391103,0.019733931982112127
serve_number,2,ALL,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,1434,1180,326,331,391103,0.003666553312043119
