dimension,direction,surface,derived_period,points,matches,servers,server_wins,server_win_rate
direction,wide,<ALL>,<ALL>,176757,7522,1001,91440,0.517320389008639
direction,body,<ALL>,<ALL>,165841,7503,1002,84299,0.5083121785324498
direction,T,<ALL>,<ALL>,138592,7517,991,69944,0.504675594550912
direction_surface,wide,Hard,<ALL>,109242,4821,753,56504,0.5172369601435345
direction_surface,wide,Clay,<ALL>,46029,1872,586,23430,0.5090269178126833
direction_surface,wide,Grass,<ALL>,21486,829,359,11506,0.5355114958577678
direction_surface,body,Hard,<ALL>,108305,4816,753,55027,0.508074419463552
direction_surface,body,Clay,<ALL>,35531,1859,585,17637,0.49638343981312094
direction_surface,body,Grass,<ALL>,22005,828,358,11635,0.5287434673937741
direction_surface,T,Hard,<ALL>,86850,4821,747,43737,0.5035924006908463
direction_surface,T,Clay,<ALL>,33797,1867,578,16859,0.4988312572121786
direction_surface,T,Grass,<ALL>,17945,829,359,9348,0.5209250487601003
direction_period,wide,<ALL>,to_2009,58533,1956,357,30284,0.517383356397246
direction_period,wide,<ALL>,2010s,47510,2231,412,24668,0.5192170069459061
direction_period,wide,<ALL>,2020s,70714,3335,469,36488,0.5159940040161779
direction_period,body,<ALL>,to_2009,46140,1955,355,23710,0.5138708279150411
direction_period,body,<ALL>,2010s,48432,2228,412,24532,0.5065246118268913
direction_period,body,<ALL>,2020s,71269,3320,470,36057,0.5059282436964178
direction_period,T,<ALL>,to_2009,41200,1955,355,20834,0.5056796116504855
direction_period,T,<ALL>,2010s,37718,2230,407,19088,0.506071371758842
direction_period,T,<ALL>,2020s,59674,3332,465,30022,0.5031001776317995
direction_surface_period,wide,Hard,to_2009,36234,1251,237,18713,0.5164486393994591
direction_surface_period,wide,Hard,2010s,28946,1414,322,14998,0.518137221032267
direction_surface_period,wide,Hard,2020s,44062,2156,380,22793,0.5172938132631292
direction_surface_period,wide,Clay,to_2009,12858,404,179,6528,0.5076994867008866
direction_surface_period,wide,Clay,2010s,13176,583,234,6722,0.5101700060716454
direction_surface_period,wide,Clay,2020s,19995,885,298,10180,0.5091272818204551
direction_surface_period,wide,Grass,to_2009,9441,301,150,5043,0.5341595170003177
direction_surface_period,wide,Grass,2010s,5388,234,122,2948,0.5471417965850037
direction_surface_period,wide,Grass,2020s,6657,294,153,3515,0.5280156226528466
direction_surface_period,body,Hard,to_2009,29397,1250,237,15106,0.513861958703269
direction_surface_period,body,Hard,2010s,31556,1413,323,15950,0.5054506274559514
direction_surface_period,body,Hard,2020s,47352,2153,381,23971,0.5062299374894408
direction_surface_period,body,Clay,to_2009,8546,404,177,4228,0.49473437865668146
direction_surface_period,body,Clay,2010s,10732,581,234,5340,0.4975773387998509
direction_surface_period,body,Clay,2020s,16253,874,297,8069,0.4964621915953978
direction_surface_period,body,Grass,to_2009,8197,301,150,4376,0.533853848969135
direction_surface_period,body,Grass,2010s,6144,234,122,3242,0.5276692708333334
direction_surface_period,body,Grass,2020s,7664,293,152,4017,0.5241388308977035
direction_surface_period,T,Hard,to_2009,25549,1251,237,12891,0.5045598653567654
direction_surface_period,T,Hard,2010s,23792,1414,319,12004,0.5045393409549428
direction_surface_period,T,Hard,2020s,37509,2156,377,18842,0.5023327734677011
direction_surface_period,T,Clay,to_2009,8288,403,177,4124,0.49758687258687256
direction_surface_period,T,Clay,2010s,9370,582,233,4706,0.5022411953041622
direction_surface_period,T,Clay,2020s,16139,882,294,8029,0.49749055083958116
direction_surface_period,T,Grass,to_2009,7363,301,150,3819,0.5186744533478201
direction_surface_period,T,Grass,2010s,4556,234,122,2378,0.5219490781387182
direction_surface_period,T,Grass,2020s,6026,294,153,3151,0.5229007633587787
