dimension,surface,derived_period,direction_code,direction_label,tactically_actionable,group_second_serve_points,direction_points,direction_proportion,matches,servers,server_wins,server_win_rate,conservative_aces,conservative_unreturned,conservative_faults
overall,<ALL>,<ALL>,4,wide,True,481508,176757,0.36709047409388834,7522,1001,91440,0.517320389008639,1401,1336,15951
overall,<ALL>,<ALL>,5,body,True,481508,165841,0.34442003040447927,7503,1002,84299,0.5083121785324498,51,544,11437
overall,<ALL>,<ALL>,6,t,True,481508,138592,0.28782907033735683,7517,991,69944,0.504675594550912,2064,1362,15197
overall,<ALL>,<ALL>,0,unknown,False,481508,148,0.00030736768651818866,91,79,69,0.46621621621621623,1,4,34
surface,Hard,<ALL>,4,wide,True,304601,109242,0.35863966303459277,4821,753,56504,0.5172369601435345,916,921,10118
surface,Hard,<ALL>,5,body,True,304601,108305,0.3555635076706905,4816,753,55027,0.508074419463552,23,379,7547
surface,Hard,<ALL>,6,t,True,304601,86850,0.28512710069894714,4821,747,43737,0.5035924006908463,1367,940,9701
surface,Hard,<ALL>,0,unknown,False,304601,85,0.00027905358157064486,49,46,37,0.43529411764705883,1,1,20
surface,Clay,<ALL>,4,wide,True,115426,46029,0.39877497270978807,1872,586,23430,0.5090269178126833,240,231,3730
surface,Clay,<ALL>,5,body,True,115426,35531,0.3078249267929236,1859,585,17637,0.49638343981312094,8,61,2379
surface,Clay,<ALL>,6,t,True,115426,33797,0.29280231490305475,1867,578,16859,0.4988312572121786,351,201,3305
surface,Clay,<ALL>,0,unknown,False,115426,31,0.00026857033943825483,29,28,14,0.45161290322580644,0,2,5
surface,Grass,<ALL>,4,wide,True,61481,21486,0.34947382118052733,829,359,11506,0.5355114958577678,245,184,2103
surface,Grass,<ALL>,5,body,True,61481,22005,0.35791545355475674,828,358,11635,0.5287434673937741,20,104,1511
surface,Grass,<ALL>,6,t,True,61481,17945,0.29187879182186366,829,359,9348,0.5209250487601003,346,221,2191
surface,Grass,<ALL>,0,unknown,False,61481,32,0.0005204860038060539,13,13,18,0.5625,0,1,9
derived_period,<ALL>,to_2009,4,wide,True,145999,58533,0.4009137048883896,1956,357,30284,0.517383356397246,435,66,5163
derived_period,<ALL>,to_2009,5,body,True,145999,46140,0.31602956184631403,1955,355,23710,0.5138708279150411,15,43,2966
derived_period,<ALL>,to_2009,6,t,True,145999,41200,0.282193713655573,1955,355,20834,0.5056796116504855,582,93,4689
derived_period,<ALL>,to_2009,0,unknown,False,145999,60,0.000410961718915883,26,24,28,0.4666666666666667,0,0,18
derived_period,<ALL>,2010s,4,wide,True,133737,47510,0.3552494821926617,2231,412,24668,0.5192170069459061,354,175,4186
derived_period,<ALL>,2010s,5,body,True,133737,48432,0.36214361022005875,2228,412,24532,0.5065246118268913,14,88,3357
derived_period,<ALL>,2010s,6,t,True,133737,37718,0.28203115069128215,2230,407,19088,0.506071371758842,628,221,4073
derived_period,<ALL>,2010s,0,unknown,False,133737,28,0.0002093661439990429,26,22,15,0.5357142857142857,0,3,5
derived_period,<ALL>,2020s,4,wide,True,201772,70714,0.3504648811529846,3335,469,36488,0.5159940040161779,612,1095,6602
derived_period,<ALL>,2020s,5,body,True,201772,71269,0.353215510576294,3320,470,36057,0.5059282436964178,22,413,5114
derived_period,<ALL>,2020s,6,t,True,201772,59674,0.2957496580298555,3332,465,30022,0.5031001776317995,854,1048,6435
derived_period,<ALL>,2020s,0,unknown,False,201772,60,0.0002973653430604841,39,40,26,0.43333333333333335,1,1,11
surface_derived_period,Hard,to_2009,4,wide,True,91254,36234,0.39706752580708793,1251,237,18713,0.5164486393994591,275,33,3269
surface_derived_period,Hard,to_2009,5,body,True,91254,29397,0.32214478269445723,1250,237,15106,0.513861958703269,4,13,1845
surface_derived_period,Hard,to_2009,6,t,True,91254,25549,0.2799767681416705,1251,237,12891,0.5045598653567654,383,45,2915
surface_derived_period,Hard,to_2009,0,unknown,False,91254,28,0.00030683586472921736,12,12,12,0.42857142857142855,0,0,8
surface_derived_period,Hard,2010s,4,wide,True,84346,28946,0.3431816565100894,1414,322,14998,0.518137221032267,237,127,2664
surface_derived_period,Hard,2010s,5,body,True,84346,31556,0.37412562540013755,1413,323,15950,0.5054506274559514,7,64,2260
surface_derived_period,Hard,2010s,6,t,True,84346,23792,0.2820762098973277,1414,319,12004,0.5045393409549428,442,156,2687
surface_derived_period,Hard,2010s,0,unknown,False,84346,14,0.0001659829748891471,13,13,6,0.42857142857142855,0,1,3
surface_derived_period,Hard,2020s,4,wide,True,129001,44062,0.3415632436957853,2156,380,22793,0.5172938132631292,404,761,4185
surface_derived_period,Hard,2020s,5,body,True,129001,47352,0.36706692196184526,2153,381,23971,0.5062299374894408,12,302,3442
surface_derived_period,Hard,2020s,6,t,True,129001,37509,0.2907651878667607,2156,377,18842,0.5023327734677011,542,739,4099
surface_derived_period,Hard,2020s,0,unknown,False,129001,43,0.00033333074937403587,24,25,19,0.4418604651162791,1,0,9
surface_derived_period,Clay,to_2009,4,wide,True,29713,12858,0.43273987816780535,404,179,6528,0.5076994867008866,59,4,906
surface_derived_period,Clay,to_2009,5,body,True,29713,8546,0.28761821424965506,404,177,4228,0.49473437865668146,3,2,519
surface_derived_period,Clay,to_2009,6,t,True,29713,8288,0.2789351462322889,403,177,4124,0.49758687258687256,83,13,785
surface_derived_period,Clay,to_2009,0,unknown,False,29713,10,0.00033655302392892,10,9,4,0.4,0,0,3
surface_derived_period,Clay,2010s,4,wide,True,33294,13176,0.39574698143809695,583,234,6722,0.5101700060716454,72,34,1078
surface_derived_period,Clay,2010s,5,body,True,33294,10732,0.32234036162671953,581,234,5340,0.4975773387998509,4,12,719
surface_derived_period,Clay,2010s,6,t,True,33294,9370,0.28143208986604196,582,233,4706,0.5022411953041622,87,37,900
surface_derived_period,Clay,2010s,0,unknown,False,33294,8,0.00024028353457079355,8,7,5,0.625,0,1,1
surface_derived_period,Clay,2020s,4,wide,True,52419,19995,0.38144565901676875,885,298,10180,0.5091272818204551,109,193,1746
surface_derived_period,Clay,2020s,5,body,True,52419,16253,0.3100593296323852,874,297,8069,0.4964621915953978,1,47,1141
surface_derived_period,Clay,2020s,6,t,True,52419,16139,0.3078845456800015,882,294,8029,0.49749055083958116,181,151,1620
surface_derived_period,Clay,2020s,0,unknown,False,52419,13,0.0002480016787805948,11,13,5,0.38461538461538464,0,1,1
surface_derived_period,Grass,to_2009,4,wide,True,25032,9441,0.3771572387344199,301,150,5043,0.5341595170003177,101,29,988
surface_derived_period,Grass,to_2009,5,body,True,25032,8197,0.3274608501118568,301,150,4376,0.533853848969135,8,28,602
surface_derived_period,Grass,to_2009,6,t,True,25032,7363,0.2941434963247044,301,150,3819,0.5186744533478201,116,35,989
surface_derived_period,Grass,to_2009,0,unknown,False,25032,22,0.0008788750399488655,4,5,12,0.5454545454545454,0,0,7
surface_derived_period,Grass,2010s,4,wide,True,16097,5388,0.33472075542026464,234,122,2948,0.5471417965850037,45,14,444
surface_derived_period,Grass,2010s,5,body,True,16097,6144,0.38168602845250665,234,122,3242,0.5276692708333334,3,12,378
surface_derived_period,Grass,2010s,6,t,True,16097,4556,0.2830341057339877,234,122,2378,0.5219490781387182,99,28,486
surface_derived_period,Grass,2010s,0,unknown,False,16097,6,0.00037274026216065103,5,5,4,0.6666666666666666,0,1,1
surface_derived_period,Grass,2020s,4,wide,True,20352,6657,0.32709316037735847,294,153,3515,0.5280156226528466,99,141,671
surface_derived_period,Grass,2020s,5,body,True,20352,7664,0.37657232704402516,293,152,4017,0.5241388308977035,9,64,531
surface_derived_period,Grass,2020s,6,t,True,20352,6026,0.2960888364779874,294,153,3151,0.5229007633587787,131,158,716
surface_derived_period,Grass,2020s,0,unknown,False,20352,4,0.00019654088050314466,4,4,2,0.5,0,0,1
