server_player,surface,derived_period,direction_code,direction_label,tactically_actionable,points,matches,server_wins,server_win_rate,first_date,last_date
Aaron Krickstein,Hard,to_2009,4,wide,True,76,7,37,0.4868421052631579,1989-09-09,1995-01-27
Aaron Krickstein,Hard,to_2009,5,body,True,142,7,70,0.49295774647887325,1989-09-09,1995-01-27
Aaron Krickstein,Hard,to_2009,6,t,True,97,7,47,0.4845360824742268,1989-09-09,1995-01-27
Aaron Krickstein,Clay,to_2009,4,wide,True,19,1,10,0.5263157894736842,1992-04-26,1992-04-26
Aaron Krickstein,Clay,to_2009,5,body,True,9,1,3,0.3333333333333333,1992-04-26,1992-04-26
Aaron Krickstein,Clay,to_2009,6,t,True,5,1,4,0.8,1992-04-26,1992-04-26
Abedallah Shelbayh,Hard,2020s,4,wide,True,23,2,9,0.391304347826087,2023-02-19,2023-02-21
Abedallah Shelbayh,Hard,2020s,5,body,True,23,2,14,0.6086956521739131,2023-02-19,2023-02-21
Abedallah Shelbayh,Hard,2020s,6,t,True,15,2,9,0.6,2023-02-19,2023-02-21
Adam Pavlasek,Hard,2010s,4,wide,True,7,1,6,0.8571428571428571,2016-02-25,2016-02-25
Adam Pavlasek,Hard,2010s,5,body,True,1,1,1,1.0,2016-02-25,2016-02-25
Adam Pavlasek,Hard,2010s,6,t,True,8,1,7,0.875,2016-02-25,2016-02-25
Adam Pavlasek,Clay,2010s,4,wide,True,33,2,11,0.3333333333333333,2019-06-02,2019-07-29
Adam Pavlasek,Clay,2010s,5,body,True,26,2,12,0.46153846153846156,2019-06-02,2019-07-29
Adam Pavlasek,Clay,2010s,6,t,True,11,2,5,0.45454545454545453,2019-06-02,2019-07-29
Adam Walton,Hard,2020s,4,wide,True,17,1,6,0.35294117647058826,2024-01-14,2024-01-14
Adam Walton,Hard,2020s,5,body,True,5,1,3,0.6,2024-01-14,2024-01-14
Adam Walton,Hard,2020s,6,t,True,12,1,7,0.5833333333333334,2024-01-14,2024-01-14
Adam Walton,Grass,2020s,4,wide,True,15,1,9,0.6,2025-06-17,2025-06-17
Adam Walton,Grass,2020s,5,body,True,10,1,5,0.5,2025-06-17,2025-06-17
Adam Walton,Grass,2020s,6,t,True,11,1,6,0.5454545454545454,2025-06-17,2025-06-17
Adolfo Daniel Vallejo,Clay,2020s,4,wide,True,8,1,3,0.375,2026-03-12,2026-03-12
Adolfo Daniel Vallejo,Clay,2020s,5,body,True,19,1,9,0.47368421052631576,2026-03-12,2026-03-12
Adolfo Daniel Vallejo,Clay,2020s,6,t,True,12,1,10,0.8333333333333334,2026-03-12,2026-03-12
Adrian Andreev,Hard,2020s,4,wide,True,66,4,29,0.4393939393939394,2022-09-29,2025-01-25
Adrian Andreev,Hard,2020s,5,body,True,51,4,29,0.5686274509803921,2022-09-29,2025-01-25
Adrian Andreev,Hard,2020s,6,t,True,56,4,19,0.3392857142857143,2022-09-29,2025-01-25
Adrian Andreev,Clay,2020s,4,wide,True,22,2,16,0.7272727272727273,2024-05-29,2024-07-05
Adrian Andreev,Clay,2020s,5,body,True,3,2,1,0.3333333333333333,2024-05-29,2024-07-05
Adrian Andreev,Clay,2020s,6,t,True,18,2,9,0.5,2024-05-29,2024-07-05
Adrian Garcia,Hard,to_2009,4,wide,True,14,1,8,0.5714285714285714,2005-03-04,2005-03-04
Adrian Garcia,Hard,to_2009,5,body,True,28,1,16,0.5714285714285714,2005-03-04,2005-03-04
Adrian Garcia,Hard,to_2009,6,t,True,13,1,5,0.38461538461538464,2005-03-04,2005-03-04
