model,stratum_type,stratum,contrast,analytical_points,matches,difference,standard_error,ci_low,ci_high,z,p_value_raw,p_value_holm,holm_family
period_interaction,period,2010s,T_minus_wide,133660,2232,-0.013521572923688052,0.003476111309471712,-0.020334625896504973,-0.0067085199508711306,-3.8898561409251924,0.00010030366558947613,0.00036182307159083303,period
period_interaction,period,2010s,body_minus_wide,133660,2232,-0.013403462214082396,0.0033590580773433503,-0.019987095067653723,-0.006819829360511069,-3.990244260582442,6.600528474742349e-05,0.00033002642373711747,period
period_interaction,period,2020s,T_minus_wide,201657,3336,-0.013121835287469352,0.002822791945474787,-0.018654405836449686,-0.007589264738489018,-4.648530795372626,3.3430771519517767e-06,2.005846291171066e-05,period
period_interaction,period,2020s,body_minus_wide,201657,3336,-0.010766858768607834,0.0027502521374783845,-0.01615725390646977,-0.0053764636307459,-3.9148624309331916,9.045576789770826e-05,0.00036182307159083303,period
period_interaction,period,to_2009,T_minus_wide,145873,1956,-0.01218325595219194,0.0033034706005821996,-0.018657939353319955,-0.005708572551063927,-3.6880170660652403,0.00022600849517370915,0.0004520169903474183,period
period_interaction,period,to_2009,body_minus_wide,145873,1956,-0.004102979191806466,0.003089619915821147,-0.010158522952733588,0.0019525645691206555,-1.327988329825351,0.18418196226096084,0.18418196226096084,period
surface_interaction,surface,Clay,T_minus_wide,115357,1872,-0.010109002097489106,0.003562743925687331,-0.01709185187797512,-0.0031261523170030897,-2.8374203446403627,0.004547969334287711,0.010565709759300594,surface
surface_interaction,surface,Clay,body_minus_wide,115357,1872,-0.01259075254857761,0.003610797129896364,-0.01966778487865508,-0.005513720218500142,-3.486973124114283,0.0004885204474656876,0.0019540817898627506,surface
surface_interaction,surface,Grass,T_minus_wide,61436,829,-0.014532446740084581,0.004980134414454058,-0.024293330830583007,-0.0047715626495861575,-2.9180832344417125,0.003521903253100198,0.010565709759300594,surface
surface_interaction,surface,Grass,body_minus_wide,61436,829,-0.006680048163448138,0.004920695591942542,-0.016324434302540523,0.002964337975644247,-1.3575414366998175,0.17460923658214977,0.17460923658214977,surface
surface_interaction,surface,Hard,T_minus_wide,304397,4823,-0.013582592821230088,0.002345935991767983,-0.018180542875131586,-0.00898464276732859,-5.789839479377164,7.045372304001846e-09,4.2272233824011076e-08,surface
surface_interaction,surface,Hard,body_minus_wide,304397,4823,-0.009084083415745958,0.0022014456831351108,-0.01339883766861195,-0.004769329162879966,-4.126417238152877,3.684585178083476e-05,0.0001842292589041738,surface
