model,stratum_type,stratum,direction,analytical_points,matches,adjusted_probability,standard_error,ci_low,ci_high
period_interaction,period,to_2009,wide,145873,1956,0.5165911550021778,0.0021366382006238766,0.5124034210809625,0.5207788889233931
period_interaction,period,to_2009,body,145873,1956,0.5124881758103713,0.0023036503422032856,0.5079731041066795,0.5170032475140631
period_interaction,period,to_2009,T,145873,1956,0.5044078990499858,0.002583197184419449,0.4993449256035585,0.5094708724964132
period_interaction,period,2010s,wide,133660,2232,0.5197932852648802,0.0023974741014735623,0.5150943223721245,0.524492248157636
period_interaction,period,2010s,body,133660,2232,0.5063898230507978,0.0023572515285990346,0.5017696949522418,0.5110099511493539
period_interaction,period,2010s,T,133660,2232,0.5062717123411922,0.002649340996198228,0.5010790994058781,0.5114643252765062
period_interaction,period,2020s,wide,201657,3336,0.5169743819880209,0.0019926845164645493,0.5130687921031998,0.5208799718728421
period_interaction,period,2020s,body,201657,3336,0.5062075232194131,0.0019323163830908207,0.5024202527018183,0.5099947937370078
period_interaction,period,2020s,T,201657,3336,0.5038525467005516,0.002128949225939891,0.49967988289279497,0.5080252105083082
surface_interaction,surface,Hard,wide,304397,4823,0.5172003542744611,0.0015943803446685546,0.5140754262212521,0.5203252823276701
surface_interaction,surface,Hard,body,304397,4823,0.5081162708587151,0.0015356355143292559,0.5051064805572492,0.5111260611601811
surface_interaction,surface,Hard,T,304397,4823,0.503617761453231,0.001778453583595973,0.5001320564812067,0.5071034664252553
surface_interaction,surface,Clay,wide,115357,1872,0.5090613423613166,0.0024290306422941957,0.5043005297850758,0.5138221549375575
surface_interaction,surface,Clay,body,115357,1872,0.496470589812739,0.002764119186784747,0.49105301575766475,0.5018881638678132
surface_interaction,surface,Clay,T,115357,1872,0.4989523402638275,0.0027739600908611418,0.4935154783911882,0.5043892021364668
surface_interaction,surface,Grass,wide,61436,829,0.5352775793046128,0.003499289882308716,0.5284190971638224,0.5421360614454033
surface_interaction,surface,Grass,body,61436,829,0.5285975311411647,0.003498342222618982,0.5217409063792356,0.5354541559030938
surface_interaction,surface,Grass,T,61436,829,0.5207451325645283,0.0038426018312311973,0.5132137713683874,0.5282764937606691
