dimension,serve_number,direction,surface,derived_period,validation_fold,analysis_state,attempts,matches,servers,explicit_tagged_attempts,eligible_attempts,unknown_attempts,censored_attempts,not_explicitly_tagged_attempts,share_of_attempts,coverage_denominator,coverage_rate
total,0,ALL,ALL,ALL,ALL,ALL,1426863,5993,870,130981,130963,767363,528537,0,1.0,1426863,0.09178386432334429
serve_number,1,ALL,ALL,ALL,ALL,ALL,1035760,5993,870,96343,96326,450455,488979,0,0.725900103934295,1035760,0.09300030895188074
serve_number,2,ALL,ALL,ALL,ALL,ALL,391103,5993,870,34638,34637,316908,39558,0,0.27409989606570495,391103,0.08856234802596759
direction,0,wide,ALL,ALL,ALL,ALL,624548,5993,870,62215,62215,326416,235917,0,0.437707053865718,624548,0.09961604232180712
direction,0,body,ALL,ALL,ALL,ALL,236684,5992,870,23534,23534,175172,37978,0,0.16587717251060544,236684,0.09943215426475807
direction,0,T,ALL,ALL,ALL,ALL,549482,5993,870,45214,45214,263922,240346,0,0.3850979386248014,549482,0.08228477001976407
direction,0,unknown,ALL,ALL,ALL,ALL,16149,1934,497,18,0,1853,14296,0,0.011317834998875155,16149,0.0
surface,0,ALL,Hard,ALL,ALL,ALL,896425,3849,643,73410,73399,484068,338958,0,0.6282488227671472,896425,0.08187968876370025
surface,0,ALL,Clay,ALL,ALL,ALL,332878,1439,499,14099,14097,203652,115129,0,0.23329359581123066,332878,0.042348848527088
surface,0,ALL,Grass,ALL,ALL,ALL,197560,705,316,43472,43467,79643,74450,0,0.13845758142162212,197560,0.22001923466288723
derived_period,0,ALL,ALL,to_2009,ALL,ALL,522483,1956,357,95255,95247,229294,197942,0,0.36617600989022775,522483,0.18229684027997084
derived_period,0,ALL,ALL,2010s,ALL,ALL,490667,2232,412,19062,19058,293248,178361,0,0.34387814387225685,490667,0.03884100622214251
derived_period,0,ALL,ALL,2020s,ALL,ALL,413713,1805,332,16664,16658,244821,152234,0,0.28994584623751546,413713,0.040264627894216524
validation_fold,0,ALL,ALL,ALL,pre_validation,ALL,1013150,4188,709,114317,114305,522542,376303,0,0.7100541537624846,1013150,0.11282139860830084
validation_fold,0,ALL,ALL,ALL,validation_2020,ALL,42510,168,113,1357,1356,26098,15056,0,0.02979262900502711,42510,0.031898376852505295
