column,dimension,group_value,total_rows,null_count,null_proportion,empty_count,empty_proportion,whitespace_only_count,whitespace_only_proportion,substantive_count,substantive_proportion,non_null_count,raw_length_min,raw_length_mean,raw_length_p25,raw_length_median,raw_length_p75,raw_length_p90,raw_length_p95,raw_length_p99,raw_length_max,trimmed_length_min,trimmed_length_mean,trimmed_length_p25,trimmed_length_median,trimmed_length_p75,trimmed_length_p90,trimmed_length_p95,trimmed_length_p99,trimmed_length_max
first_serve,overall,all,1280408,0,0.0,0,0.0,0,0.0,1280408,1.0,1280408,1,7.2056039949766015,2.0,4.0,10.0,17.0,23.0,38.0,179,1,7.205371256661939,2.0,4.0,10.0,17.0,23.0,38.0,179
first_serve,surface,Hard,801089,0,0.0,0,0.0,0,0.0,801089,1.0,801089,1,7.059547690706027,2.0,3.0,10.0,16.0,22.0,38.0,179,1,7.0593329829769225,2.0,3.0,10.0,16.0,22.0,38.0,179
first_serve,surface,Clay,311240,0,0.0,0,0.0,0,0.0,311240,1.0,311240,1,8.09101015293664,2.0,5.0,11.0,19.0,26.0,41.0,175,1,8.090733838838196,2.0,5.0,11.0,19.0,26.0,41.0,175
first_serve,surface,Grass,168079,0,0.0,0,0.0,0,0.0,168079,1.0,168079,1,6.2621802842710865,2.0,3.0,9.0,14.0,18.0,30.0,129,1,6.261942300941819,2.0,3.0,9.0,14.0,18.0,30.0,129
first_serve,year,1960,539,0,0.0,0,0.0,0,0.0,539,1.0,539,1,7.343228200371057,2.0,5.0,11.0,17.0,21.0,41.34000000000003,71,1,7.343228200371057,2.0,5.0,11.0,17.0,21.0,41.34000000000003,71
first_serve,year,1969,718,0,0.0,0,0.0,0,0.0,718,1.0,718,1,6.008356545961003,2.0,6.0,9.0,12.0,13.149999999999977,19.83000000000004,27,1,6.008356545961003,2.0,6.0,9.0,12.0,13.149999999999977,19.83000000000004,27
first_serve,year,1970,301,0,0.0,0,0.0,0,0.0,301,1.0,301,1,6.67109634551495,3.0,6.0,10.0,12.0,15.0,23.0,26,1,6.67109634551495,3.0,6.0,10.0,12.0,15.0,23.0,26
first_serve,year,1971,505,0,0.0,0,0.0,0,0.0,505,1.0,505,1,5.986138613861386,2.0,6.0,9.0,12.0,13.799999999999955,20.0,25,1,5.986138613861386,2.0,6.0,9.0,12.0,13.799999999999955,20.0,25
first_serve,year,1972,263,0,0.0,0,0.0,0,0.0,263,1.0,263,1,5.011406844106464,2.0,2.0,8.5,12.0,13.0,16.379999999999995,20,1,5.011406844106464,2.0,2.0,8.5,12.0,13.0,16.379999999999995,20
first_serve,year,1973,355,0,0.0,0,0.0,0,0.0,355,1.0,355,1,4.68169014084507,1.0,2.0,6.0,12.0,16.0,21.91999999999996,37,1,4.68169014084507,1.0,2.0,6.0,12.0,16.0,21.91999999999996,37
first_serve,year,1974,527,0,0.0,0,0.0,0,0.0,527,1.0,527,1,7.377609108159393,2.0,6.0,11.0,15.0,20.0,27.0,47,1,7.377609108159393,2.0,6.0,11.0,15.0,20.0,27.0,47
first_serve,year,1975,898,0,0.0,0,0.0,0,0.0,898,1.0,898,1,6.22271714922049,2.0,4.0,9.0,12.0,16.0,27.089999999999918,49,1,6.22271714922049,2.0,4.0,9.0,12.0,16.0,27.089999999999918,49
first_serve,year,1976,457,0,0.0,0,0.0,0,0.0,457,1.0,457,1,7.37199124726477,2.0,5.0,11.0,16.0,20.0,35.0,69,1,7.37199124726477,2.0,5.0,11.0,16.0,20.0,35.0,69
first_serve,year,1977,411,0,0.0,0,0.0,0,0.0,411,1.0,411,1,7.591240875912408,2.0,4.0,11.0,20.0,25.0,38.69999999999993,47,1,7.591240875912408,2.0,4.0,11.0,20.0,25.0,38.69999999999993,47
first_serve,year,1978,541,0,0.0,0,0.0,0,0.0,541,1.0,541,1,10.158964879852126,2.0,5.0,14.0,24.0,29.0,50.40000000000009,175,1,10.158964879852126,2.0,5.0,14.0,24.0,29.0,50.40000000000009,175
first_serve,year,1979,753,0,0.0,0,0.0,0,0.0,753,1.0,753,1,7.232403718459495,2.0,6.0,10.0,14.0,18.0,30.480000000000018,49,1,7.232403718459495,2.0,6.0,10.0,14.0,18.0,30.480000000000018,49
first_serve,year,1980,2703,0,0.0,0,0.0,0,0.0,2703,1.0,2703,1,7.2881982981872,2.0,6.0,10.0,15.0,21.0,39.0,97,1,7.2881982981872,2.0,6.0,10.0,15.0,21.0,39.0,97
first_serve,year,1981,2661,0,0.0,0,0.0,0,0.0,2661,1.0,2661,1,7.895903795565577,2.0,5.0,11.0,18.0,25.0,46.0,96,1,7.895903795565577,2.0,5.0,11.0,18.0,25.0,46.0,96
first_serve,year,1982,2663,0,0.0,0,0.0,0,0.0,2663,1.0,2663,1,7.352985354862937,2.0,3.0,10.0,16.0,22.0,48.38000000000011,169,1,7.352985354862937,2.0,3.0,10.0,16.0,22.0,48.38000000000011,169
first_serve,year,1983,2494,0,0.0,0,0.0,0,0.0,2494,1.0,2494,1,7.5429029671210905,2.0,4.0,10.75,16.0,24.0,48.0,142,1,7.5429029671210905,2.0,4.0,10.75,16.0,24.0,48.0,142
first_serve,year,1984,3203,0,0.0,0,0.0,0,0.0,3203,1.0,3203,1,7.365594754917265,2.0,5.0,10.0,15.800000000000182,21.0,44.940000000000055,132,1,7.365594754917265,2.0,5.0,10.0,15.800000000000182,21.0,44.940000000000055,132
first_serve,year,1985,6898,0,0.0,0,0.0,0,0.0,6898,1.0,6898,1,5.850971296027834,2.0,3.0,8.0,12.0,16.0,30.0,140,1,5.850826326471441,2.0,3.0,8.0,12.0,16.0,30.0,140
first_serve,year,1986,4349,0,0.0,0,0.0,0,0.0,4349,1.0,4349,1,5.9931018624971255,2.0,2.0,9.0,13.0,18.0,30.0,104,1,5.9931018624971255,2.0,2.0,9.0,13.0,18.0,30.0,104
first_serve,year,1987,8420,0,0.0,0,0.0,0,0.0,8420,1.0,8420,1,7.353919239904988,2.0,5.0,10.0,15.0,22.0,41.0,167,1,7.353681710213777,2.0,5.0,10.0,15.0,22.0,41.0,167
first_serve,year,1988,6628,0,0.0,0,0.0,0,0.0,6628,1.0,6628,1,7.378847314423657,2.0,5.0,10.0,15.300000000000182,21.0,40.0,106,1,7.37869643934822,2.0,5.0,10.0,15.300000000000182,21.0,40.0,106
first_serve,year,1989,7648,0,0.0,0,0.0,0,0.0,7648,1.0,7648,1,6.806616108786611,2.0,5.0,10.0,14.0,20.0,35.0,88,1,6.806616108786611,2.0,5.0,10.0,14.0,20.0,35.0,88
first_serve,year,1990,14001,0,0.0,0,0.0,0,0.0,14001,1.0,14001,1,6.7920862795514605,2.0,5.0,10.0,15.0,20.0,34.0,122,1,6.791514891793443,2.0,5.0,10.0,15.0,20.0,34.0,122
first_serve,year,1991,16384,0,0.0,0,0.0,0,0.0,16384,1.0,16384,1,6.4403076171875,2.0,3.0,9.0,14.0,19.0,33.0,83,1,6.44000244140625,2.0,3.0,9.0,14.0,19.0,33.0,83
first_serve,year,1992,14927,0,0.0,0,0.0,0,0.0,14927,1.0,14927,1,6.029610772425806,2.0,3.0,9.0,12.0,16.0,28.0,87,1,6.029476787030213,2.0,3.0,9.0,12.0,16.0,28.0,87
first_serve,year,1993,14364,0,0.0,0,0.0,0,0.0,14364,1.0,14364,1,5.848231690336953,2.0,2.0,8.0,13.0,17.0,28.0,63,1,5.847744360902255,2.0,2.0,8.0,13.0,17.0,28.0,63
first_serve,year,1994,14386,0,0.0,0,0.0,0,0.0,14386,1.0,14386,1,6.187682469067148,2.0,3.0,9.0,13.0,18.0,30.0,85,1,6.187543445015987,2.0,3.0,9.0,13.0,18.0,30.0,85
first_serve,year,1995,16100,0,0.0,0,0.0,0,0.0,16100,1.0,16100,1,6.198633540372671,2.0,3.0,9.0,14.0,18.0,31.0,74,1,6.198633540372671,2.0,3.0,9.0,14.0,18.0,31.0,74
first_serve,year,1996,16501,0,0.0,0,0.0,0,0.0,16501,1.0,16501,1,5.730379976971093,2.0,3.0,8.0,12.0,16.0,26.0,74,1,5.730137567420156,2.0,2.0,8.0,12.0,16.0,26.0,74
first_serve,year,1997,13062,0,0.0,0,0.0,0,0.0,13062,1.0,13062,1,5.831955290154647,2.0,3.0,8.0,12.0,16.0,28.0,92,1,5.831725616291533,2.0,3.0,8.0,12.0,16.0,28.0,92
first_serve,year,1998,12816,0,0.0,0,0.0,0,0.0,12816,1.0,12816,1,5.873751560549313,2.0,3.0,8.0,13.0,17.0,29.0,59,1,5.873361423220974,2.0,3.0,8.0,13.0,17.0,29.0,59
first_serve,year,1999,11943,0,0.0,0,0.0,0,0.0,11943,1.0,11943,1,5.965502804990371,2.0,2.0,8.0,13.0,18.0,30.0,64,1,5.965502804990371,2.0,2.0,8.0,13.0,18.0,30.0,64
first_serve,year,2000,14806,0,0.0,0,0.0,0,0.0,14806,1.0,14806,1,5.875050655139808,2.0,2.0,8.0,13.0,18.0,30.0,100,1,5.874983114953397,2.0,2.0,8.0,13.0,18.0,30.0,100
first_serve,year,2001,16722,0,0.0,0,0.0,0,0.0,16722,1.0,16722,1,6.312881234302117,2.0,3.0,9.0,14.0,19.94999999999891,32.79000000000087,76,1,6.312821432842961,2.0,3.0,9.0,14.0,19.94999999999891,32.79000000000087,76
first_serve,year,2002,16964,0,0.0,0,0.0,0,0.0,16964,1.0,16964,1,6.594022636170714,2.0,3.0,10.0,15.0,20.0,33.0,73,1,6.594022636170714,2.0,3.0,10.0,15.0,20.0,33.0,73
first_serve,year,2003,15272,0,0.0,0,0.0,0,0.0,15272,1.0,15272,1,6.680657412257727,2.0,3.0,10.0,15.0,20.0,34.0,58,1,6.680657412257727,2.0,3.0,10.0,15.0,20.0,34.0,58
first_serve,year,2004,18666,0,0.0,0,0.0,0,0.0,18666,1.0,18666,1,6.833226186649523,2.0,3.0,10.0,16.0,22.0,34.0,73,1,6.833172613307618,2.0,3.0,10.0,16.0,22.0,34.0,73
first_serve,year,2005,18839,0,0.0,0,0.0,0,0.0,18839,1.0,18839,1,7.019427782791019,2.0,4.0,10.0,16.0,22.0,34.0,98,1,7.019427782791019,2.0,4.0,10.0,16.0,22.0,34.0,98
