column,character_display,character_escaped,unicode_code_point,unicode_name,unicode_category,is_ascii,is_whitespace,is_control,occurrence_count,rows_containing_count,rows_containing_denominator_non_null,rows_containing_proportion_non_null,initial_count,initial_denominator_original_length_gt_zero,initial_proportion_original_length_gt_zero,final_count,final_denominator_original_length_gt_zero,final_proportion_original_length_gt_zero
first_serve,<SPACE>,\u0020,U+0020,SPACE,Zs,True,True,False,298,298,1280408,0.00023273831466220143,0,1280408,0.0,298,1280408,0.00023273831466220143
first_serve,!,!,U+0021,EXCLAMATION MARK,Po,True,False,False,8651,8630,1280408,0.00674003911253288,0,1280408,0.0,38,1280408,2.967804012471025e-05
first_serve,#,#,U+0023,NUMBER SIGN,Po,True,False,False,310533,310533,1280408,0.24252660089596442,0,1280408,0.0,310300,1280408,0.24234462764993658
first_serve,$,$,U+0024,DOLLAR SIGN,Sc,True,False,False,1,1,1280408,7.810010559134276e-07,0,1280408,0.0,0,1280408,0.0
first_serve,&,&,U+0026,AMPERSAND,Po,True,False,False,4,4,1280408,3.1240042236537102e-06,2,1280408,1.5620021118268551e-06,1,1280408,7.810010559134276e-07
first_serve,',',U+0027,APOSTROPHE,Po,True,False,False,1,1,1280408,7.810010559134276e-07,0,1280408,0.0,1,1280408,7.810010559134276e-07
first_serve,),),U+0029,RIGHT PARENTHESIS,Pe,True,False,False,1,1,1280408,7.810010559134276e-07,1,1280408,7.810010559134276e-07,0,1280408,0.0
first_serve,*,*,U+002A,ASTERISK,Po,True,False,False,290272,290258,1280408,0.22669180448731965,0,1280408,0.0,290246,1280408,0.2266824324746487
first_serve,+,+,U+002B,PLUS SIGN,Sm,True,False,False,223233,220088,1280408,0.17188896039387444,0,1280408,0.0,4,1280408,3.1240042236537102e-06
first_serve,-,-,U+002D,HYPHEN-MINUS,Pd,True,False,False,36563,33546,1280408,0.026199461421671844,0,1280408,0.0,1,1280408,7.810010559134276e-07
first_serve,0,0,U+0030,DIGIT ZERO,Nd,True,False,False,1134,1134,1280408,0.0008856551974058269,1112,1280408,0.0008684731741757315,16,1280408,1.2496016894614841e-05
first_serve,1,1,U+0031,DIGIT ONE,Nd,True,False,False,741362,400320,1280408,0.31265034270326336,1,1280408,7.810010559134276e-07,15,1280408,1.1715015838701414e-05
first_serve,2,2,U+0032,DIGIT TWO,Nd,True,False,False,811963,437752,1280408,0.3418847742282148,6,1280408,4.686006335480565e-06,3,1280408,2.3430031677402827e-06
first_serve,3,3,U+0033,DIGIT THREE,Nd,True,False,False,991896,437312,1280408,0.34154113376361284,23,1280408,1.7963024286008836e-05,8,1280408,6.2480084473074204e-06
first_serve,4,4,U+0034,DIGIT FOUR,Nd,True,False,False,598555,598554,1280408,0.46747130602120573,580369,1280408,0.4532688018194201,10,1280408,7.810010559134276e-06
first_serve,5,5,U+0035,DIGIT FIVE,Nd,True,False,False,120605,120605,1280408,0.09419263234843893,116201,1280408,0.0907531036981962,0,1280408,0.0
first_serve,6,6,U+0036,DIGIT SIX,Nd,True,False,False,544811,544811,1280408,0.4254979662732504,526877,1280408,0.411491493336499,1,1280408,7.810010559134276e-07
first_serve,7,7,U+0037,DIGIT SEVEN,Nd,True,False,False,189175,160602,1280408,0.1254303315818083,2,1280408,1.5620021118268551e-06,2,1280408,1.5620021118268551e-06
first_serve,8,8,U+0038,DIGIT EIGHT,Nd,True,False,False,341828,234593,1280408,0.1832173807098987,0,1280408,0.0,3,1280408,2.3430031677402827e-06
first_serve,9,9,U+0039,DIGIT NINE,Nd,True,False,False,223253,147021,1280408,0.11482355624144804,2,1280408,1.5620021118268551e-06,7,1280408,5.467007391393993e-06
first_serve,;,;,U+003B,SEMICOLON,Po,True,False,False,19379,19011,1280408,0.014847611073970172,2,1280408,1.5620021118268551e-06,2384,1280408,0.0018619065172976114
first_serve,=,=,U+003D,EQUALS SIGN,Sm,True,False,False,6697,6549,1280408,0.005114775915177038,0,1280408,0.0,3,1280408,2.3430031677402827e-06
first_serve,?,?,U+003F,QUESTION MARK,Po,True,False,False,1,1,1280408,7.810010559134276e-07,1,1280408,7.810010559134276e-07,0,1280408,0.0
first_serve,@,@,U+0040,COMMERCIAL AT,Po,True,False,False,184254,184252,1280408,0.14390100655416085,0,1280408,0.0,184071,1280408,0.14375964536304053
first_serve,A,A,U+0041,LATIN CAPITAL LETTER A,Lu,True,False,False,1,1,1280408,7.810010559134276e-07,0,1280408,0.0,0,1280408,0.0
first_serve,C,C,U+0043,LATIN CAPITAL LETTER C,Lu,True,False,False,213,213,1280408,0.00016635322490956008,0,1280408,0.0,213,1280408,0.00016635322490956008
first_serve,D,D,U+0044,LATIN CAPITAL LETTER D,Lu,True,False,False,3,3,1280408,2.3430031677402827e-06,0,1280408,0.0,2,1280408,1.5620021118268551e-06
first_serve,N,N,U+004E,LATIN CAPITAL LETTER N,Lu,True,False,False,4,2,1280408,1.5620021118268551e-06,0,1280408,0.0,0,1280408,0.0
first_serve,P,P,U+0050,LATIN CAPITAL LETTER P,Lu,True,False,False,40,40,1280408,3.12400422365371e-05,40,1280408,3.12400422365371e-05,40,1280408,3.12400422365371e-05
first_serve,Q,Q,U+0051,LATIN CAPITAL LETTER Q,Lu,True,False,False,64,64,1280408,4.9984067578459363e-05,64,1280408,4.9984067578459363e-05,64,1280408,4.9984067578459363e-05
first_serve,R,R,U+0052,LATIN CAPITAL LETTER R,Lu,True,False,False,3273,3273,1280408,0.0025562164560046486,3273,1280408,0.0025562164560046486,3273,1280408,0.0025562164560046486
first_serve,S,S,U+0053,LATIN CAPITAL LETTER S,Lu,True,False,False,10488,10488,1280408,0.00819113907442003,10488,1280408,0.00819113907442003,10488,1280408,0.00819113907442003
first_serve,V,V,U+0056,LATIN CAPITAL LETTER V,Lu,True,False,False,31,31,1280408,2.4211032733316257e-05,30,1280408,2.3430031677402828e-05,31,1280408,2.4211032733316257e-05
first_serve,W,W,U+0057,LATIN CAPITAL LETTER W,Lu,True,False,False,2,2,1280408,1.5620021118268551e-06,0,1280408,0.0,2,1280408,1.5620021118268551e-06
first_serve,^,^,U+005E,CIRCUMFLEX ACCENT,Sk,True,False,False,11111,11023,1280408,0.008608974639333713,0,1280408,0.0,3,1280408,2.3430031677402827e-06
first_serve,_,_,U+005F,LOW LINE,Pc,True,False,False,2,1,1280408,7.810010559134276e-07,0,1280408,0.0,0,1280408,0.0
first_serve,`,`,U+0060,GRAVE ACCENT,Sk,True,False,False,1,1,1280408,7.810010559134276e-07,0,1280408,0.0,1,1280408,7.810010559134276e-07
first_serve,b,b,U+0062,LATIN SMALL LETTER B,Ll,True,False,False,837225,400453,1280408,0.31275421584369983,2,1280408,1.5620021118268551e-06,13,1280408,1.0153013726874559e-05
first_serve,c,c,U+0063,LATIN SMALL LETTER C,Ll,True,False,False,42211,40566,1280408,0.0316820888341841,40547,1280408,0.03166724981412175,2,1280408,1.5620021118268551e-06
first_serve,d,d,U+0064,LATIN SMALL LETTER D,Ll,True,False,False,295857,295840,1280408,0.23105135238142843,59,1280408,4.6079062298892225e-05,159683,1280408,0.12471259161142385
first_serve,e,e,U+0065,LATIN SMALL LETTER E,Ll,True,False,False,1235,1235,1280408,0.000964536304053083,164,1280408,0.00012808417316980214,1068,1280408,0.0008341091277155407
first_serve,f,f,U+0066,LATIN SMALL LETTER F,Ll,True,False,False,1147428,485941,1280408,0.3795204341116269,10,1280408,7.810010559134276e-06,8,1280408,6.2480084473074204e-06
first_serve,g,g,U+0067,LATIN SMALL LETTER G,Ll,True,False,False,1058,1058,1280408,0.0008262991171564064,628,1280408,0.0004904686631136326,1056,1280408,0.0008247371150445795
first_serve,h,h,U+0068,LATIN SMALL LETTER H,Ll,True,False,False,8357,8134,1280408,0.00635266258879982,0,1280408,0.0,0,1280408,0.0
first_serve,i,i,U+0069,LATIN SMALL LETTER I,Ll,True,False,False,8617,8407,1280408,0.006565875877064186,0,1280408,0.0,0,1280408,0.0
first_serve,j,j,U+006A,LATIN SMALL LETTER J,Ll,True,False,False,6256,6244,1280408,0.004876570593123442,0,1280408,0.0,0,1280408,0.0
first_serve,k,k,U+006B,LATIN SMALL LETTER K,Ll,True,False,False,846,839,1280408,0.0006552598859113658,0,1280408,0.0,0,1280408,0.0
first_serve,l,l,U+006C,LATIN SMALL LETTER L,Ll,True,False,False,16917,16277,1280408,0.012712354187102861,0,1280408,0.0,0,1280408,0.0
first_serve,m,m,U+006D,LATIN SMALL LETTER M,Ll,True,False,False,29367,28217,1280408,0.022037506794709186,0,1280408,0.0,4,1280408,3.1240042236537102e-06
first_serve,n,n,U+006E,LATIN SMALL LETTER N,Ll,True,False,False,378667,378659,1280408,0.2957330788311226,454,1280408,0.00035457447938469613,198379,1280408,0.15493420847104986
first_serve,o,o,U+006F,LATIN SMALL LETTER O,Ll,True,False,False,29458,27744,1280408,0.021668093295262134,2,1280408,1.5620021118268551e-06,0,1280408,0.0
first_serve,p,p,U+0070,LATIN SMALL LETTER P,Ll,True,False,False,2187,2176,1280408,0.0016994582976676185,0,1280408,0.0,1,1280408,7.810010559134276e-07
