aggregation_level,fold,pattern_id,target_orientations,available,partially_available,not_available,coverage,scored_candidates,abstained_candidates,status
total,,,3610,2682,116,812,0.775069252077562,33944,59916,reconciled
fold,validation_2020,,336,256,2,78,0.767857142857143,3140,5596,reconciled
fold,validation_2021,,742,517,25,200,0.730458221024259,6569,12723,reconciled
fold,validation_2022,,1292,972,44,276,0.786377708978328,12258,21334,reconciled
fold,validation_2023,,1240,937,45,258,0.791935483870968,11977,20263,reconciled
pattern,,P02,3610,2562,236,812,0.775069252077562,8158,2672,reconciled
pattern,,P04,3610,2727,61,822,0.772299168975069,8301,2529,reconciled
pattern,,P05,3610,2632,50,928,0.742936288088643,7986,2844,reconciled
pattern,,P06,3610,0,2798,812,0.775069252077562,9499,51871,reconciled
fold_pattern,validation_2020,P02,336,231,27,78,0.767857142857143,747,261,reconciled
fold_pattern,validation_2020,P04,336,251,7,78,0.767857142857143,767,241,reconciled
fold_pattern,validation_2020,P05,336,252,4,80,0.761904761904762,764,244,reconciled
fold_pattern,validation_2020,P06,336,0,258,78,0.767857142857143,862,4850,reconciled
fold_pattern,validation_2021,P02,742,501,41,200,0.730458221024259,1585,641,reconciled
fold_pattern,validation_2021,P04,742,530,8,204,0.725067385444744,1606,620,reconciled
fold_pattern,validation_2021,P05,742,513,4,225,0.696765498652291,1546,680,reconciled
fold_pattern,validation_2021,P06,742,0,542,200,0.730458221024259,1832,10782,reconciled
fold_pattern,validation_2022,P02,1292,920,96,276,0.786377708978328,2952,924,reconciled
fold_pattern,validation_2022,P04,1292,989,23,280,0.78328173374613,3011,865,reconciled
fold_pattern,validation_2022,P05,1292,949,23,320,0.752321981424149,2885,991,reconciled
fold_pattern,validation_2022,P06,1292,0,1016,276,0.786377708978328,3410,18554,reconciled
fold_pattern,validation_2023,P02,1240,910,72,258,0.791935483870968,2874,846,reconciled
fold_pattern,validation_2023,P04,1240,957,23,260,0.790322580645161,2917,803,reconciled
fold_pattern,validation_2023,P05,1240,918,19,303,0.755645161290323,2791,929,reconciled
fold_pattern,validation_2023,P06,1240,0,982,258,0.791935483870968,3395,17685,reconciled
