pattern_id,category,target_appearances,eligible_appearances,scored_appearances,top_k_appearances,rank_1,rank_2,rank_3,tie_appearances,mean_score,minimum_score,maximum_score,executor_labeled_attempts,opponent_labeled_attempts,status
P02,4,3610,2798,2798,2798,1389,1360,49,0,0.644876131628227,0.548368643078408,0.73098525844374,9510801,9625346,reconciled
P02,5,3610,2562,2562,2562,48,81,2433,0,0.595797072789322,0.438939591481964,0.709887640449438,1898662,2031018,reconciled
P02,6,3610,2798,2798,2798,1361,1357,80,0,0.644739859095281,0.550522534291313,0.763596396396396,8659326,8748135,reconciled
P04,1,3610,2728,2728,2728,488,895,1345,0,0.377627742120937,0.275757575757576,0.50578056239278,2890063,2852669,reconciled
P04,2,3610,2788,2788,2788,394,1237,1157,0,0.379282709881501,0.288963424107242,0.452237215909091,9035762,8627373,reconciled
P04,3,3610,2785,2785,2785,1906,654,225,0,0.398824662478507,0.29212204007286,0.503755128335537,4897693,4798008,reconciled
P05,7,3610,2663,2663,2663,10,51,2602,0,0.408320949667848,0.31253075282926,0.518739467475565,2931983,2896754,reconciled
P05,8,3610,2674,2674,2674,68,2576,30,0,0.468386766400189,0.373040234827127,0.579366209785511,5849682,5610364,reconciled
P05,9,3610,2649,2649,2649,2604,45,0,0,0.528562598092576,0.416374876901193,0.638829215896885,3509024,3339697,reconciled
P06,f,3610,2798,2798,2798,651,2134,13,0,0.38573964213658,0.29869757489301,0.475578149920255,6968208,6656021,reconciled
P06,b,3610,2795,2795,2795,2145,646,4,0,0.403000895010713,0.300078391024228,0.481349241419944,8224247,7549191,reconciled
P06,r,3610,1704,1704,1379,1,13,1365,0,0.279587414029909,0.17391551537893,0.398007429922324,776573,926060,reconciled
P06,s,3610,2198,2198,878,1,5,872,0,0.244970489944547,0.0909502262443439,0.387056403714985,1797064,2119557,reconciled
P06,v,3610,0,0,0,0,0,0,0,,,,375,257,reconciled
P06,z,3610,0,0,0,0,0,0,0,,,,0,0,reconciled
P06,o,3610,0,0,0,0,0,0,0,,,,259,213,reconciled
P06,p,3610,0,0,0,0,0,0,0,,,,0,0,reconciled
P06,u,3610,0,0,0,0,0,0,0,,,,2010,1917,reconciled
P06,y,3610,0,0,0,0,0,0,0,,,,7534,9343,reconciled
P06,l,3610,0,0,0,0,0,0,0,,,,21837,21034,reconciled
P06,m,3610,4,4,0,0,0,0,0,0.207254381985297,0.17610405323654,0.255593220338983,64371,62783,reconciled
P06,h,3610,0,0,0,0,0,0,0,,,,274,419,reconciled
P06,i,3610,0,0,0,0,0,0,0,,,,545,700,reconciled
P06,j,3610,0,0,0,0,0,0,0,,,,0,0,reconciled
P06,k,3610,0,0,0,0,0,0,0,,,,0,0,reconciled
P06,t,3610,0,0,0,0,0,0,0,,,,283,303,reconciled
